layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,49.325,0.9999,0.00018,0.01576,0.8974
0,0,0.20,42.709,0.9996,0.00101,0.03375,0.8718
0,0,0.30,37.934,0.9989,0.00284,0.05849,0.8278
0,0,0.40,33.822,0.9972,0.00631,0.09390,0.7445
0,0,0.50,30.731,0.9943,0.01500,0.13404,0.6703
0,1,0.10,53.800,0.9999,nan,0.02501,0.9744
0,1,0.20,46.748,0.9996,nan,0.05633,0.8718
0,1,0.30,41.222,0.9986,nan,0.10641,0.7839
0,1,0.40,37.099,0.9963,nan,0.17106,0.7189
0,1,0.50,34.149,0.9926,nan,0.24026,0.6822
0,2,0.10,64.208,1.0000,nan,0.00779,0.8535
0,2,0.20,55.339,1.0000,nan,0.02162,0.7143
0,2,0.30,49.072,0.9999,nan,0.04448,0.6310
0,2,0.40,41.960,0.9994,nan,0.10088,0.5504
0,2,0.50,35.716,0.9976,nan,0.20700,0.4881
0,3,0.10,65.016,1.0000,nan,0.00606,1.0000
0,3,0.20,54.348,1.0000,nan,0.02070,0.9744
0,3,0.30,48.613,0.9999,nan,0.04006,0.9231
0,3,0.40,43.245,0.9995,nan,0.07431,0.8974
0,3,0.50,38.398,0.9985,nan,0.12985,0.7582
0,4,0.10,55.691,0.9999,nan,0.02029,0.9048
0,4,0.20,48.611,0.9996,nan,0.04585,0.9231
0,4,0.30,44.031,0.9988,nan,0.07769,0.8535
0,4,0.40,41.125,0.9977,nan,0.10856,0.8278
0,4,0.50,37.872,0.9951,nan,0.15788,0.7885
0,5,0.10,60.903,1.0000,nan,0.01095,0.9487
0,5,0.20,49.707,0.9998,nan,0.03973,0.9231
0,5,0.30,44.150,0.9992,nan,0.07533,0.8462
0,5,0.40,40.480,0.9981,nan,0.11494,0.7912
0,5,0.50,37.083,0.9958,nan,0.16995,0.7894
0,6,0.10,57.251,1.0000,nan,0.01186,0.9744
0,6,0.20,48.679,0.9998,nan,0.03183,0.9231
0,6,0.30,42.711,0.9991,nan,0.06326,0.9487
0,6,0.40,39.005,0.9979,nan,0.09693,0.8718
0,6,0.50,35.062,0.9947,nan,0.15262,0.8205
0,7,0.10,54.438,1.0000,0.00073,0.01843,0.9231
0,7,0.20,45.270,0.9997,nan,0.05294,0.9048
0,7,0.30,39.100,0.9986,nan,0.10772,0.8095
0,7,0.40,34.833,0.9963,nan,0.17605,0.7253
0,7,0.50,31.776,0.9925,nan,0.25032,0.6566
0,8,0.10,59.873,1.0000,nan,0.00922,1.0000
0,8,0.20,52.088,0.9999,nan,0.02258,0.9744
0,8,0.30,47.390,0.9998,nan,0.03879,0.9744
0,8,0.40,43.062,0.9994,0.01137,0.06384,0.8974
0,8,0.50,39.421,0.9987,nan,0.09708,0.8974
0,9,0.10,57.515,1.0000,0.00104,0.01512,0.9048
0,9,0.20,51.158,0.9999,nan,0.03143,0.9231
0,9,0.30,45.908,0.9997,nan,0.05753,0.8278
0,9,0.40,41.796,0.9993,nan,0.09235,0.7656
0,9,0.50,38.310,0.9983,nan,0.13795,0.7729
0,10,0.10,61.900,1.0000,nan,0.00987,0.9304
0,10,0.20,53.742,1.0000,nan,0.02526,0.8791
0,10,0.30,46.649,0.9998,nan,0.05715,0.6703
0,10,0.40,40.706,0.9993,nan,0.11329,0.5824
0,10,0.50,34.931,0.9973,nan,0.22026,0.5137
0,11,0.10,64.097,1.0000,0.00020,0.00730,1.0000
0,11,0.20,52.526,0.9999,nan,0.02765,0.9231
0,11,0.30,48.390,0.9998,nan,0.04452,0.9231
0,11,0.40,43.583,0.9992,nan,0.07742,0.8462
0,11,0.50,39.760,0.9982,nan,0.12023,0.7582
1,0,0.10,69.962,1.0000,nan,0.00413,0.4130
1,0,0.20,57.811,1.0000,nan,0.01673,0.3446
1,0,0.30,49.907,0.9999,nan,0.04155,0.3492
