layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,56.017,1.0000,0.00004,0.00729,1.0000
0,0,0.20,46.572,0.9999,0.00038,0.02164,0.9231
0,0,0.30,40.642,0.9994,0.00181,0.04282,0.8462
0,0,0.40,36.936,0.9986,0.00508,0.06561,0.7949
0,0,0.50,33.377,0.9969,0.00963,0.09884,0.7766
0,1,0.10,53.245,0.9999,nan,0.02666,0.8974
0,1,0.20,47.270,0.9996,nan,0.05304,0.8095
0,1,0.30,39.710,0.9980,nan,0.12666,0.8718
0,1,0.40,36.090,0.9953,nan,0.19214,0.7839
0,1,0.50,33.212,0.9908,nan,0.26762,0.7005
0,2,0.10,61.016,1.0000,nan,0.01125,0.8168
0,2,0.20,52.153,0.9999,nan,0.03120,0.7143
0,2,0.30,45.935,0.9998,nan,0.06383,0.6190
0,2,0.40,42.530,0.9995,nan,0.09446,0.6081
0,2,0.50,35.275,0.9974,nan,0.21778,0.5247
0,3,0.10,66.510,1.0000,nan,0.00510,1.0000
0,3,0.20,57.091,1.0000,nan,0.01509,0.9487
0,3,0.30,50.417,0.9999,nan,0.03254,0.9487
0,3,0.40,43.778,0.9996,nan,0.06989,0.8791
0,3,0.50,38.411,0.9985,nan,0.12965,0.7582
0,4,0.10,56.054,0.9999,nan,0.01946,0.9744
0,4,0.20,48.862,0.9996,nan,0.04455,0.8535
0,4,0.30,43.946,0.9988,nan,0.07846,0.8278
0,4,0.40,40.350,0.9972,nan,0.11869,0.7509
0,4,0.50,37.241,0.9943,nan,0.16977,0.6020
0,5,0.10,57.392,1.0000,0.00049,0.01640,0.9231
0,5,0.20,48.575,0.9997,nan,0.04526,0.8974
0,5,0.30,42.512,0.9988,nan,0.09097,0.8535
0,5,0.40,38.871,0.9972,nan,0.13833,0.8462
0,5,0.50,35.885,0.9944,nan,0.19508,0.7399
0,6,0.10,54.224,0.9999,0.00066,0.01681,0.9744
0,6,0.20,46.640,0.9996,nan,0.04025,0.9231
0,6,0.30,40.742,0.9986,nan,0.07937,0.8718
0,6,0.40,37.124,0.9967,nan,0.12036,0.8462
0,6,0.50,33.632,0.9926,nan,0.17993,0.8205
0,7,0.10,52.241,0.9999,0.00168,0.02373,0.9231
0,7,0.20,42.689,0.9994,nan,0.07126,0.8974
0,7,0.30,36.992,0.9977,nan,0.13730,0.8022
