li,hi,lj,hj,cosine,wavelet,energy_profile,pearson,emd
0,0,0,0,1.0000,1.0000,1.0000,1.0000,0.0000
0,0,0,1,0.4953,0.6693,0.7437,0.0377,0.0328
0,0,0,2,0.3196,0.5178,0.7190,0.1219,0.0958
0,0,0,3,0.3844,0.5017,0.9002,0.0650,0.0674
0,0,0,4,0.6400,0.7729,0.9106,0.2766,0.0168
0,0,0,5,0.5867,0.7265,0.8744,0.2769,0.0378
0,0,0,6,0.5416,0.6929,0.9206,0.0841,0.0283
0,0,0,7,0.6737,0.7269,0.7621,0.5827,0.0484
0,0,0,8,0.4828,0.6057,0.8763,0.0441,0.0424
0,0,0,9,0.6521,0.6710,0.9317,0.5977,0.0561
0,0,0,10,0.3067,0.5026,0.6389,0.0423,0.0856
0,0,0,11,0.5890,0.6973,0.9314,0.3285,0.0425
0,0,1,0,0.2042,0.4583,0.5972,-0.0552,0.1060
0,0,1,1,0.6563,0.7006,0.9299,0.5345,0.0612
0,0,1,2,0.7370,0.7759,0.9259,0.6849,0.0559
0,0,1,3,0.6885,0.7712,0.9586,0.5707,0.0449
0,0,1,4,0.6023,0.6761,0.9065,0.5397,0.0594
0,0,1,5,0.7553,0.8294,0.9860,0.5953,0.0351
0,0,1,6,0.4662,0.6044,0.8693,0.1506,0.0507
0,0,1,7,0.6310,0.7393,0.9926,0.4051,0.0395
0,0,1,8,0.6116,0.7508,0.9109,0.4552,0.0466
0,0,1,9,0.2065,0.4485,0.5826,-0.0518,0.1053
0,0,1,10,0.6124,0.6607,0.9094,0.5165,0.0547
0,0,1,11,0.5954,0.7007,0.9210,0.3827,0.0521
0,0,2,0,0.4735,0.5177,0.6322,0.2837,0.0648
0,0,2,1,0.5878,0.6682,0.8744,0.2129,0.0231
0,0,2,2,0.5832,0.6515,0.7717,0.3889,0.0433
0,0,2,3,0.4113,0.4494,0.6174,0.3057,0.0945
0,0,2,4,0.5858,0.6641,0.7899,0.2399,0.0278
0,0,2,5,0.4790,0.5284,0.6305,0.3195,0.0674
0,0,2,6,0.4901,0.5450,0.6734,0.2885,0.0563
0,0,2,7,0.4639,0.5047,0.6594,0.3087,0.0768
0,0,2,8,0.5109,0.5386,0.7261,0.3030,0.0503
0,0,2,9,0.5802,0.6089,0.7634,0.4239,0.0528
0,0,2,10,0.5507,0.5927,0.7451,0.3335,0.0487
0,0,2,11,0.4453,0.5103,0.6317,0.2872,0.0786
0,0,3,0,0.5765,0.6195,0.7821,0.3488,0.0425
0,0,3,1,0.4750,0.5037,0.6310,0.3103,0.0659
0,0,3,2,0.4501,0.4810,0.6441,0.3286,0.0820
0,0,3,3,0.4418,0.4623,0.6196,0.3208,0.0837
0,0,3,4,0.4408,0.5430,0.6535,0.2689,0.0815
0,0,3,5,0.5310,0.5790,0.6502,0.2631,0.0431
0,0,3,6,0.3967,0.4402,0.6361,0.2967,0.0993
0,0,3,7,0.3921,0.4420,0.6298,0.2911,0.0997
0,0,3,8,0.5448,0.5850,0.9217,0.3160,0.0505
0,0,3,9,0.4634,0.4957,0.6900,0.3174,0.0750
0,0,3,10,0.4388,0.5100,0.5711,0.2631,0.0742
0,0,3,11,0.4362,0.4841,0.6629,0.3200,0.0854
0,0,4,0,0.4306,0.4760,0.6010,0.2441,0.0782
0,0,4,1,0.4746,0.5003,0.6111,0.3247,0.0728
0,0,4,2,0.5465,0.6351,0.7521,0.2668,0.0400
0,0,4,3,0.4431,0.4855,0.6700,0.2725,0.0731
0,0,4,4,0.4362,0.4975,0.6378,0.2315,0.0725
0,0,4,5,0.4519,0.5158,0.6108,0.2187,0.0595
0,0,4,6,0.4252,0.4503,0.6480,0.3240,0.0925
0,0,4,7,0.4396,0.4892,0.5829,0.2480,0.0696
0,0,4,8,0.5540,0.6305,0.8067,0.2434,0.0431
0,0,4,9,0.4074,0.4428,0.6150,0.2836,0.0934
0,0,4,10,0.5759,0.6213,0.7829,0.2627,0.0353
0,0,4,11,0.5635,0.6130,0.7811,0.2987,0.0391
0,0,5,0,0.4955,0.6264,0.9282,0.0333,0.0385
0,0,5,1,0.4215,0.6067,0.9239,-0.0144,0.0513
0,0,5,2,0.5618,0.6939,0.9728,0.0422,0.0278
0,0,5,3,0.4710,0.6300,0.9349,0.0675,0.0491
0,0,5,4,0.3681,0.5992,0.8951,-0.0638,0.0600
0,0,5,5,0.4375,0.6268,0.9100,-0.0375,0.0475
0,0,5,6,0.4101,0.6062,0.9275,0.0109,0.0600
0,0,5,7,0.3647,0.5853,0.9002,0.0183,0.0703
0,0,5,8,0.5158,0.6706,0.9065,0.0688,0.0373
0,0,5,9,0.5550,0.6906,0.9748,0.0132,0.0289
0,0,5,10,0.4467,0.6094,0.9294,0.0096,0.0471
0,0,5,11,0.3554,0.5838,0.9015,-0.0085,0.0698
0,1,0,0,0.4953,0.6693,0.7437,0.0377,0.0328
0,1,0,1,1.0000,1.0000,1.0000,1.0000,0.0000
0,1,0,2,0.2189,0.5843,0.9993,0.0616,0.0679
0,1,0,3,0.3660,0.5816,0.9606,0.1773,0.0376
0,1,0,4,0.3588,0.6721,0.9535,0.0195,0.0212
0,1,0,5,0.3591,0.7073,0.9747,0.0763,0.0101
0,1,0,6,0.4365,0.6857,0.9457,0.1555,0.0097
0,1,0,7,0.2512,0.6852,0.9996,-0.0224,0.0207
0,1,0,8,0.4219,0.6930,0.9738,0.1687,0.0127
0,1,0,9,0.1917,0.5998,0.9357,-0.0708,0.0258
0,1,0,10,0.2036,0.6320,0.9894,0.0201,0.0564
0,1,0,11,0.3622,0.6458,0.9361,0.1005,0.0151
0,1,1,0,0.1987,0.6246,0.9803,0.0581,0.0799
0,1,1,1,0.3238,0.6496,0.9375,0.0725,0.0301
0,1,1,2,0.2867,0.6193,0.9412,0.0070,0.0270
0,1,1,3,0.2811,0.6288,0.9032,-0.0042,0.0181
0,1,1,4,0.2352,0.6183,0.9564,0.0109,0.0338
0,1,1,5,0.3047,0.6342,0.8448,-0.0413,0.0113
0,1,1,6,0.2484,0.5574,0.9770,-0.0169,0.0189
0,1,1,7,0.3898,0.6452,0.8193,0.1320,0.0086
0,1,1,8,0.3250,0.5985,0.9533,0.0827,0.0154
0,1,1,9,0.1762,0.6244,0.9766,0.0293,0.0795
0,1,1,10,0.2701,0.6259,0.9544,0.0360,0.0285
0,1,1,11,0.3214,0.6707,0.9454,0.0609,0.0191
0,1,2,0,0.2650,0.4815,0.9881,0.0566,0.0359
0,1,2,1,0.3325,0.5703,0.9747,0.0080,0.0144
0,1,2,2,0.3052,0.5708,0.9991,0.0535,0.0181
0,1,2,3,0.1542,0.3921,0.9850,-0.0208,0.0670
0,1,2,4,0.3405,0.6453,0.9974,0.0339,0.0106
0,1,2,5,0.2143,0.5559,0.9878,0.0008,0.0360
0,1,2,6,0.2528,0.5196,0.9950,0.0272,0.0268
0,1,2,7,0.2155,0.4619,0.9930,0.0114,0.0469
0,1,2,8,0.2537,0.5148,0.9997,0.0153,0.0247
0,1,2,9,0.2337,0.5362,0.9996,-0.0243,0.0252
0,1,2,10,0.3068,0.5607,1.0000,0.0626,0.0162
0,1,2,11,0.2354,0.5084,0.9880,0.0447,0.0489
0,1,3,0,0.2768,0.5386,0.9982,0.0027,0.0134
0,1,3,1,0.2364,0.4747,0.9879,0.0291,0.0379
0,1,3,2,0.1863,0.4494,0.9904,-0.0047,0.0543
0,1,3,3,0.2057,0.4105,0.9855,0.0241,0.0576
0,1,3,4,0.2117,0.5832,0.9920,0.0100,0.0511
0,1,3,5,0.3225,0.6010,0.9915,0.0723,0.0153
0,1,3,6,0.1720,0.3741,0.9889,0.0106,0.0738
0,1,3,7,0.1628,0.3677,0.9876,0.0005,0.0741
0,1,3,8,0.2482,0.5281,0.9448,-0.0195,0.0195
0,1,3,9,0.2011,0.4386,0.9970,-0.0029,0.0482
0,1,3,10,0.2636,0.5112,0.9735,0.0765,0.0447
0,1,3,11,0.2009,0.4247,0.9935,0.0225,0.0589
0,1,4,0,0.1952,0.4658,0.9813,-0.0132,0.0484
0,1,4,1,0.2408,0.4633,0.9836,0.0417,0.0452
0,1,4,2,0.2632,0.5256,0.9999,-0.0235,0.0189
0,1,4,3,0.1835,0.4329,0.9945,-0.0271,0.0472
0,1,4,4,0.2421,0.4683,0.9892,0.0374,0.0443
0,1,4,5,0.2297,0.5029,0.9836,0.0014,0.0326
0,1,4,6,0.1676,0.3872,0.9911,-0.0082,0.0664
0,1,4,7,0.2407,0.4964,0.9767,0.0397,0.0380
0,1,4,8,0.2943,0.5514,0.9950,0.0016,0.0167
0,1,4,9,0.1721,0.3762,0.9845,-0.0044,0.0682
0,1,4,10,0.3295,0.5378,0.9982,0.0382,0.0167
0,1,4,11,0.3211,0.4898,0.9983,0.0547,0.0223
0,1,5,0,0.3203,0.5711,0.9390,0.0060,0.0128
0,1,5,1,0.2545,0.5217,0.9429,-0.0375,0.0236
0,1,5,2,0.3296,0.5932,0.8784,-0.0448,0.0101
0,1,5,3,0.2385,0.5353,0.9325,-0.0724,0.0228
0,1,5,4,0.1730,0.4995,0.9638,-0.1205,0.0303
