layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,55.406,1.0000,0.00002,0.00650,0.9762
0,0,0.20,44.795,0.9998,0.00033,0.02207,0.9524
0,0,0.30,39.820,0.9994,0.00097,0.03913,0.9524
0,0,0.40,36.257,0.9987,0.00227,0.05898,0.9524
0,0,0.50,32.607,0.9971,0.00516,0.08978,0.8810
0,1,0.10,59.365,1.0000,nan,0.01172,0.9762
0,1,0.20,49.777,0.9998,nan,0.03535,0.9524
0,1,0.30,42.633,0.9990,nan,0.08046,0.8810
0,1,0.40,38.041,0.9971,nan,0.13651,0.8333
0,1,0.50,33.986,0.9925,nan,0.21772,0.6939
0,2,0.10,67.228,1.0000,nan,0.00604,0.8469
0,2,0.20,59.373,1.0000,nan,0.01492,0.7526
0,2,0.30,50.241,0.9999,nan,0.04271,0.6616
0,2,0.40,44.665,0.9997,nan,0.08115,0.5417
0,2,0.50,39.035,0.9989,nan,0.15518,0.4722
0,3,0.10,65.098,1.0000,nan,0.00614,1.0000
0,3,0.20,55.760,1.0000,nan,0.01800,0.9762
0,3,0.30,49.880,0.9999,nan,0.03542,0.9048
0,3,0.40,45.271,0.9997,nan,0.06021,0.8571
0,3,0.50,39.964,0.9989,nan,0.11092,0.8036
0,4,0.10,63.705,1.0000,0.00008,0.00880,1.0000
0,4,0.20,53.977,0.9999,nan,0.02698,1.0000
0,4,0.30,49.260,0.9996,nan,0.04644,0.9286
0,4,0.40,44.854,0.9989,nan,0.07713,0.8571
0,4,0.50,41.535,0.9976,nan,0.11304,0.7449
0,5,0.10,61.011,1.0000,0.00021,0.00952,1.0000
0,5,0.20,49.522,0.9998,0.00260,0.03571,0.9116
0,5,0.30,43.088,0.9992,nan,0.07491,0.7925
0,5,0.40,39.131,0.9979,nan,0.11814,0.8163
0,5,0.50,35.060,0.9947,nan,0.18879,0.7109
0,6,0.10,58.114,1.0000,0.00045,0.01361,1.0000
0,6,0.20,49.588,0.9998,nan,0.03633,0.9048
0,6,0.30,44.724,0.9993,nan,0.06360,0.8571
0,6,0.40,41.771,0.9986,nan,0.08934,0.8571
0,6,0.50,38.264,0.9968,nan,0.13379,0.7925
0,7,0.10,53.850,0.9999,nan,0.02213,1.0000
0,7,0.20,47.255,0.9997,nan,0.04727,0.9048
0,7,0.30,42.152,0.9992,nan,0.08507,0.7925
0,7,0.40,38.174,0.9979,nan,0.13448,0.7279
0,7,0.50,35.088,0.9958,nan,0.19185,0.6701
0,8,0.10,61.990,1.0000,nan,0.00841,1.0000
0,8,0.20,53.454,0.9999,nan,0.02247,0.9762
0,8,0.30,47.256,0.9997,nan,0.04586,0.9286
0,8,0.40,43.091,0.9992,nan,0.07408,0.9524
0,8,0.50,39.682,0.9982,nan,0.10969,0.8401
0,9,0.10,59.137,1.0000,0.00082,0.01316,0.9524
0,9,0.20,52.043,0.9999,nan,0.02977,0.9762
0,9,0.30,46.237,0.9997,nan,0.05809,0.9116
0,9,0.40,42.239,0.9992,nan,0.09204,0.8878
0,9,0.50,38.797,0.9982,nan,0.13680,0.7279
0,10,0.10,68.313,1.0000,nan,0.00531,0.9762
0,10,0.20,58.373,1.0000,nan,0.01669,0.8639
0,10,0.30,51.723,0.9999,nan,0.03588,0.7585
0,10,0.40,45.444,0.9997,nan,0.07392,0.7457
0,10,0.50,38.872,0.9986,nan,0.15754,0.5757
0,11,0.10,60.098,1.0000,0.00029,0.00889,1.0000
0,11,0.20,51.678,0.9999,nan,0.02343,1.0000
0,11,0.30,45.000,0.9997,nan,0.05054,0.9762
0,11,0.40,39.162,0.9987,nan,0.09898,0.9048
0,11,0.50,34.879,0.9965,nan,0.16205,0.8571
1,0,0.10,77.681,1.0000,nan,0.00183,0.4113
1,0,0.20,65.289,1.0000,nan,0.00762,0.3209
1,0,0.30,56.414,1.0000,nan,0.02116,0.2557
1,0,0.40,46.090,0.9998,nan,0.06945,0.3194
1,0,0.50,38.114,0.9989,nan,0.17395,0.3209
