layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,1.72787,1.42606,0.30181,4.72506,7.24021,-0.00000,0.55836,0,0.03913,1.79021,14,196,16
0,1,5.24762,2.38821,2.85941,0.83521,7.30361,-0.00000,0.53018,1,0.08046,1.67320,14,196,16
0,2,13.49617,5.69355,7.80262,0.72970,6.89451,-0.00000,0.65486,1,0.04271,2.37037,14,196,16
0,3,7.13996,3.93986,3.20010,1.23117,6.87228,-0.00000,0.65955,0,0.03542,2.48544,14,196,16
0,4,3.06099,1.91785,1.14314,1.67771,7.18290,-0.00000,0.56919,0,0.04644,1.82857,14,196,16
0,5,4.33753,2.09338,2.24415,0.93282,7.29724,-0.00000,0.53611,1,0.07491,1.66234,14,196,16
0,6,3.47484,2.04058,1.43427,1.42273,7.22626,-0.00000,0.55875,0,0.06360,1.74150,14,196,16
0,7,5.70845,2.54397,3.16447,0.80392,7.16864,-0.00000,0.57507,1,0.08507,1.77778,14,196,16
0,8,4.35521,2.57867,1.77654,1.45151,7.06010,-0.00000,0.60681,0,0.04586,2.01575,14,196,16
0,9,6.59552,3.17654,3.41898,0.92909,6.92223,-0.00000,0.63267,1,0.05809,2.16949,14,196,16
0,10,11.45996,4.24660,7.21337,0.58871,6.96234,-0.00000,0.63866,1,0.03588,2.28571,14,196,16
0,11,4.28001,2.16615,2.11386,1.02474,7.16655,-0.00000,0.57417,0,0.05054,1.76552,14,196,16
1,0,16.18347,5.39349,10.78998,0.49986,6.88802,-0.00000,0.65459,1,0.02116,2.41509,14,196,16
1,1,5.49302,2.82747,2.66555,1.06074,6.85709,-0.00000,0.65921,0,0.03459,2.32727,14,196,16
1,2,4.77878,2.54772,2.23106,1.14193,6.72510,-0.00000,0.68811,0,0.02247,2.63918,14,196,16
1,3,4.37962,2.41013,1.96949,1.22374,6.72235,-0.00000,0.68700,0,0.02958,2.72340,14,196,16
1,4,6.64861,3.23904,3.40957,0.94998,6.79189,-0.00000,0.66398,1,0.04715,2.43810,14,196,16
1,5,3.54463,2.36055,1.18408,1.99358,6.95603,-0.00000,0.63575,0,0.03341,2.24561,14,196,16
1,6,5.79118,2.93119,2.85999,1.02490,7.09947,-0.00000,0.59401,0,0.07190,1.85507,14,196,16
1,7,4.94687,3.44388,1.50299,2.29136,6.75299,-0.00000,0.67953,0,0.02580,2.48544,14,196,16
1,8,5.41364,2.98796,2.42568,1.23180,7.07264,-0.00000,0.60211,0,0.05340,2.00000,14,196,16
1,9,16.47588,5.51393,10.96195,0.50301,6.88649,-0.00000,0.65492,1,0.02444,2.43810,14,196,16
1,10,6.53118,3.35017,3.18101,1.05318,6.77545,-0.00000,0.66615,0,0.04064,2.43810,14,196,16
1,11,4.86190,2.59002,2.27187,1.14004,6.76403,-0.00000,0.67854,0,0.02441,2.50980,14,196,16
2,0,7.09768,3.70953,3.38815,1.09486,6.84057,-0.00000,0.65484,0,0.05136,2.37037,14,196,16
2,1,3.40356,2.13863,1.26494,1.69070,7.15432,-0.00000,0.57273,0,0.04426,1.79021,14,196,16
2,2,4.89696,2.72592,2.17104,1.25558,6.99622,-0.00000,0.61750,0,0.04868,2.04800,14,196,16
2,3,12.51322,6.50864,6.00458,1.08395,6.05993,-0.00000,0.79418,0,0.01153,5.33333,14,196,16
2,4,3.47078,1.96369,1.50709,1.30296,7.07311,-0.00000,0.60266,0,0.03615,2.01575,14,196,16
2,5,8.24073,4.07680,4.16393,0.97907,6.70474,-0.00000,0.69110,1,0.02544,2.66667,14,196,16
2,6,7.34877,3.87336,3.47541,1.11451,6.86934,-0.00000,0.63846,0,0.05085,2.13333,14,196,16
2,7,8.49694,4.39891,4.09803,1.07342,6.63360,-0.00000,0.70507,0,0.02374,2.87640,14,196,16
2,8,5.86302,3.34461,2.51841,1.32806,6.80447,-0.00000,0.65762,0,0.03926,2.30631,14,196,16
2,9,5.55582,3.16951,2.38630,1.32821,6.82476,-0.00000,0.65748,0,0.03374,2.32727,14,196,16
2,10,5.27823,2.78108,2.49714,1.11371,6.91050,-0.00000,0.64540,0,0.04129,2.30631,14,196,16
2,11,8.94712,4.44150,4.50562,0.98577,6.81783,-0.00000,0.66556,1,0.03654,2.37037,14,196,16
3,0,4.66776,2.72387,1.94389,1.40125,7.01639,-0.00000,0.60989,0,0.04220,1.96923,14,196,16
3,1,7.43573,3.86389,3.57185,1.08176,6.64922,-0.00000,0.69309,0,0.03527,2.63918,14,196,16
3,2,9.87490,5.16868,4.70623,1.09826,6.43448,-0.00000,0.73509,0,0.02204,3.24051,14,196,16
3,3,10.09778,5.27939,4.81838,1.09568,6.23209,-0.00000,0.76376,0,0.02233,4.33898,14,196,16
3,4,8.93973,4.03079,4.90894,0.82111,6.86801,-0.00000,0.66084,1,0.03362,2.48544,14,196,16
3,5,4.99500,2.55967,2.43533,1.05106,6.99503,-0.00000,0.61785,0,0.04400,2.08130,14,196,16
3,6,13.25509,7.14910,6.10599,1.17083,5.69578,-0.00000,0.83910,0,0.00649,7.52941,14,196,16
3,7,13.35172,7.13358,6.21814,1.14722,5.67832,-0.00000,0.84224,0,0.00499,7.52941,14,196,16
3,8,5.67920,4.07343,1.60578,2.53673,6.66414,-0.00000,0.68547,0,0.02907,2.72340,14,196,16
3,9,8.86995,4.82129,4.04865,1.19084,6.41399,-0.00000,0.74058,0,0.02403,3.65714,14,196,16
3,10,8.25704,3.78312,4.47392,0.84559,6.97109,-0.00000,0.62916,1,0.06475,2.13333,14,196,16
3,11,10.75184,5.75329,4.99855,1.15099,6.28575,-0.00000,0.76218,0,0.01915,3.93846,14,196,16
4,0,8.97339,4.59439,4.37900,1.04919,6.57083,-0.00000,0.71399,0,0.03074,3.08434,14,196,16
4,1,8.23706,4.29766,3.93940,1.09094,6.63438,-0.00000,0.69166,0,0.04858,2.81319,14,196,16
4,2,4.66622,2.59400,2.07222,1.25180,7.03000,-0.00000,0.60923,0,0.04170,2.01575,14,196,16
4,3,9.19306,5.01648,4.17659,1.20109,6.41018,-0.00000,0.73317,0,0.02935,3.32468,14,196,16
4,4,7.95836,4.09104,3.86732,1.05785,6.61149,-0.00000,0.70560,0,0.03456,2.97674,14,196,16
4,5,7.18780,3.51492,3.67288,0.95699,6.77141,-0.00000,0.66839,1,0.04335,2.39252,14,196,16
4,6,11.61830,6.28255,5.33575,1.17744,6.07636,-0.00000,0.79138,0,0.01462,4.92308,14,196,16
4,7,8.26209,4.21819,4.04390,1.04310,6.58000,-0.00000,0.71125,0,0.03810,3.16049,14,196,16
4,8,4.33964,2.59884,1.74080,1.49290,7.14652,-0.00000,0.57641,0,0.06842,1.80282,14,196,16
4,9,11.85684,6.24205,5.61479,1.11172,5.86968,-0.00000,0.81296,0,0.01325,7.31429,14,196,16
4,10,3.91410,2.30301,1.61110,1.42946,7.15348,-0.00000,0.56693,0,0.05595,1.74150,14,196,16
4,11,4.41907,2.59666,1.82240,1.42486,6.98909,-0.00000,0.61114,0,0.04821,2.06452,14,196,16
5,0,6.43104,3.80719,2.62385,1.45099,7.02974,-0.00000,0.61630,0,0.05545,2.06452,14,196,16
5,1,8.20918,4.87131,3.33788,1.45940,6.77213,-0.00000,0.68291,0,0.03183,2.66667,14,196,16
5,2,4.51732,3.07646,1.44086,2.13516,7.10503,-0.00000,0.59772,0,0.04987,1.98450,14,196,16
5,3,7.72212,4.63494,3.08718,1.50135,6.96322,-0.00000,0.63582,0,0.04189,2.15126,14,196,16
5,4,9.64635,5.30648,4.33986,1.22273,6.82223,-0.00000,0.66993,0,0.03956,2.46154,14,196,16
5,5,7.23392,4.04441,3.18951,1.26803,6.96295,-0.00000,0.63553,0,0.04921,2.18803,14,196,16
5,6,9.32453,5.52546,3.79907,1.45443,6.61631,-0.00000,0.71518,0,0.01850,3.12195,14,196,16
5,7,12.60990,6.87973,5.73017,1.20062,6.63041,-0.00000,0.71130,0,0.02572,3.16049,14,196,16
5,8,5.63877,3.20605,2.43271,1.31789,7.15482,-0.00000,0.58330,0,0.06474,1.91045,14,196,16
5,9,4.41561,3.05291,1.36270,2.24034,7.11864,-0.00000,0.59263,0,0.04985,1.91045,14,196,16
5,10,7.99212,4.73851,3.25361,1.45639,6.93708,-0.00000,0.64238,0,0.04530,2.26549,14,196,16
5,11,12.40858,6.82696,5.58162,1.22311,6.53379,-0.00000,0.73169,0,0.01755,3.41333,14,196,16
