layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,0,0.9514,6.8880,16.18347,0.6546,2.4151,1
1,9,0.9514,6.8865,16.47588,0.6549,2.4381,1
5,7,0.8619,6.6304,12.60990,0.7113,3.1605,1
5,11,0.8619,6.5338,12.40858,0.7317,3.4133,1
2,3,0.8348,6.0599,12.51322,0.7942,5.3333,1
4,6,0.8348,6.0764,11.61830,0.7914,4.9231,1
4,0,0.8342,6.5708,8.97339,0.7140,3.0843,1
4,7,0.8342,6.5800,8.26209,0.7113,3.1605,1
2,7,0.8149,6.6336,8.49694,0.7051,2.8764,2
3,9,0.8149,6.4140,8.86995,0.7406,3.6571,1
3,4,0.7759,6.8680,8.93973,0.6608,2.4854,1
1,3,0.7352,6.7224,4.37962,0.6870,2.7234,1
1,7,0.7352,6.7530,4.94687,0.6795,2.4854,1
0,0,0.0000,7.2402,1.72787,0.5584,1.7902,0
0,1,0.0000,7.3036,5.24762,0.5302,1.6732,0
0,2,0.0000,6.8945,13.49617,0.6549,2.3704,0
0,3,0.0000,6.8723,7.13996,0.6596,2.4854,0
0,4,0.0000,7.1829,3.06099,0.5692,1.8286,0
0,5,0.0000,7.2972,4.33753,0.5361,1.6623,0
0,6,0.0000,7.2263,3.47484,0.5587,1.7415,0
0,7,0.0000,7.1686,5.70845,0.5751,1.7778,0
0,8,0.0000,7.0601,4.35521,0.6068,2.0157,0
0,9,0.0000,6.9222,6.59552,0.6327,2.1695,0
0,10,0.0000,6.9623,11.45996,0.6387,2.2857,0
0,11,0.0000,7.1665,4.28001,0.5742,1.7655,0
1,1,0.0000,6.8571,5.49302,0.6592,2.3273,0
1,2,0.0000,6.7251,4.77878,0.6881,2.6392,0
1,4,0.0000,6.7919,6.64861,0.6640,2.4381,0
1,5,0.0000,6.9560,3.54463,0.6357,2.2456,0
1,6,0.0000,7.0995,5.79118,0.5940,1.8551,0
1,8,0.0000,7.0726,5.41364,0.6021,2.0000,0
1,10,0.0000,6.7755,6.53118,0.6662,2.4381,0
1,11,0.0000,6.7640,4.86190,0.6785,2.5098,0
2,0,0.0000,6.8406,7.09768,0.6548,2.3704,0
2,1,0.0000,7.1543,3.40356,0.5727,1.7902,0
2,2,0.0000,6.9962,4.89696,0.6175,2.0480,0
2,4,0.0000,7.0731,3.47078,0.6027,2.0157,0
2,5,0.0000,6.7047,8.24073,0.6911,2.6667,0
2,6,0.0000,6.8693,7.34877,0.6385,2.1333,0
2,8,0.0000,6.8045,5.86302,0.6576,2.3063,0
2,9,0.0000,6.8248,5.55582,0.6575,2.3273,0
2,10,0.0000,6.9105,5.27823,0.6454,2.3063,0
2,11,0.0000,6.8178,8.94712,0.6656,2.3704,0
3,0,0.0000,7.0164,4.66776,0.6099,1.9692,0
3,1,0.0000,6.6492,7.43573,0.6931,2.6392,0
3,2,0.0000,6.4345,9.87490,0.7351,3.2405,0
3,3,0.0000,6.2321,10.09778,0.7638,4.3390,0
3,5,0.0000,6.9950,4.99500,0.6178,2.0813,0
3,6,0.0000,5.6958,13.25509,0.8391,7.5294,0
3,7,0.0000,5.6783,13.35172,0.8422,7.5294,0
3,8,0.0000,6.6641,5.67920,0.6855,2.7234,0
3,10,0.0000,6.9711,8.25704,0.6292,2.1333,0
3,11,0.0000,6.2857,10.75184,0.7622,3.9385,0
4,1,0.0000,6.6344,8.23706,0.6917,2.8132,0
4,2,0.0000,7.0300,4.66622,0.6092,2.0157,0
4,3,0.0000,6.4102,9.19306,0.7332,3.3247,0
4,4,0.0000,6.6115,7.95836,0.7056,2.9767,0
4,5,0.0000,6.7714,7.18780,0.6684,2.3925,0
4,8,0.0000,7.1465,4.33964,0.5764,1.8028,0
4,9,0.0000,5.8697,11.85684,0.8130,7.3143,0
4,10,0.0000,7.1535,3.91410,0.5669,1.7415,0
4,11,0.0000,6.9891,4.41907,0.6111,2.0645,0
5,0,0.0000,7.0297,6.43104,0.6163,2.0645,0
5,1,0.0000,6.7721,8.20918,0.6829,2.6667,0
5,2,0.0000,7.1050,4.51732,0.5977,1.9845,0
5,3,0.0000,6.9632,7.72212,0.6358,2.1513,0
5,4,0.0000,6.8222,9.64635,0.6699,2.4615,0
5,5,0.0000,6.9630,7.23392,0.6355,2.1880,0
5,6,0.0000,6.6163,9.32453,0.7152,3.1220,0
5,8,0.0000,7.1548,5.63877,0.5833,1.9104,0
5,9,0.0000,7.1186,4.41561,0.5926,1.9104,0
5,10,0.0000,6.9371,7.99212,0.6424,2.2655,0
