layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,51.593,1.0000,0.00006,0.01009,1.0000
0,0,0.20,42.839,0.9997,0.00050,0.02764,0.9762
0,0,0.30,36.998,0.9989,0.00186,0.05415,0.9592
0,0,0.40,33.031,0.9973,0.00469,0.08550,0.9354
0,0,0.50,30.450,0.9952,0.00809,0.11509,0.8639
0,1,0.10,57.207,1.0000,0.00077,0.01503,1.0000
0,1,0.20,47.533,0.9997,nan,0.04577,0.9286
0,1,0.30,42.079,0.9988,nan,0.08576,0.9048
0,1,0.40,37.530,0.9967,nan,0.14478,0.9048
0,1,0.50,33.847,0.9923,nan,0.22124,0.7993
0,2,0.10,95.150,1.0000,nan,0.00024,1.0000
0,2,0.20,80.730,1.0000,nan,0.00128,0.9286
0,2,0.30,73.508,1.0000,nan,0.00293,0.9286
0,2,0.40,65.514,1.0000,nan,0.00736,0.8095
0,2,0.50,55.866,1.0000,nan,0.02235,0.6871
0,3,0.10,74.924,1.0000,0.00012,0.00198,1.0000
0,3,0.20,64.088,1.0000,nan,0.00690,1.0000
0,3,0.30,57.261,1.0000,nan,0.01514,0.9524
0,3,0.40,51.333,0.9999,nan,0.02996,0.8810
0,3,0.50,45.608,0.9997,nan,0.05792,0.8095
0,4,0.10,62.995,1.0000,0.00011,0.00955,1.0000
0,4,0.20,53.644,0.9999,0.00095,0.02804,0.9762
0,4,0.30,46.984,0.9993,0.00283,0.06036,0.9286
0,4,0.40,42.472,0.9980,0.00744,0.10147,0.8333
0,4,0.50,39.400,0.9960,nan,0.14453,0.7755
0,5,0.10,57.714,1.0000,0.00065,0.01391,1.0000
0,5,0.20,48.106,0.9997,0.00336,0.04204,0.9048
0,5,0.30,42.218,0.9990,nan,0.08280,0.8095
0,5,0.40,38.425,0.9976,nan,0.12814,0.8163
0,5,0.50,34.270,0.9936,nan,0.20676,0.6769
0,6,0.10,62.960,1.0000,0.00022,0.00779,1.0000
0,6,0.20,51.199,0.9998,nan,0.03018,0.9354
0,6,0.30,45.290,0.9994,nan,0.05959,0.8401
0,6,0.40,41.049,0.9983,nan,0.09709,0.8401
0,6,0.50,38.222,0.9968,nan,0.13444,0.7866
0,7,0.10,60.675,1.0000,0.00033,0.01008,0.9524
0,7,0.20,51.495,0.9999,0.00221,0.02902,0.9524
0,7,0.30,45.802,0.9996,nan,0.05588,0.9048
0,7,0.40,40.879,0.9989,nan,0.09849,0.7755
0,7,0.50,37.113,0.9974,nan,0.15195,0.6701
0,8,0.10,66.531,1.0000,0.00016,0.00499,1.0000
0,8,0.20,54.492,0.9999,0.00123,0.01994,0.9762
0,8,0.30,48.306,0.9998,0.00568,0.04064,0.9524
0,8,0.40,43.616,0.9993,nan,0.06974,0.9524
