layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,1.72787,1.47064,0.25724,5.71708,7.28601,-0.00000,0.54166,0,0.04154,1.66234,14,196,16
0,1,5.24762,2.29622,2.95140,0.77801,7.36761,-0.00000,0.51045,1,0.08728,1.61006,14,196,16
0,2,13.49617,5.48282,8.01335,0.68421,7.04441,-0.00000,0.61660,1,0.06689,2.16949,14,196,16
0,3,7.13996,4.14177,2.99819,1.38142,6.80742,-0.00000,0.67483,0,0.02603,2.58586,14,196,16
0,4,3.06099,1.80408,1.25691,1.43534,7.25116,-0.00000,0.54354,0,0.05210,1.71812,14,196,16
0,5,4.33753,2.42391,1.91362,1.26666,7.31543,-0.00000,0.52413,0,0.07530,1.61006,14,196,16
0,6,3.47484,2.08422,1.39062,1.49877,7.32751,-0.00000,0.52377,0,0.07948,1.64103,14,196,16
0,7,5.70845,2.55857,3.14988,0.81228,7.21217,-0.00000,0.56449,1,0.08341,1.79021,14,196,16
0,8,4.35521,2.44079,1.91442,1.27495,7.04523,-0.00000,0.61162,0,0.05195,2.01575,14,196,16
0,9,6.59552,4.02122,2.57430,1.56206,6.98542,-0.00000,0.61081,0,0.06633,1.92481,14,196,16
0,10,11.45996,4.20348,7.25649,0.57927,7.10450,-0.00000,0.59997,1,0.06709,2.01575,14,196,16
0,11,4.28001,2.68199,1.59801,1.67833,7.13878,-0.00000,0.57530,0,0.06409,1.76552,14,196,16
1,0,16.18347,5.50292,10.68056,0.51523,7.04808,-0.00000,0.61292,1,0.05493,2.13333,14,196,16
1,1,5.49302,3.45822,2.03481,1.69953,7.00321,-0.00000,0.62226,0,0.04571,2.16949,14,196,16
1,2,4.77878,3.01714,1.76164,1.71268,6.92975,-0.00000,0.64432,0,0.03607,2.26549,14,196,16
1,3,4.37962,2.95387,1.42574,2.07181,6.89932,-0.00000,0.64619,0,0.04281,2.30631,14,196,16
1,4,6.64861,3.86397,2.78464,1.38760,6.82055,-0.00000,0.65331,0,0.05553,2.34862,14,196,16
1,5,3.54463,2.65202,0.89261,2.97110,7.03443,-0.00000,0.61383,0,0.03528,2.01575,14,196,16
1,6,5.79118,3.20597,2.58521,1.24012,7.06841,-0.00000,0.59456,0,0.07841,1.85507,14,196,16
1,7,4.94687,3.79277,1.15409,3.28636,6.82678,-0.00000,0.65985,0,0.03074,2.43810,14,196,16
1,8,5.41364,3.15913,2.25451,1.40125,7.07162,-0.00000,0.59830,0,0.06406,1.96923,14,196,16
1,9,16.47588,5.41899,11.05690,0.49010,7.04854,-0.00000,0.61293,1,0.04897,2.11570,14,196,16
1,10,6.53118,3.79190,2.73928,1.38427,6.94728,-0.00000,0.62845,0,0.04715,2.15126,14,196,16
1,11,4.86190,2.94895,1.91295,1.54157,7.03017,-0.00000,0.61553,0,0.03702,2.11570,14,196,16
2,0,7.09768,2.61520,4.48248,0.58343,6.76490,-0.00000,0.67595,1,0.03997,2.58586,14,196,16
2,1,3.40356,1.89690,1.50666,1.25901,7.14189,-0.00000,0.58009,0,0.06218,1.80282,14,196,16
2,2,4.89696,2.32671,2.57025,0.90525,6.88421,-0.00000,0.64725,1,0.03897,2.22609,14,196,16
2,3,12.51322,4.52566,7.98756,0.56659,5.94594,-0.00000,0.81278,1,0.01219,5.33333,14,196,16
2,4,3.47078,1.66465,1.80613,0.92166,7.10438,-0.00000,0.59148,1,0.05063,1.86861,14,196,16
2,5,8.24073,3.02682,5.21391,0.58053,6.94934,-0.00000,0.63616,1,0.05109,2.15126,14,196,16
2,6,7.34877,2.92461,4.42415,0.66106,6.81565,-0.00000,0.65810,1,0.05006,2.39252,14,196,16
2,7,8.49694,3.30334,5.19360,0.63604,6.59048,-0.00000,0.71076,1,0.03247,3.01176,14,196,16
2,8,5.86302,2.55641,3.30661,0.77312,6.76848,-0.00000,0.67067,1,0.03427,2.46154,14,196,16
2,9,5.55582,2.63115,2.92467,0.89964,6.80027,-0.00000,0.66417,1,0.03910,2.39252,14,196,16
2,10,5.27823,2.41505,2.86317,0.84349,6.95612,-0.00000,0.63126,1,0.04672,2.15126,14,196,16
2,11,8.94712,3.28283,5.66429,0.57957,6.85237,-0.00000,0.66021,1,0.03344,2.30631,14,196,16
3,0,4.66776,2.22997,2.43779,0.91475,6.93491,-0.00000,0.64029,1,0.03343,2.24561,14,196,16
3,1,7.43574,2.72411,4.71163,0.57817,6.59765,-0.00000,0.70511,1,0.04143,2.97674,14,196,16
3,2,9.87491,3.76993,6.10497,0.61752,6.44282,-0.00000,0.73223,1,0.02586,3.12195,14,196,16
3,3,10.09778,3.62927,6.46851,0.56107,6.16941,-0.00000,0.77795,1,0.01811,4.57143,14,196,16
3,4,8.93973,3.41621,5.52352,0.61848,6.86848,-0.00000,0.66016,1,0.03070,2.43810,14,196,16
3,5,4.99500,1.88184,3.11316,0.60448,7.06559,-0.00000,0.60226,1,0.04546,1.92481,14,196,16
3,6,13.25509,4.98671,8.26839,0.60311,5.71645,-0.00000,0.83844,1,0.00728,6.91892,14,196,16
3,7,13.35172,4.94617,8.40555,0.58844,5.70071,-0.00000,0.83984,1,0.00823,7.31429,14,196,16
3,8,5.67920,3.50262,2.17659,1.60922,6.59823,-0.00000,0.70685,0,0.03049,2.94253,14,196,16
3,9,8.86995,3.67416,5.19578,0.70714,6.23955,-0.00000,0.76813,1,0.01805,4.12903,14,196,16
3,10,8.25704,2.64864,5.60840,0.47226,6.99333,-0.00000,0.62865,1,0.05690,2.16949,14,196,16
3,11,10.75184,4.25264,6.49921,0.65433,6.24757,-0.00000,0.76856,1,0.01941,4.00000,14,196,16
4,0,8.97339,3.14041,5.83298,0.53839,6.48764,-0.00000,0.72581,1,0.02669,3.28205,14,196,16
4,1,8.23706,2.97066,5.26640,0.56408,6.66542,-0.00000,0.69071,1,0.04171,2.72340,14,196,16
4,2,4.66622,2.10510,2.56112,0.82195,7.01467,-0.00000,0.61760,1,0.04424,1.98450,14,196,16
4,3,9.19306,3.66865,5.52442,0.66408,6.28598,-0.00000,0.75065,1,0.02638,4.00000,14,196,16
4,4,7.95836,2.95091,5.00745,0.58930,6.67489,-0.00000,0.68812,1,0.04605,2.72340,14,196,16
4,5,7.18781,2.54417,4.64364,0.54788,6.86411,-0.00000,0.63910,1,0.07048,2.13333,14,196,16
4,6,11.61830,4.47193,7.14637,0.62576,5.99670,-0.00000,0.80535,1,0.00805,5.22449,14,196,16
4,7,8.26209,2.77249,5.48960,0.50504,6.64440,-0.00000,0.70021,1,0.02544,2.66667,14,196,16
4,8,4.33964,2.18700,2.15264,1.01596,7.00152,-0.00000,0.62009,0,0.04617,2.06452,14,196,16
4,9,11.85684,4.27470,7.58215,0.56378,5.84563,-0.00000,0.81704,1,0.01266,6.73684,14,196,16
4,10,3.91410,1.86004,2.05406,0.90554,7.04399,-0.00000,0.60404,1,0.05559,1.96923,14,196,16
4,11,4.41907,2.12469,2.29438,0.92604,6.83335,-0.00000,0.65563,1,0.03977,2.39252,14,196,16
5,0,6.43104,4.00555,2.42549,1.65144,6.97403,-0.00000,0.63356,0,0.05316,2.26549,14,196,16
5,1,8.20918,5.04316,3.16603,1.59290,6.67242,-0.00000,0.70430,0,0.02201,3.12195,14,196,16
