layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,0,0.9517,7.0481,16.18347,0.6129,2.1333,1
1,9,0.9517,7.0485,16.47588,0.6129,2.1157,1
5,7,0.8622,6.5637,12.60990,0.7249,3.4133,1
5,11,0.8622,6.4807,12.40858,0.7410,3.6571,1
4,0,0.8348,6.4876,8.97339,0.7258,3.2821,1
4,7,0.8348,6.6444,8.26209,0.7002,2.6667,1
2,3,0.8321,5.9459,12.51322,0.8128,5.3333,1
4,6,0.8321,5.9967,11.61830,0.8053,5.2245,1
1,3,0.7499,6.8993,4.37962,0.6462,2.3063,1
1,7,0.7499,6.8268,4.94687,0.6598,2.4381,1
0,0,0.0000,7.2860,1.72787,0.5417,1.6623,0
0,1,0.0000,7.3676,5.24762,0.5104,1.6101,0
0,2,0.0000,7.0444,13.49617,0.6166,2.1695,0
0,3,0.0000,6.8074,7.13996,0.6748,2.5859,0
0,4,0.0000,7.2512,3.06099,0.5435,1.7181,0
0,5,0.0000,7.3154,4.33753,0.5241,1.6101,0
0,6,0.0000,7.3275,3.47484,0.5238,1.6410,0
0,7,0.0000,7.2122,5.70845,0.5645,1.7902,0
0,8,0.0000,7.0452,4.35521,0.6116,2.0157,0
0,9,0.0000,6.9854,6.59552,0.6108,1.9248,0
0,10,0.0000,7.1045,11.45996,0.6000,2.0157,0
0,11,0.0000,7.1388,4.28001,0.5753,1.7655,0
1,1,0.0000,7.0032,5.49302,0.6223,2.1695,0
1,2,0.0000,6.9298,4.77878,0.6443,2.2655,0
1,4,0.0000,6.8206,6.64861,0.6533,2.3486,0
1,5,0.0000,7.0344,3.54463,0.6138,2.0157,0
1,6,0.0000,7.0684,5.79118,0.5946,1.8551,0
1,8,0.0000,7.0716,5.41364,0.5983,1.9692,0
1,10,0.0000,6.9473,6.53118,0.6285,2.1513,0
1,11,0.0000,7.0302,4.86190,0.6155,2.1157,0
2,0,0.0000,6.7649,7.09768,0.6760,2.5859,0
2,1,0.0000,7.1419,3.40356,0.5801,1.8028,0
2,2,0.0000,6.8842,4.89696,0.6472,2.2261,0
2,4,0.0000,7.1044,3.47078,0.5915,1.8686,0
2,5,0.0000,6.9493,8.24073,0.6362,2.1513,0
2,6,0.0000,6.8156,7.34877,0.6581,2.3925,0
2,7,0.0000,6.5905,8.49694,0.7108,3.0118,0
2,8,0.0000,6.7685,5.86302,0.6707,2.4615,0
2,9,0.0000,6.8003,5.55582,0.6642,2.3925,0
2,10,0.0000,6.9561,5.27823,0.6313,2.1513,0
2,11,0.0000,6.8524,8.94712,0.6602,2.3063,0
3,0,0.0000,6.9349,4.66776,0.6403,2.2456,0
3,1,0.0000,6.5977,7.43574,0.7051,2.9767,0
3,2,0.0000,6.4428,9.87491,0.7322,3.1220,0
3,3,0.0000,6.1694,10.09778,0.7780,4.5714,0
3,4,0.0000,6.8685,8.93973,0.6602,2.4381,0
3,5,0.0000,7.0656,4.99500,0.6023,1.9248,0
3,6,0.0000,5.7164,13.25509,0.8384,6.9189,0
3,7,0.0000,5.7007,13.35172,0.8398,7.3143,0
3,8,0.0000,6.5982,5.67920,0.7068,2.9425,0
3,9,0.0000,6.2396,8.86995,0.7681,4.1290,0
3,10,0.0000,6.9933,8.25704,0.6287,2.1695,0
3,11,0.0000,6.2476,10.75184,0.7686,4.0000,0
4,1,0.0000,6.6654,8.23706,0.6907,2.7234,0
4,2,0.0000,7.0147,4.66622,0.6176,1.9845,0
4,3,0.0000,6.2860,9.19306,0.7507,4.0000,0
4,4,0.0000,6.6749,7.95836,0.6881,2.7234,0
4,5,0.0000,6.8641,7.18781,0.6391,2.1333,0
4,8,0.0000,7.0015,4.33964,0.6201,2.0645,0
4,9,0.0000,5.8456,11.85684,0.8170,6.7368,0
4,10,0.0000,7.0440,3.91410,0.6040,1.9692,0
4,11,0.0000,6.8333,4.41907,0.6556,2.3925,0
5,0,0.0000,6.9740,6.43104,0.6336,2.2655,0
5,1,0.0000,6.6724,8.20918,0.7043,3.1220,0
5,2,0.0000,7.0499,4.51732,0.6132,2.0645,0
5,3,0.0000,6.8486,7.72212,0.6651,2.5859,0
5,4,0.0000,6.8035,9.64635,0.6757,2.6947,0
5,5,0.0000,6.9524,7.23392,0.6391,2.2857,0
5,6,0.0000,6.6005,9.32453,0.7184,3.4133,0
5,8,0.0000,7.2359,5.63877,0.5547,1.7415,0
5,9,0.0000,7.0307,4.41561,0.6181,2.0813,0
5,10,0.0000,6.8392,7.99212,0.6671,2.6122,0
