layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,2.06949,1.73300,0.33649,5.15024,7.32990,-0.00000,0.52693,0,0.05671,1.62025,13,169,16
0,1,3.21497,2.10457,1.11040,1.89532,7.29117,-0.00000,0.53549,0,0.04169,1.67320,13,169,16
0,2,13.69930,6.30497,7.39433,0.85268,6.99360,-0.00000,0.62903,1,0.05105,2.20690,13,169,16
0,3,7.87697,4.78665,3.09032,1.54892,6.75739,-0.00000,0.68307,0,0.02846,2.61224,13,169,16
0,4,3.54378,2.35547,1.18831,1.98220,7.23852,-0.00000,0.54862,0,0.05532,1.72973,13,169,16
0,5,4.74815,2.72711,2.02104,1.34936,7.20640,-0.00000,0.56336,0,0.06300,1.74150,13,169,16
0,6,3.33516,2.12726,1.20790,1.76112,7.37091,-0.00000,0.50721,0,0.06539,1.59006,13,169,16
0,7,5.00401,3.35063,1.65338,2.02653,7.04513,-0.00000,0.59589,0,0.05849,1.88235,13,169,16
0,8,3.83066,3.09095,0.73971,4.17857,7.02775,-0.00000,0.60627,0,0.03628,1.96923,13,169,16
0,9,5.55716,3.03012,2.52704,1.19908,7.36514,-0.00000,0.50935,0,0.11290,1.56098,13,169,16
0,10,11.31978,5.01786,6.30192,0.79624,7.16998,-0.00000,0.57858,1,0.06319,1.88235,13,169,16
0,11,5.08110,3.21228,1.86882,1.71889,7.08313,-0.00000,0.59252,0,0.06503,1.89630,13,169,16
1,0,18.31327,7.28187,11.03141,0.66010,7.11211,-0.00000,0.59585,1,0.07093,2.03175,13,169,16
1,1,5.80644,3.56283,2.24361,1.58799,7.02647,-0.00000,0.61552,0,0.04856,2.04800,13,169,16
1,2,6.11880,4.33799,1.78081,2.43596,6.79044,-0.00000,0.66254,0,0.05036,2.39252,13,169,16
1,3,5.36026,3.74513,1.61513,2.31879,6.83140,-0.00000,0.65259,0,0.04375,2.24561,13,169,16
1,4,10.81263,5.24555,5.56708,0.94225,6.82578,-0.00000,0.66585,1,0.06141,2.66667,13,169,16
1,5,5.18143,3.67911,1.50232,2.44895,6.80522,-0.00000,0.65871,0,0.03897,2.32727,13,169,16
1,6,10.17223,5.04581,5.12642,0.98428,6.93852,-0.00000,0.63499,1,0.07101,2.16949,13,169,16
1,7,5.61824,3.88434,1.73390,2.24024,6.74284,-0.00000,0.67253,0,0.03654,2.56000,13,169,16
1,8,11.55385,6.09110,5.46276,1.11502,6.85838,-0.00000,0.65964,0,0.05080,2.48544,13,169,16
1,9,18.47715,7.23627,11.24089,0.64375,7.13697,-0.00000,0.58796,1,0.07851,1.98450,13,169,16
1,10,5.30194,3.15531,2.14663,1.46989,7.14836,-0.00000,0.57398,0,0.06877,1.79021,13,169,16
1,11,5.72290,3.90101,1.82189,2.14118,6.82791,-0.00000,0.65890,0,0.04023,2.34862,13,169,16
2,0,8.46248,5.40004,3.06243,1.76332,6.69627,-0.00000,0.67701,0,0.04971,2.53465,13,169,16
2,1,3.69459,2.60056,1.09404,2.37703,7.15952,-0.00000,0.56599,0,0.05254,1.82857,13,169,16
