layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,2.06949,1.68679,0.38269,4.40768,7.36186,-0.00000,0.51589,0,0.05495,1.62025,13,169,16
0,1,3.21497,1.91825,1.29672,1.47930,7.32205,-0.00000,0.52487,0,0.07483,1.56098,13,169,16
0,2,13.69930,5.46516,8.23414,0.66372,7.03824,-0.00000,0.61541,1,0.04864,2.09836,13,169,16
0,3,7.87697,4.52299,3.35398,1.34855,6.90628,-0.00000,0.64806,0,0.03880,2.32727,13,169,16
0,4,3.54378,1.97358,1.57020,1.25690,7.18806,-0.00000,0.57007,0,0.04674,1.80282,13,169,16
0,5,4.74815,2.59735,2.15080,1.20762,7.27439,-0.00000,0.54234,0,0.07450,1.68421,13,169,16
0,6,3.33516,2.03229,1.30287,1.55985,7.36840,-0.00000,0.51160,0,0.06618,1.58025,13,169,16
0,7,5.00401,2.66233,2.34169,1.13693,6.89373,-0.00000,0.64258,0,0.03505,2.22609,13,169,16
0,8,3.83066,2.92941,0.90125,3.25040,7.03341,-0.00000,0.61060,0,0.04304,2.00000,13,169,16
0,9,5.55716,2.55588,3.00128,0.85160,7.31896,-0.00000,0.52867,1,0.09214,1.64103,13,169,16
0,10,11.31978,4.39003,6.92975,0.63350,7.12492,-0.00000,0.59288,1,0.05283,2.00000,13,169,16
0,11,5.08110,2.61250,2.46860,1.05829,7.05861,-0.00000,0.60318,0,0.06228,1.95420,13,169,16
1,0,18.31327,6.34944,11.96383,0.53072,7.00052,-0.00000,0.62709,1,0.04505,2.18803,13,169,16
1,1,5.80644,3.01348,2.79297,1.07895,6.94028,-0.00000,0.63516,0,0.04976,2.16949,13,169,16
1,2,6.11880,3.08615,3.03265,1.01764,6.64904,-0.00000,0.69649,0,0.03243,2.81319,13,169,16
1,3,5.36026,2.78958,2.57067,1.08516,6.81513,-0.00000,0.66167,0,0.03667,2.39252,13,169,16
1,4,10.81263,4.06224,6.75040,0.60178,6.76311,-0.00000,0.68507,1,0.03625,2.81319,13,169,16
1,5,5.18143,2.74415,2.43728,1.12591,6.78121,-0.00000,0.66959,0,0.03462,2.43810,13,169,16
1,6,10.17223,4.45849,5.71374,0.78031,6.98053,-0.00000,0.62602,1,0.07270,2.09836,13,169,16
1,7,5.61824,2.97929,2.63894,1.12897,6.71354,-0.00000,0.68479,0,0.03170,2.63918,13,169,16
1,8,11.55385,4.66312,6.89073,0.67672,6.84139,-0.00000,0.66668,1,0.04794,2.58586,13,169,16
1,9,18.47715,6.43056,12.04659,0.53381,7.00882,-0.00000,0.62504,1,0.04720,2.18803,13,169,16
1,10,5.30194,2.68245,2.61949,1.02403,7.17877,-0.00000,0.56948,0,0.07849,1.75342,13,169,16
1,11,5.72290,2.90158,2.82132,1.02845,6.76946,-0.00000,0.67689,0,0.02704,2.58586,13,169,16
2,0,8.46247,4.06255,4.39992,0.92332,6.54598,-0.00000,0.70765,1,0.03604,3.01176,13,169,16
2,1,3.69459,2.29853,1.39607,1.64643,7.09963,-0.00000,0.59320,0,0.04689,1.91045,13,169,16
2,2,8.54147,4.33010,4.21137,1.02819,6.61665,-0.00000,0.70509,0,0.02915,2.84444,13,169,16
2,3,13.17151,6.56396,6.60755,0.99340,6.00813,-0.00000,0.79921,1,0.01212,5.33333,13,169,16
2,4,7.79098,4.20500,3.58599,1.17262,6.69311,-0.00000,0.68367,0,0.03920,2.61224,13,169,16
2,5,7.24648,4.05072,3.19576,1.26753,6.78474,-0.00000,0.67124,0,0.03410,2.48544,13,169,16
2,6,6.37710,3.45177,2.92533,1.17996,6.93331,-0.00000,0.63459,0,0.04854,2.11570,13,169,16
2,7,9.95903,4.87579,5.08324,0.95919,6.63673,-0.00000,0.70256,1,0.02724,2.87640,13,169,16
2,8,9.69734,5.45465,4.24269,1.28566,6.38098,-0.00000,0.74884,0,0.02085,3.65714,13,169,16
2,9,6.27428,3.44859,2.82569,1.22044,6.71272,-0.00000,0.67617,0,0.03510,2.58586,13,169,16
2,10,5.95479,3.10819,2.84659,1.09190,6.94594,-0.00000,0.63241,0,0.04143,2.16949,13,169,16
2,11,8.53792,3.98736,4.55055,0.87624,6.98078,-0.00000,0.62888,1,0.03354,2.13333,13,169,16
3,0,6.03374,3.28039,2.75335,1.19141,6.98827,-0.00000,0.62134,0,0.04830,2.06452,13,169,16
3,1,8.35166,3.87346,4.47820,0.86496,6.91460,-0.00000,0.64346,1,0.05011,2.26549,13,169,16
3,2,9.15793,4.69343,4.46451,1.05128,6.52786,-0.00000,0.71848,0,0.02291,2.97674,13,169,16
3,3,9.87706,4.76554,5.11152,0.93231,6.70329,-0.00000,0.68318,1,0.04004,2.53465,13,169,16
3,4,10.59179,4.26128,6.33050,0.67313,7.07872,-0.00000,0.60626,1,0.05087,2.00000,13,169,16
3,5,4.37337,2.24247,2.13090,1.05236,7.04089,-0.00000,0.60877,0,0.04243,2.01575,13,169,16
3,6,12.84593,6.28787,6.55806,0.95880,5.88802,-0.00000,0.81337,1,0.01085,6.56410,13,169,16
3,7,13.24934,6.72554,6.52379,1.03093,5.82206,-0.00000,0.82222,0,0.00990,7.31429,13,169,16
3,8,7.02679,4.66933,2.35746,1.98066,6.69037,-0.00000,0.68736,0,0.02444,2.53465,13,169,16
3,9,8.17460,4.23534,3.93926,1.07516,6.59813,-0.00000,0.70811,0,0.02176,2.87640,13,169,16
3,10,7.75959,3.83311,3.92648,0.97622,6.65990,-0.00000,0.69280,1,0.03234,2.69474,13,169,16
3,11,10.44861,5.31314,5.13547,1.03460,6.26647,-0.00000,0.75991,0,0.01658,4.06349,13,169,16
4,0,7.50120,3.58760,3.91360,0.91670,6.97697,-0.00000,0.63112,1,0.04923,2.22609,13,169,16
4,1,6.59217,3.10135,3.49082,0.88843,6.93192,-0.00000,0.63600,1,0.04822,2.18803,13,169,16
4,2,4.86645,2.71004,2.15641,1.25674,7.17742,-0.00000,0.57139,0,0.05246,1.80282,13,169,16
4,3,8.45246,4.46265,3.98981,1.11851,6.57499,-0.00000,0.70433,0,0.02675,2.90909,13,169,16
4,4,7.18748,3.72078,3.46670,1.07329,6.66368,-0.00000,0.68405,0,0.04132,2.75269,13,169,16
4,5,4.18166,2.29433,1.88733,1.21565,6.95556,-0.00000,0.62782,0,0.03458,2.13333,13,169,16
4,6,11.58513,5.87158,5.71356,1.02766,6.01433,-0.00000,0.80111,0,0.00926,5.12000,13,169,16
4,7,5.94016,2.91042,3.02974,0.96062,7.03259,-0.00000,0.60840,1,0.05746,1.89630,13,169,16
4,8,4.82452,2.84182,1.98270,1.43331,7.05541,-0.00000,0.60303,0,0.04870,1.92481,13,169,16
4,9,11.94005,5.86928,6.07077,0.96681,5.99890,-0.00000,0.79498,1,0.01595,6.09524,13,169,16
4,10,4.76962,2.54663,2.22299,1.14559,6.92635,-0.00000,0.63811,0,0.03227,2.20690,13,169,16
4,11,6.10466,3.48057,2.62408,1.32639,6.62580,-0.00000,0.69700,0,0.02708,2.78261,13,169,16
5,0,9.87112,4.80626,5.06486,0.94894,6.19665,-0.00000,0.77051,1,0.01961,4.33898,13,169,16
5,1,7.27297,3.91310,3.35987,1.16466,6.60904,-0.00000,0.69767,0,0.03182,2.75269,13,169,16
5,2,6.87379,4.13486,2.73892,1.50967,6.58617,-0.00000,0.70693,0,0.02658,2.84444,13,169,16
5,3,8.51928,4.38014,4.13914,1.05822,6.52824,-0.00000,0.71430,0,0.02711,2.94253,13,169,16
5,4,6.78588,3.87990,2.90598,1.33515,6.66005,-0.00000,0.69167,0,0.02424,2.63918,13,169,16
5,5,8.75040,4.33692,4.41348,0.98265,6.52408,-0.00000,0.71679,1,0.03105,3.08434,13,169,16
5,6,6.34139,4.08182,2.25957,1.80646,6.64191,-0.00000,0.69752,0,0.02617,2.75269,13,169,16
5,7,13.75432,6.88069,6.87363,1.00103,5.61197,-0.00000,0.84650,0,0.00511,8.00000,13,169,16
5,8,6.20124,3.60169,2.59955,1.38550,6.99526,-0.00000,0.62449,0,0.03445,2.08130,13,169,16
5,9,7.37023,3.88362,3.48661,1.11387,6.53797,-0.00000,0.71023,0,0.02978,3.01176,13,169,16
5,10,7.41062,3.78824,3.62238,1.04579,6.46624,-0.00000,0.72847,0,0.01955,3.24051,13,169,16
5,11,11.28154,5.56834,5.71319,0.97465,5.98705,-0.00000,0.79806,1,0.01313,5.68889,13,169,16
