layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,0,0.8691,7.0005,18.31327,0.6271,2.1880,1
1,9,0.8691,7.0088,18.47715,0.6250,2.1880,1
4,4,0.8132,6.6637,7.18748,0.6841,2.7527,1
5,10,0.8132,6.4662,7.41062,0.7285,3.2405,1
3,10,0.7938,6.6599,7.75959,0.6928,2.6947,1
5,5,0.7938,6.5241,8.75040,0.7168,3.0843,2
5,3,0.7836,6.5282,8.51928,0.7143,2.9425,1
3,9,0.7658,6.5981,8.17460,0.7081,2.8764,1
4,3,0.7658,6.5750,8.45246,0.7043,2.9091,1
0,0,0.0000,7.3619,2.06949,0.5159,1.6203,0
0,1,0.0000,7.3220,3.21497,0.5249,1.5610,0
0,2,0.0000,7.0382,13.69930,0.6154,2.0984,0
0,3,0.0000,6.9063,7.87697,0.6481,2.3273,0
0,4,0.0000,7.1881,3.54378,0.5701,1.8028,0
0,5,0.0000,7.2744,4.74815,0.5423,1.6842,0
0,6,0.0000,7.3684,3.33516,0.5116,1.5802,0
0,7,0.0000,6.8937,5.00401,0.6426,2.2261,0
0,8,0.0000,7.0334,3.83066,0.6106,2.0000,0
0,9,0.0000,7.3190,5.55716,0.5287,1.6410,0
0,10,0.0000,7.1249,11.31978,0.5929,2.0000,0
0,11,0.0000,7.0586,5.08110,0.6032,1.9542,0
1,1,0.0000,6.9403,5.80644,0.6352,2.1695,0
1,2,0.0000,6.6490,6.11880,0.6965,2.8132,0
1,3,0.0000,6.8151,5.36026,0.6617,2.3925,0
1,4,0.0000,6.7631,10.81263,0.6851,2.8132,0
1,5,0.0000,6.7812,5.18143,0.6696,2.4381,0
1,6,0.0000,6.9805,10.17223,0.6260,2.0984,0
1,7,0.0000,6.7135,5.61824,0.6848,2.6392,0
1,8,0.0000,6.8414,11.55385,0.6667,2.5859,0
1,10,0.0000,7.1788,5.30194,0.5695,1.7534,0
1,11,0.0000,6.7695,5.72290,0.6769,2.5859,0
2,0,0.0000,6.5460,8.46247,0.7076,3.0118,0
2,1,0.0000,7.0996,3.69459,0.5932,1.9104,0
2,2,0.0000,6.6166,8.54147,0.7051,2.8444,0
2,3,0.0000,6.0081,13.17151,0.7992,5.3333,0
2,4,0.0000,6.6931,7.79098,0.6837,2.6122,0
2,5,0.0000,6.7847,7.24648,0.6712,2.4854,0
2,6,0.0000,6.9333,6.37710,0.6346,2.1157,0
2,7,0.0000,6.6367,9.95903,0.7026,2.8764,0
2,8,0.0000,6.3810,9.69734,0.7488,3.6571,0
2,9,0.0000,6.7127,6.27428,0.6762,2.5859,0
2,10,0.0000,6.9459,5.95479,0.6324,2.1695,0
2,11,0.0000,6.9808,8.53792,0.6289,2.1333,0
3,0,0.0000,6.9883,6.03374,0.6213,2.0645,0
3,1,0.0000,6.9146,8.35166,0.6435,2.2655,0
3,2,0.0000,6.5279,9.15793,0.7185,2.9767,0
3,3,0.0000,6.7033,9.87706,0.6832,2.5347,0
3,4,0.0000,7.0787,10.59179,0.6063,2.0000,0
3,5,0.0000,7.0409,4.37337,0.6088,2.0157,0
3,6,0.0000,5.8880,12.84593,0.8134,6.5641,0
3,7,0.0000,5.8221,13.24934,0.8222,7.3143,0
3,8,0.0000,6.6904,7.02679,0.6874,2.5347,0
3,11,0.0000,6.2665,10.44861,0.7599,4.0635,0
4,0,0.0000,6.9770,7.50120,0.6311,2.2261,0
4,1,0.0000,6.9319,6.59217,0.6360,2.1880,0
4,2,0.0000,7.1774,4.86645,0.5714,1.8028,0
4,5,0.0000,6.9556,4.18166,0.6278,2.1333,0
4,6,0.0000,6.0143,11.58513,0.8011,5.1200,0
4,7,0.0000,7.0326,5.94016,0.6084,1.8963,0
4,8,0.0000,7.0554,4.82452,0.6030,1.9248,0
4,9,0.0000,5.9989,11.94005,0.7950,6.0952,0
4,10,0.0000,6.9263,4.76962,0.6381,2.2069,0
4,11,0.0000,6.6258,6.10466,0.6970,2.7826,0
5,0,0.0000,6.1966,9.87112,0.7705,4.3390,0
5,1,0.0000,6.6090,7.27297,0.6977,2.7527,0
5,2,0.0000,6.5862,6.87379,0.7069,2.8444,0
5,4,0.0000,6.6600,6.78588,0.6917,2.6392,0
5,6,0.0000,6.6419,6.34139,0.6975,2.7527,0
5,7,0.0000,5.6120,13.75432,0.8465,8.0000,0
5,8,0.0000,6.9953,6.20124,0.6245,2.0813,0
5,9,0.0000,6.5380,7.37023,0.7102,3.0118,0
5,11,0.0000,5.9871,11.28154,0.7981,5.6889,0
