layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,2.06949,1.97699,0.09249,21.37469,6.99813,1.17019,0.55371,0,0.04817,2.06452,13,169,16
0,1,3.21497,3.10961,0.10536,29.51513,7.15661,1.01262,0.53076,0,0.08883,1.69536,13,169,16
0,2,13.69930,11.98636,1.71294,6.99756,6.47072,1.31369,0.73432,4,0.00414,3.36842,13,169,16
0,3,7.87697,6.34877,1.52819,4.15443,6.54920,1.67328,0.72581,4,0.01830,3.24051,13,169,16
0,4,3.54378,3.40487,0.13890,24.51292,6.88912,1.08651,0.61713,0,0.05983,2.16949,13,169,16
0,5,4.74815,4.33359,0.41456,10.45338,7.01292,1.32827,0.59892,4,0.07930,1.98450,13,169,16
0,6,3.33516,3.23834,0.09682,33.44804,7.06713,0.98964,0.56459,0,0.07289,1.88235,13,169,16
0,7,5.00401,4.52900,0.47501,9.53456,6.63523,1.39771,0.68579,4,0.04599,2.75269,13,169,16
0,8,3.83066,3.09368,0.73698,4.19779,6.97078,1.87379,0.61274,0,0.04895,2.11570,13,169,16
0,9,5.55716,5.13675,0.42041,12.21827,7.06670,1.18093,0.59986,4,0.07205,2.06452,13,169,16
0,10,11.31978,10.10919,1.21058,8.35068,6.65028,1.23447,0.70102,4,0.01413,2.90909,13,169,16
0,11,5.08110,4.52658,0.55452,8.16311,6.80177,1.45798,0.66108,4,0.04483,2.41509,13,169,16
1,0,18.31327,16.39677,1.91650,8.55559,6.33593,1.16654,0.73585,4,0.00000,3.24051,13,169,16
1,1,5.80644,5.17979,0.62665,8.26579,6.68881,1.47112,0.69345,4,0.02773,2.66667,13,169,16
1,2,6.11880,5.41467,0.70413,7.68982,6.37675,1.44111,0.74032,4,0.03440,3.87879,13,169,16
1,3,5.36026,4.74403,0.61622,7.69856,6.36416,1.49034,0.73646,4,0.03687,4.06349,13,169,16
1,4,10.81263,9.42262,1.39001,6.77879,6.35494,1.27902,0.75593,4,0.03159,4.49123,13,169,16
1,5,5.18143,4.58789,0.59355,7.72962,6.55925,1.44125,0.70112,4,0.04058,2.97674,13,169,16
1,6,10.17223,8.72071,1.45152,6.00797,6.68108,1.41123,0.69199,4,0.05881,2.75269,13,169,16
