layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,73.442,1.0000,nan,0.00234,0.8442
0,0,0.20,62.862,1.0000,nan,0.00791,0.8139
0,0,0.30,55.295,1.0000,nan,0.01891,0.7370
0,0,0.40,50.302,0.9999,nan,0.03360,0.7673
0,0,0.50,45.936,0.9996,nan,0.05554,0.7370
0,1,0.10,65.263,1.0000,nan,0.00600,0.6634
0,1,0.20,56.741,1.0000,nan,0.01601,0.6169
0,1,0.30,50.932,1.0000,nan,0.03125,0.6158
0,1,0.40,46.820,0.9999,nan,0.05017,0.5152
0,1,0.50,42.429,0.9997,nan,0.08317,0.4535
0,2,0.10,69.498,1.0000,nan,0.00369,0.8193
0,2,0.20,59.363,1.0000,nan,0.01184,0.7976
0,2,0.30,51.876,0.9999,nan,0.02803,0.7976
0,2,0.40,48.833,0.9998,nan,0.03979,0.7511
0,2,0.50,44.116,0.9995,nan,0.06849,0.7208
0,3,0.10,62.520,1.0000,nan,0.00823,0.7067
0,3,0.20,54.508,1.0000,nan,0.02070,0.7576
0,3,0.30,48.529,0.9999,nan,0.04121,0.6851
0,3,0.40,44.912,0.9998,nan,0.06248,0.6169
0,3,0.50,42.027,0.9995,nan,0.08710,0.5649
0,4,0.10,62.993,1.0000,nan,0.00779,0.8442
0,4,0.20,53.700,0.9999,nan,0.02272,0.8409
0,4,0.30,49.375,0.9998,nan,0.03738,0.8355
0,4,0.40,45.799,0.9997,nan,0.05642,0.8355
0,4,0.50,41.578,0.9991,nan,0.09173,0.7749
0,5,0.10,64.075,1.0000,nan,0.00688,0.6028
0,5,0.20,55.540,1.0000,nan,0.01838,0.6407
0,5,0.30,47.531,0.9999,nan,0.04622,0.5649
0,5,0.40,42.719,0.9996,nan,0.08043,0.5433
0,5,0.50,39.306,0.9991,nan,0.11914,0.5325
0,6,0.10,70.904,1.0000,nan,0.00313,0.8571
0,6,0.20,59.650,1.0000,nan,0.01145,0.7976
0,6,0.30,54.271,0.9999,nan,0.02127,0.8030
0,6,0.40,49.396,0.9998,nan,0.03729,0.7814
0,6,0.50,45.572,0.9996,nan,0.05791,0.7850
