layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,6.71002,4.20993,2.50009,1.68391,6.64682,-0.00000,0.69770,0,0.01891,2.75269,11,121,16
0,1,24.92934,10.53002,14.39932,0.73129,6.34737,-0.00000,0.75791,1,0.03125,4.12903,11,121,16
0,2,6.63908,4.05103,2.58805,1.56528,6.63708,-0.00000,0.70028,0,0.02803,2.84444,11,121,16
0,3,20.91483,9.97661,10.93822,0.91209,6.48095,-0.00000,0.73419,1,0.04121,3.41333,11,121,16
0,4,10.80711,6.23767,4.56944,1.36509,6.81404,-0.00000,0.67332,0,0.03738,2.61224,11,121,16
0,5,22.83838,9.07815,13.76023,0.65974,6.67028,-0.00000,0.69900,1,0.04622,2.72340,11,121,16
0,6,7.08570,5.04165,2.04404,2.46651,6.68246,-0.00000,0.69632,0,0.02127,2.75269,11,121,16
0,7,6.81924,3.82446,2.99478,1.27704,6.82662,-0.00000,0.65352,0,0.03618,2.24561,11,121,16
0,8,6.84705,3.41432,3.43273,0.99464,6.90758,-0.00000,0.64101,1,0.02213,2.24561,11,121,16
0,9,6.50549,3.67341,2.83208,1.29707,6.52678,-0.00000,0.72024,0,0.02050,3.28205,11,121,16
0,10,6.37705,3.99787,2.37918,1.68036,6.71394,-0.00000,0.69318,0,0.01680,2.90909,11,121,16
0,11,5.81298,4.06390,1.74908,2.32345,6.67788,-0.00000,0.69592,0,0.02360,2.81319,11,121,16
1,0,7.60441,4.00951,3.59489,1.11534,6.93799,-0.00000,0.62856,0,0.04533,2.08130,11,121,16
1,1,7.14430,3.45425,3.69006,0.93610,6.65420,-0.00000,0.69170,1,0.02501,2.75269,11,121,16
1,2,6.76126,3.19688,3.56437,0.89690,6.56523,-0.00000,0.71274,1,0.01885,3.12195,11,121,16
1,3,6.77404,4.19765,2.57639,1.62927,6.35853,-0.00000,0.75658,0,0.01289,3.82090,11,121,16
1,4,7.29351,3.75174,3.54177,1.05928,6.33866,-0.00000,0.75498,0,0.01663,3.65714,11,121,16
1,5,7.64948,3.81644,3.83303,0.99567,6.70321,-0.00000,0.68834,1,0.02271,2.61224,11,121,16
1,6,7.91587,3.96656,3.94931,1.00437,6.58077,-0.00000,0.71155,0,0.01926,2.81319,11,121,16
1,7,7.06981,4.03553,3.03428,1.32998,6.40778,-0.00000,0.74173,0,0.01632,3.55556,11,121,16
1,8,8.15602,3.38674,4.76927,0.71012,6.29264,-0.00000,0.75980,1,0.01537,3.93846,11,121,16
1,9,9.46923,3.40480,6.06443,0.56144,6.28965,-0.00000,0.75776,1,0.01632,3.76471,11,121,16
1,10,9.76564,5.88296,3.88269,1.51518,6.66731,-0.00000,0.69659,0,0.02127,3.08434,11,121,16
1,11,17.17059,7.50344,9.66715,0.77618,6.67701,-0.00000,0.69723,1,0.04176,2.72340,11,121,16
2,0,7.05111,4.06849,2.98262,1.36407,6.85891,-0.00000,0.65128,0,0.03480,2.32727,11,121,16
2,1,8.79475,4.25662,4.53813,0.93797,6.21856,-0.00000,0.77088,1,0.01205,3.93846,11,121,16
2,2,10.53869,5.00070,5.53798,0.90298,7.00999,-0.00000,0.62145,1,0.04782,2.06452,11,121,16
2,3,7.85799,3.74783,4.11016,0.91184,6.83979,-0.00000,0.65321,1,0.04088,2.32727,11,121,16
2,4,7.76806,3.46256,4.30551,0.80422,6.83028,-0.00000,0.65802,1,0.02264,2.30631,11,121,16
2,5,7.82251,4.53339,3.28912,1.37830,6.83646,-0.00000,0.66139,0,0.03529,2.37037,11,121,16
2,6,10.82847,3.85479,6.97368,0.55276,6.07823,-0.00000,0.78836,1,0.01541,5.01961,11,121,16
2,7,6.21324,3.96410,2.24913,1.76250,6.77861,-0.00000,0.67720,0,0.02089,2.66667,11,121,16
2,8,9.26458,4.26600,4.99858,0.85344,6.99654,-0.00000,0.61604,1,0.05535,2.03175,11,121,16
2,9,9.87387,5.84598,4.02788,1.45138,6.93141,-0.00000,0.64237,0,0.04851,2.26549,11,121,16
2,10,6.19459,3.81643,2.37816,1.60478,6.68247,-0.00000,0.69560,0,0.02019,2.81319,11,121,16
2,11,9.65289,3.94910,5.70379,0.69236,6.03298,-0.00000,0.79423,1,0.01298,4.83019,11,121,16
3,0,14.17804,4.69380,9.48425,0.49490,5.88732,-0.00000,0.81390,1,0.00942,5.33333,11,121,16
3,1,9.68519,3.52508,6.16012,0.57224,6.26945,-0.00000,0.76048,1,0.01137,3.82090,11,121,16
3,2,8.64849,4.28398,4.36451,0.98155,6.94988,-0.00000,0.62959,1,0.03981,2.06452,11,121,16
3,3,10.32343,3.83661,6.48682,0.59145,6.86973,-0.00000,0.64665,1,0.04194,2.24561,11,121,16
3,4,13.96465,5.02111,8.94354,0.56142,5.60746,-0.00000,0.84953,1,0.00322,7.31429,11,121,16
3,5,9.13388,4.05639,5.07749,0.79890,6.15294,-0.00000,0.78290,1,0.01279,4.33898,11,121,16
3,6,8.61614,5.36251,3.25363,1.64816,7.04430,-0.00000,0.61244,0,0.04936,2.04800,11,121,16
3,7,8.08712,4.19276,3.89436,1.07662,7.01712,-0.00000,0.61587,0,0.05368,2.03175,11,121,16
3,8,8.83202,4.27297,4.55905,0.93725,6.66245,-0.00000,0.69913,1,0.02986,2.90909,11,121,16
