layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
10,0,0.9785,6.0287,12.26090,0.8024,5.2245,22
10,6,0.9785,5.9057,12.64476,0.8135,5.6889,25
10,2,0.9693,5.6144,14.34101,0.8479,7.3143,26
10,10,0.9693,5.5247,14.67186,0.8592,7.3143,26
7,0,0.9599,6.7705,9.90053,0.6674,2.4615,9
8,7,0.9599,6.8580,9.43786,0.6499,2.2069,12
6,10,0.9587,5.4940,14.77905,0.8615,8.0000,25
8,1,0.9587,5.4017,15.59809,0.8720,7.7576,22
10,7,0.9568,5.9467,11.80599,0.8095,5.6889,28
9,2,0.9549,6.1708,11.94152,0.7846,4.1290,21
11,6,0.9543,5.5263,14.30975,0.8569,8.0000,27
9,6,0.9541,5.6117,14.74522,0.8505,6.9189,24
4,2,0.9536,5.7711,12.73450,0.8275,6.5641,28
6,2,0.9536,5.6309,12.47018,0.8427,8.0000,13
3,10,0.9530,6.1975,10.04501,0.7746,4.0635,29
6,5,0.9530,6.1653,9.43019,0.7742,4.3390,26
1,8,0.9504,6.2926,8.15602,0.7598,3.9385,25
1,9,0.9504,6.2896,9.46923,0.7578,3.7647,31
10,8,0.9502,5.5393,15.02910,0.8561,7.7576,25
7,6,0.9491,5.9352,11.97167,0.8040,5.5652,28
9,8,0.9491,6.0564,11.56368,0.7962,4.9231,26
8,11,0.9474,5.9863,11.72659,0.8044,5.5652,29
1,1,0.9462,6.6542,7.14430,0.6917,2.7527,26
1,2,0.9462,6.5652,6.76126,0.7127,3.1220,20
3,1,0.9437,6.2695,9.68519,0.7605,3.8209,33
5,5,0.9431,5.6476,14.54645,0.8440,7.1111,24
7,7,0.9431,5.5164,14.71720,0.8582,8.0000,25
11,9,0.9431,5.4430,14.98738,0.8669,8.0000,24
8,9,0.9415,6.1220,10.55479,0.7818,4.2667,26
10,1,0.9393,5.5098,14.95064,0.8608,7.3143,25
5,1,0.9391,5.3462,15.90445,0.8779,7.5294,15
4,4,0.9377,6.0168,11.32515,0.7964,5.0196,26
4,10,0.9377,5.8410,12.76399,0.8182,6.0952,30
2,11,0.9373,6.0330,9.65289,0.7942,4.8302,18
2,8,0.9367,6.9965,9.26458,0.6160,2.0317,8
4,0,0.9367,6.7469,10.63422,0.6806,2.5859,2
5,2,0.9358,6.3437,8.88065,0.7497,3.6571,29
7,4,0.9358,6.4983,9.75868,0.7251,2.9425,23
5,3,0.9348,6.3904,8.15027,0.7374,3.4595,32
8,5,0.9348,6.4388,8.47938,0.7338,3.2405,29
2,6,0.9333,6.0782,10.82847,0.7884,5.0196,28
9,0,0.9331,6.2272,11.29763,0.7770,4.1967,21
3,8,0.9330,6.6625,8.83202,0.6991,2.9091,12
7,2,0.9328,5.3496,15.79415,0.8772,7.7576,15
7,10,0.9328,5.4339,15.40374,0.8684,8.0000,22
8,6,0.9321,5.7119,13.92704,0.8366,6.9189,24
9,4,0.9310,5.6446,14.57820,0.8469,6.9189,24
2,4,0.9298,6.8303,7.76806,0.6580,2.3063,23
9,9,0.9284,5.4496,15.34562,0.8676,7.5294,22
2,3,0.9279,6.8398,7.85799,0.6532,2.3273,19
0,7,0.9278,6.8266,6.81924,0.6535,2.2456,16
6,1,0.9276,5.6149,14.08050,0.8453,7.7576,27
5,9,0.9275,5.6576,13.37486,0.8429,7.3143,25
11,3,0.9269,6.3174,9.47175,0.7494,3.8209,32
11,11,0.9269,6.3157,8.88731,0.7555,3.6571,28
3,3,0.9268,6.8697,10.32343,0.6467,2.2456,6
11,5,0.9267,5.7739,13.98880,0.8300,6.2439,22
4,8,0.9263,5.9937,11.47507,0.7944,5.2245,29
8,3,0.9253,6.0036,12.39073,0.7969,5.3333,26
5,6,0.9251,6.0984,13.27739,0.7834,4.4138,14
7,1,0.9251,6.0053,12.98653,0.7945,5.0196,22
6,9,0.9241,5.3786,15.67147,0.8746,7.7576,19
9,3,0.9241,6.8244,8.54808,0.6572,2.2857,16
11,2,0.9237,5.6310,13.60250,0.8462,7.5294,24
6,8,0.9232,6.5691,8.76223,0.7084,2.8132,23
9,5,0.9227,6.0689,10.74578,0.7939,4.8302,30
8,0,0.9215,5.7557,12.15488,0.8277,7.3143,19
6,6,0.9214,5.8561,11.71805,0.8163,5.9535,27
11,10,0.9205,6.2242,9.24754,0.7658,4.0000,30
7,8,0.9197,6.3869,10.15359,0.7524,3.7647,23
0,9,0.9181,6.5268,6.50549,0.7202,3.2821,17
1,5,0.9181,6.7032,7.64948,0.6883,2.6122,19
6,3,0.9170,6.0030,10.44315,0.7971,4.9231,24
11,4,0.9170,5.8167,11.17118,0.8162,7.3143,23
6,11,0.9169,6.2247,9.12444,0.7670,4.4912,28
3,0,0.9164,5.8873,14.17804,0.8139,5.3333,11
5,11,0.9157,6.0395,10.99169,0.7923,4.8302,25
5,4,0.9149,6.6869,7.89120,0.6913,2.6667,24
0,11,0.9148,6.6779,5.81298,0.6959,2.8132,13
2,10,0.9148,6.6825,6.19459,0.6956,2.8132,16
11,7,0.9146,5.8881,12.20050,0.8086,6.2439,25
2,5,0.9144,6.8365,7.82251,0.6614,2.3704,13
4,9,0.9140,6.5535,8.00066,0.7191,3.0843,28
7,11,0.9130,5.5899,14.66460,0.8505,7.5294,26
1,4,0.9125,6.3387,7.29351,0.7550,3.6571,17
6,7,0.9125,6.4239,8.21812,0.7461,3.3684,31
5,0,0.9125,5.6065,14.11981,0.8475,7.5294,26
11,1,0.9117,5.7622,11.65238,0.8236,7.7576,18
3,5,0.9107,6.1529,9.13388,0.7829,4.3390,24
8,10,0.9104,6.1703,9.21799,0.7759,4.1967,26
9,7,0.9101,5.7686,12.27479,0.8289,6.9189,20
8,8,0.9100,6.4160,9.57483,0.7421,3.4133,28
3,7,0.9094,7.0171,8.08712,0.6159,2.0317,13
0,0,0.9093,6.6468,6.71002,0.6977,2.7527,23
0,6,0.9093,6.6825,7.08570,0.6963,2.7527,12
4,1,0.9085,6.4243,8.35089,0.7357,3.2821,31
4,6,0.9079,6.2727,8.00585,0.7651,3.9385,23
10,4,0.9068,6.0241,12.15657,0.7993,4.8302,24
1,0,0.9063,6.9380,7.60441,0.6286,2.0813,11
7,5,0.9062,6.2500,9.11293,0.7659,3.9385,30
7,9,0.9062,6.0878,10.52810,0.7853,4.5714,28
3,11,0.9057,6.8674,8.23080,0.6528,2.3273,21
3,2,0.9055,6.9499,8.64849,0.6296,2.0645,5
9,1,0.9051,5.4901,15.04239,0.8620,7.7576,24
7,3,0.9044,6.3547,8.12672,0.7518,3.5556,31
10,3,0.9024,5.9125,12.68047,0.8132,5.3333,24
9,11,0.9024,5.4226,15.37990,0.8699,7.7576,22
0,8,0.9021,6.9076,6.84705,0.6410,2.2456,13
1,3,0.9021,6.3585,6.77404,0.7566,3.8209,13
3,4,0.9018,5.6075,13.96465,0.8495,7.3143,26
2,7,0.9017,6.7786,6.21324,0.6772,2.6667,14
5,8,0.8995,5.9409,12.25634,0.8056,5.4468,25
8,4,0.8994,6.4958,8.98074,0.7271,3.1605,28
10,9,0.8994,6.6970,9.56247,0.6899,2.6122,9
5,7,0.8963,6.4332,10.58680,0.7415,3.5556,17
0,10,0.8960,6.7139,6.37705,0.6932,2.9091,17
6,4,0.8953,6.6010,8.36727,0.7089,2.7527,25
4,5,0.8947,6.7569,9.50268,0.6752,2.5098,15
1,7,0.8925,6.4078,7.06981,0.7417,3.5556,17
2,0,0.8918,6.8589,7.05111,0.6513,2.3273,21
9,10,0.8894,6.7850,9.94605,0.6724,2.4381,9
5,10,0.8874,6.6675,9.46683,0.6952,2.5098,16
2,1,0.8864,6.2186,8.79475,0.7709,3.9385,24
8,2,0.8864,6.2683,10.18708,0.7648,4.0000,29
0,2,0.8834,6.6371,6.63908,0.7003,2.8444,22
1,6,0.8814,6.5808,7.91587,0.7115,2.8132,27
10,11,0.8806,6.3965,10.77677,0.7429,3.5556,16
3,9,0.8693,6.5062,9.47246,0.7311,3.1605,25
3,6,0.8580,7.0443,8.61614,0.6124,2.0480,4
4,3,0.8580,6.9375,9.08929,0.6359,2.1333,4
2,2,0.8526,7.0100,10.53869,0.6215,2.0645,1
0,4,0.8508,6.8140,10.80711,0.6733,2.6122,1
4,7,0.8508,6.8032,9.89765,0.6698,2.3486,1
10,5,0.8495,6.4033,11.77429,0.7532,3.4133,4
2,9,0.8461,6.9314,9.87387,0.6424,2.2655,2
6,0,0.8368,6.8663,8.10665,0.6573,2.4151,14
11,0,0.8339,6.6671,6.98040,0.6980,2.6667,7
0,1,0.0000,6.3474,24.92934,0.7579,4.1290,0
0,3,0.0000,6.4809,20.91483,0.7342,3.4133,0
0,5,0.0000,6.6703,22.83838,0.6990,2.7234,0
1,10,0.0000,6.6673,9.76564,0.6966,3.0843,0
1,11,0.0000,6.6770,17.17059,0.6972,2.7234,0
4,11,0.0000,7.2615,23.90855,0.5494,1.8156,0
11,8,0.0000,6.9220,10.68288,0.6386,2.3704,0
