layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,11.02385,6.21255,4.81130,2.0268,6.7412,0.0000,0.6800,0.02841,0.4330
1,12,8.56451,5.06303,3.50148,1.6300,6.5483,0.0000,0.7145,0.01974,0.2764
2,12,8.48839,5.24516,3.24324,1.7519,6.6220,0.0000,0.6978,0.02348,0.0000
3,12,9.93477,5.56010,4.37467,1.3554,6.4708,0.0000,0.7227,0.01843,0.0000
4,12,11.30737,6.03787,5.26950,1.2546,6.4119,0.0000,0.7310,0.02280,0.2764
5,12,11.62056,6.25858,5.36198,1.1998,6.0161,0.0000,0.7918,0.00968,0.2764
6,12,10.93094,6.15546,4.77548,1.3902,6.0365,0.0000,0.7877,0.01029,0.0000
7,12,11.92654,6.36984,5.55670,1.1724,5.9624,0.0000,0.7990,0.00880,0.0000
8,12,11.01917,6.22516,4.79400,1.3482,6.1217,0.0000,0.7771,0.01300,0.0000
9,12,12.61740,7.15784,5.45956,1.4022,5.8576,0.0000,0.8118,0.00842,0.0000
10,12,12.72124,6.99671,5.72453,1.2460,5.8822,0.0000,0.8105,0.00744,0.0000
11,12,11.43186,6.53780,4.89406,1.5823,6.0480,0.0000,0.7830,0.01233,0.0000
