layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,11.02385,8.86190,2.16196,3.7706,6.2753,1.7285,0.7543,0.00000,1.4907
1,12,8.56451,6.81850,1.74601,3.9673,6.0605,1.7283,0.7833,0.00000,0.0000
2,12,8.48839,6.78106,1.70733,4.0150,6.2022,1.7441,0.7620,0.00000,0.0000
3,12,9.93477,8.12056,1.81421,4.5613,5.9825,1.6607,0.7902,0.00000,0.0000
4,12,11.30737,9.31475,1.99262,4.6007,5.8626,1.6424,0.8033,0.00000,0.0000
5,12,11.62056,9.38871,2.23185,4.2096,5.4161,1.6705,0.8450,0.00000,0.0000
6,12,10.93094,8.71443,2.21650,3.8974,5.4569,1.7184,0.8401,0.00000,0.0000
7,12,11.92654,9.66038,2.26616,4.2873,5.3204,1.6650,0.8535,0.00000,0.0000
8,12,11.01917,8.76747,2.25170,3.9883,5.5600,1.7051,0.8340,0.00000,0.0000
9,12,12.61740,9.89027,2.72713,3.7444,5.2166,1.7150,0.8632,0.00000,0.0000
10,12,12.72123,10.12837,2.59287,4.0280,5.2679,1.6872,0.8619,0.00000,0.0000
11,12,11.43186,8.90769,2.52418,3.5136,5.4089,1.7319,0.8423,0.00000,1.1055
