layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,6.71002,4.25196,2.45806,1.72980,6.65144,-0.00000,0.69681,0,0.01907,2.75269,11,121,16
0,1,24.92934,10.48381,14.44553,0.72575,6.58385,-0.00000,0.71657,1,0.04540,3.16049,11,121,16
0,2,6.63908,4.09875,2.54032,1.61348,6.59848,-0.00000,0.70900,0,0.02303,2.97674,11,121,16
0,3,20.91483,9.95008,10.96475,0.90746,6.64292,-0.00000,0.70417,1,0.05762,3.01176,11,121,16
0,4,10.80711,6.23668,4.57043,1.36457,6.93383,-0.00000,0.64343,0,0.05863,2.24561,11,121,16
0,5,22.83838,9.10693,13.73145,0.66322,6.79643,-0.00000,0.67305,1,0.06305,2.48544,11,121,16
0,6,7.08570,5.06698,2.01872,2.51000,6.67659,-0.00000,0.69762,0,0.01990,2.78261,11,121,16
0,7,6.81924,3.85187,2.96737,1.29808,6.81217,-0.00000,0.65807,0,0.03134,2.37037,11,121,16
0,8,6.84705,3.48653,3.36052,1.03750,6.86293,-0.00000,0.65246,0,0.01879,2.32727,11,121,16
0,9,6.50549,3.73359,2.77190,1.34694,6.49900,-0.00000,0.72543,0,0.02160,3.45946,11,121,16
0,10,6.37705,4.02626,2.35078,1.71273,6.76009,-0.00000,0.68283,0,0.02237,2.78261,11,121,16
0,11,5.81298,4.08858,1.72440,2.37102,6.66702,-0.00000,0.69848,0,0.02002,2.84444,11,121,16
1,0,7.60441,4.03447,3.56994,1.13012,6.92045,-0.00000,0.63484,0,0.03747,2.15126,11,121,16
1,1,7.14430,3.51709,3.62721,0.96964,6.62516,-0.00000,0.69949,1,0.01864,2.84444,11,121,16
1,2,6.76126,3.27069,3.49057,0.93701,6.51819,-0.00000,0.72244,1,0.01755,3.32468,11,121,16
1,3,6.77404,4.24278,2.53126,1.67616,6.35353,-0.00000,0.75765,0,0.01228,3.82090,11,121,16
1,4,7.29351,3.82378,3.46973,1.10204,6.30415,-0.00000,0.76155,0,0.01209,3.93846,11,121,16
1,5,7.64948,3.87864,3.77083,1.02859,6.68125,-0.00000,0.69395,0,0.02140,2.69474,11,121,16
1,6,7.91587,4.04963,3.86624,1.04743,6.56440,-0.00000,0.71537,0,0.01937,2.84444,11,121,16
1,7,7.06981,4.10111,2.96869,1.38145,6.38694,-0.00000,0.74535,0,0.01704,3.71014,11,121,16
1,8,8.15602,3.50379,4.65223,0.75314,6.27939,-0.00000,0.76231,1,0.01483,4.06349,11,121,16
1,9,9.46923,3.56055,5.90869,0.60259,6.26139,-0.00000,0.76470,1,0.01327,3.87879,11,121,16
1,10,9.76564,5.86362,3.90202,1.50272,6.71029,-0.00000,0.68868,0,0.02179,2.87640,11,121,16
1,11,17.17059,7.50104,9.66955,0.77574,6.81506,-0.00000,0.66746,1,0.06024,2.46154,11,121,16
2,0,7.05111,4.07969,2.97143,1.37297,6.84209,-0.00000,0.65599,0,0.03909,2.39252,11,121,16
2,1,8.79475,4.38282,4.41193,0.99340,6.22231,-0.00000,0.77029,1,0.01405,4.00000,11,121,16
2,2,10.53869,5.01103,5.52766,0.90654,6.99256,-0.00000,0.62683,1,0.04701,2.09836,11,121,16
2,3,7.85799,3.77676,4.08123,0.92540,6.81893,-0.00000,0.66010,1,0.03669,2.41509,11,121,16
2,4,7.76807,3.52414,4.24392,0.83040,6.82120,-0.00000,0.66054,1,0.02753,2.43810,11,121,16
2,5,7.82251,4.55363,3.26888,1.39303,6.82438,-0.00000,0.66403,0,0.02980,2.34862,11,121,16
2,6,10.82847,4.00353,6.82495,0.58660,6.08871,-0.00000,0.78713,1,0.01190,5.01961,11,121,16
2,7,6.21324,3.97616,2.23708,1.77739,6.78538,-0.00000,0.67592,0,0.02136,2.66667,11,121,16
2,8,9.26458,4.32820,4.93638,0.87680,6.97220,-0.00000,0.62262,1,0.04852,2.04800,11,121,16
2,9,9.87387,5.85695,4.01692,1.45807,6.90238,-0.00000,0.64949,0,0.04364,2.30631,11,121,16
2,10,6.19459,3.84758,2.34701,1.63935,6.69467,-0.00000,0.69282,0,0.02084,2.78261,11,121,16
2,11,9.65289,4.06228,5.59061,0.72663,5.99378,-0.00000,0.80154,1,0.01045,5.33333,11,121,16
3,0,14.17805,4.89051,9.28754,0.52657,5.79880,-0.00000,0.82814,1,0.00762,6.09524,11,121,16
3,1,9.68519,3.67565,6.00954,0.61164,6.28416,-0.00000,0.75805,1,0.01368,3.82090,11,121,16
3,2,8.64849,4.26892,4.37957,0.97473,6.98629,-0.00000,0.62078,1,0.04738,2.04800,11,121,16
3,3,10.32343,3.89865,6.42478,0.60681,6.74192,-0.00000,0.68116,1,0.02851,2.56000,11,121,16
3,4,13.96465,5.22033,8.74432,0.59700,5.51422,-0.00000,0.86161,1,0.00278,8.00000,11,121,16
3,5,9.13389,4.15832,4.97557,0.83575,6.15022,-0.00000,0.78410,1,0.00967,4.41379,11,121,16
3,6,8.61614,5.35401,3.26213,1.64126,7.01551,-0.00000,0.61990,0,0.03925,2.06452,11,121,16
3,7,8.08712,4.24353,3.84359,1.10405,6.94986,-0.00000,0.63464,0,0.03921,2.15126,11,121,16
3,8,8.83202,4.26787,4.56415,0.93509,6.66237,-0.00000,0.69988,1,0.02972,2.87640,11,121,16
3,9,9.47246,3.95394,5.51852,0.71649,6.51913,-0.00000,0.72966,1,0.01593,3.12195,11,121,16
3,10,10.04501,3.76347,6.28154,0.59913,6.23042,-0.00000,0.76760,1,0.02016,4.33898,11,121,16
3,11,8.23080,3.76037,4.47043,0.84116,6.84790,-0.00000,0.65820,1,0.03226,2.37037,11,121,16
