layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
10,0,0.9782,5.9483,12.26090,0.8156,5.3333,26
10,6,0.9782,5.8402,12.64476,0.8240,6.2439,25
10,2,0.9693,5.4946,14.34101,0.8626,8.2581,23
10,10,0.9693,5.4077,14.67186,0.8725,8.2581,25
7,0,0.9595,6.6823,9.90053,0.6910,2.6392,13
8,7,0.9595,6.8088,9.43786,0.6624,2.2857,11
6,10,0.9587,5.3576,14.77905,0.8766,8.5333,24
8,1,0.9587,5.2609,15.59809,0.8861,8.2581,18
10,7,0.9567,5.9015,11.80599,0.8172,5.8182,28
9,2,0.9548,6.1352,11.94152,0.7905,4.2667,21
11,6,0.9543,5.3951,14.30975,0.8721,8.5333,25
9,6,0.9541,5.4877,14.74522,0.8655,7.7576,23
4,2,0.9535,5.7821,12.73450,0.8267,6.7368,27
6,2,0.9535,5.6363,12.47018,0.8438,8.0000,15
3,10,0.9534,6.2304,10.04501,0.7676,4.3390,28
6,5,0.9534,6.1508,9.43019,0.7763,4.7407,24
1,8,0.9504,6.2794,8.15602,0.7623,4.0635,27
1,9,0.9504,6.2614,9.46923,0.7647,3.8788,31
10,8,0.9502,5.4090,15.02910,0.8713,8.5333,24
7,6,0.9490,5.9098,11.97167,0.8083,6.0952,28
9,8,0.9490,6.0213,11.56368,0.8017,5.0196,27
8,11,0.9473,5.9537,11.72659,0.8112,5.4468,29
1,1,0.9463,6.6252,7.14430,0.6995,2.8444,29
1,2,0.9463,6.5182,6.76126,0.7224,3.3247,21
3,1,0.9439,6.2842,9.68519,0.7580,3.8209,33
5,5,0.9431,5.5553,14.54645,0.8556,8.0000,21
7,7,0.9431,5.3895,14.71720,0.8731,8.5333,25
11,9,0.9431,5.3085,14.98738,0.8809,8.8276,23
8,9,0.9415,6.0868,10.55478,0.7888,4.4912,27
10,1,0.9393,5.3812,14.95064,0.8749,8.2581,25
5,1,0.9391,5.1947,15.90445,0.8922,8.2581,14
4,4,0.9374,6.0218,11.32515,0.7943,5.3333,26
4,10,0.9374,5.8062,12.76399,0.8245,6.5641,26
2,11,0.9373,5.9938,9.65289,0.8015,5.3333,16
2,8,0.9366,6.9722,9.26458,0.6226,2.0480,8
4,0,0.9366,6.7435,10.63422,0.6802,2.5859,2
5,2,0.9361,6.3742,8.88065,0.7416,3.4133,30
7,4,0.9361,6.4936,9.75868,0.7266,3.0118,25
5,3,0.9349,6.4052,8.15027,0.7350,3.3247,33
8,5,0.9349,6.4516,8.47938,0.7323,3.2821,32
2,6,0.9333,6.0887,10.82847,0.7871,5.0196,28
9,0,0.9331,6.1788,11.29763,0.7856,4.4138,22
3,8,0.9330,6.6624,8.83202,0.6999,2.8764,12
7,2,0.9328,5.1995,15.79415,0.8914,8.2581,14
7,10,0.9328,5.3025,15.40374,0.8821,8.5333,21
8,6,0.9321,5.6089,13.92704,0.8507,7.7576,22
9,4,0.9310,5.5356,14.57820,0.8606,7.7576,21
2,4,0.9307,6.8212,7.76807,0.6605,2.4381,21
9,9,0.9284,5.3123,15.34562,0.8820,8.2581,22
2,3,0.9283,6.8189,7.85799,0.6601,2.4151,19
6,1,0.9276,5.5084,14.08050,0.8594,8.5333,24
5,9,0.9276,5.5733,13.37486,0.8540,8.0000,22
0,7,0.9275,6.8122,6.81924,0.6581,2.3704,16
11,3,0.9273,6.3143,9.47175,0.7507,3.8209,32
11,11,0.9273,6.3137,8.88731,0.7557,3.7101,29
11,5,0.9266,5.6768,13.98880,0.8441,6.9189,17
