layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,72.198,1.0000,nan,0.00295,0.8492
0,0,0.20,61.260,1.0000,nan,0.01038,0.8423
0,0,0.30,54.473,0.9999,nan,0.02267,0.8029
0,0,0.40,50.978,0.9999,nan,0.03390,0.8194
0,0,0.50,46.010,0.9996,nan,0.06007,0.7718
0,1,0.10,68.673,1.0000,nan,0.00442,0.6964
0,1,0.20,59.329,1.0000,nan,0.01296,0.6372
0,1,0.30,52.450,1.0000,nan,0.02862,0.6210
0,1,0.40,48.169,0.9999,nan,0.04685,0.5109
0,1,0.50,45.054,0.9998,nan,0.06706,0.4613
0,2,0.10,65.072,1.0000,nan,0.00669,0.8770
0,2,0.20,56.554,1.0000,nan,0.01784,0.8343
0,2,0.30,50.421,0.9999,nan,0.03615,0.7867
0,2,0.40,46.002,0.9996,nan,0.06013,0.7440
0,2,0.50,41.456,0.9989,nan,0.10148,0.7867
0,3,0.10,70.968,1.0000,nan,0.00339,0.8413
0,3,0.20,60.045,1.0000,nan,0.01194,0.7044
0,3,0.30,53.124,1.0000,nan,0.02648,0.6964
0,3,0.40,46.514,0.9998,nan,0.05669,0.6849
0,3,0.50,42.288,0.9995,nan,0.09221,0.6095
0,4,0.10,66.013,1.0000,nan,0.00600,0.8770
0,4,0.20,56.688,1.0000,nan,0.01757,0.8016
0,4,0.30,49.217,0.9999,nan,0.04153,0.7639
0,4,0.40,44.236,0.9995,nan,0.07369,0.7454
0,4,0.50,39.006,0.9985,nan,0.13455,0.6620
0,5,0.10,60.606,1.0000,nan,0.01119,0.6915
0,5,0.20,53.307,1.0000,nan,0.02593,0.6419
0,5,0.30,44.837,0.9997,nan,0.06876,0.5678
0,5,0.40,40.006,0.9991,nan,0.11992,0.6025
0,5,0.50,34.768,0.9969,nan,0.21916,0.5271
0,6,0.10,71.017,1.0000,nan,0.00338,0.7996
0,6,0.20,60.427,1.0000,nan,0.01142,0.8690
0,6,0.30,52.994,0.9999,nan,0.02688,0.8294
0,6,0.40,47.667,0.9997,nan,0.04964,0.7718
0,6,0.50,42.850,0.9991,nan,0.08644,0.7639
0,7,0.10,64.187,1.0000,nan,0.00741,0.8621
0,7,0.20,56.338,1.0000,nan,0.01829,0.8343
0,7,0.30,52.215,0.9999,nan,0.02940,0.8065
0,7,0.40,46.568,0.9996,nan,0.05634,0.7867
0,7,0.50,41.326,0.9988,nan,0.10301,0.7917
0,8,0.10,66.845,1.0000,nan,0.00546,0.8194
0,8,0.20,58.517,1.0000,nan,0.01423,0.8145
0,8,0.30,50.081,0.9998,nan,0.03759,0.7867
0,8,0.40,45.255,0.9995,nan,0.06553,0.7867
0,8,0.50,39.861,0.9984,nan,0.12193,0.7440
0,9,0.10,67.398,1.0000,nan,0.00512,0.8016
0,9,0.20,61.561,1.0000,nan,0.01003,0.7788
0,9,0.30,52.108,0.9999,nan,0.02977,0.7589
0,9,0.40,47.342,0.9997,nan,0.05154,0.7589
0,9,0.50,44.506,0.9994,nan,0.07143,0.7196
0,10,0.10,67.771,1.0000,nan,0.00490,0.8294
0,10,0.20,59.101,1.0000,nan,0.01331,0.8294
0,10,0.30,54.461,0.9999,nan,0.02271,0.8065
0,10,0.40,49.030,0.9998,nan,0.04243,0.7440
0,10,0.50,44.810,0.9994,nan,0.06897,0.7163
0,11,0.10,68.478,1.0000,nan,0.00452,0.8770
0,11,0.20,62.008,1.0000,nan,0.00952,0.8542
0,11,0.30,55.262,0.9999,nan,0.02071,0.8145
0,11,0.40,48.436,0.9997,nan,0.04544,0.7474
0,11,0.50,44.595,0.9993,nan,0.07070,0.7751
1,0,0.10,67.731,1.0000,nan,0.00493,0.8770
1,0,0.20,57.584,1.0000,nan,0.01585,0.8621
1,0,0.30,50.114,0.9998,nan,0.03745,0.8343
1,0,0.40,44.738,0.9995,nan,0.06955,0.7325
1,0,0.50,41.264,0.9988,nan,0.10374,0.7440
1,1,0.10,70.989,1.0000,nan,0.00339,0.8194
1,1,0.20,60.427,1.0000,nan,0.01142,0.8472
1,1,0.30,55.890,1.0000,nan,0.01926,0.8343
1,1,0.40,50.275,0.9999,nan,0.03676,0.7996
1,1,0.50,45.879,0.9996,nan,0.06099,0.7867
1,2,0.10,69.543,1.0000,nan,0.00400,0.8770
1,2,0.20,61.667,1.0000,nan,0.00990,0.8492
1,2,0.30,57.166,1.0000,nan,0.01663,0.8294
1,2,0.40,52.408,0.9999,nan,0.02876,0.7867
1,2,0.50,47.184,0.9997,nan,0.05248,0.7751
1,3,0.10,76.223,1.0000,nan,0.00185,0.8492
1,3,0.20,67.893,1.0000,nan,0.00484,0.8016
1,3,0.30,61.308,1.0000,nan,0.01032,0.7163
1,3,0.40,56.630,1.0000,nan,0.01769,0.7163
1,3,0.50,51.104,0.9999,nan,0.03342,0.7474
1,4,0.10,76.620,1.0000,nan,0.00177,0.8343
1,4,0.20,67.183,1.0000,nan,0.00525,0.7996
1,4,0.30,58.379,1.0000,nan,0.01446,0.7996
1,4,0.40,52.849,0.9999,nan,0.02734,0.7718
1,4,0.50,50.579,0.9999,nan,0.03550,0.8029
1,5,0.10,68.150,1.0000,nan,0.00470,0.8621
1,5,0.20,56.567,1.0000,nan,0.01782,0.8214
1,5,0.30,52.662,0.9999,nan,0.02793,0.8065
1,5,0.40,46.626,0.9997,nan,0.05596,0.7672
1,5,0.50,43.086,0.9993,nan,0.08411,0.7361
1,6,0.10,75.947,1.0000,nan,0.00191,0.8423
1,6,0.20,63.257,1.0000,nan,0.00825,0.8145
1,6,0.30,57.047,1.0000,nan,0.01686,0.7751
1,6,0.40,51.706,0.9999,nan,0.03118,0.7996
1,6,0.50,45.762,0.9996,nan,0.06181,0.7312
1,7,0.10,71.257,1.0000,nan,0.00328,0.8343
1,7,0.20,66.616,1.0000,nan,0.00560,0.8343
1,7,0.30,57.821,1.0000,nan,0.01542,0.8194
1,7,0.40,53.031,0.9999,nan,0.02677,0.8145
1,7,0.50,48.059,0.9998,nan,0.04745,0.7718
1,8,0.10,78.236,1.0000,nan,0.00147,0.8492
1,8,0.20,66.672,1.0000,nan,0.00557,0.8343
1,8,0.30,58.026,1.0000,nan,0.01506,0.8029
1,8,0.40,52.686,0.9999,nan,0.02785,0.7996
1,8,0.50,49.510,0.9999,nan,0.04015,0.7996
1,9,0.10,77.257,1.0000,nan,0.00165,0.8571
1,9,0.20,66.444,1.0000,nan,0.00571,0.8016
1,9,0.30,60.588,1.0000,nan,0.01121,0.7440
1,9,0.40,55.835,1.0000,nan,0.01938,0.7196
1,9,0.50,51.736,0.9999,nan,0.03107,0.6756
1,10,0.10,71.519,1.0000,nan,0.00319,0.8621
1,10,0.20,63.006,1.0000,nan,0.00849,0.8016
1,10,0.30,56.848,1.0000,nan,0.01725,0.7669
1,10,0.40,50.075,0.9998,nan,0.03762,0.7126
1,10,0.50,45.480,0.9995,nan,0.06385,0.7520
1,11,0.10,61.625,1.0000,nan,0.00995,0.7946
1,11,0.20,54.475,1.0000,nan,0.02267,0.7540
1,11,0.30,46.809,0.9998,nan,0.05479,0.7242
1,11,0.40,41.754,0.9993,nan,0.09806,0.6964
1,11,0.50,36.856,0.9978,nan,0.17234,0.5883
2,0,0.10,64.167,1.0000,nan,0.00743,0.8571
2,0,0.20,58.260,1.0000,nan,0.01466,0.8343
2,0,0.30,51.134,0.9999,nan,0.03330,0.8343
2,0,0.40,45.337,0.9995,nan,0.06491,0.7589
2,0,0.50,41.972,0.9990,nan,0.09562,0.7440
2,1,0.10,79.610,1.0000,nan,0.00126,0.8571
2,1,0.20,67.782,1.0000,nan,0.00490,0.8492
2,1,0.30,59.765,1.0000,nan,0.01233,0.7996
2,1,0.40,52.801,0.9999,nan,0.02749,0.8228
2,1,0.50,48.857,0.9999,nan,0.04328,0.8194
2,2,0.10,60.935,1.0000,nan,0.01077,0.8194
2,2,0.20,52.055,0.9999,nan,0.02995,0.8690
2,2,0.30,46.457,0.9998,nan,0.05706,0.7361
2,2,0.40,41.936,0.9994,nan,0.09602,0.7394
2,2,0.50,37.869,0.9984,nan,0.15336,0.6885
2,3,0.10,66.389,1.0000,nan,0.00575,0.8770
2,3,0.20,59.711,1.0000,nan,0.01241,0.8492
2,3,0.30,51.576,0.9999,nan,0.03165,0.8505
2,3,0.40,46.369,0.9997,nan,0.05764,0.7996
2,3,0.50,42.463,0.9992,nan,0.09038,0.7996
2,4,0.10,62.848,1.0000,nan,0.00865,0.8492
2,4,0.20,53.758,1.0000,nan,0.02462,0.8065
2,4,0.30,47.433,0.9998,nan,0.05100,0.8426
2,4,0.40,43.130,0.9994,nan,0.08369,0.7801
2,4,0.50,38.699,0.9984,nan,0.13940,0.7603
2,5,0.10,66.494,1.0000,nan,0.00568,0.8343
2,5,0.20,59.307,1.0000,nan,0.01300,0.8621
2,5,0.30,52.585,0.9999,nan,0.02818,0.8065
2,5,0.40,47.213,0.9997,nan,0.05230,0.7589
2,5,0.50,42.078,0.9990,nan,0.09447,0.7718
2,6,0.10,76.570,1.0000,nan,0.00178,0.8423
2,6,0.20,66.448,1.0000,nan,0.00571,0.8542
2,6,0.30,59.169,1.0000,nan,0.01320,0.7440
2,6,0.40,51.598,0.9999,nan,0.03157,0.7589
2,6,0.50,46.828,0.9998,nan,0.05468,0.7589
2,7,0.10,69.334,1.0000,nan,0.00410,0.8690
2,7,0.20,60.652,1.0000,nan,0.01113,0.8343
2,7,0.30,54.226,0.9999,nan,0.02333,0.8343
2,7,0.40,48.166,0.9997,nan,0.04687,0.8294
2,7,0.50,44.831,0.9993,nan,0.06880,0.8228
2,8,0.10,66.385,1.0000,nan,0.00575,0.8770
2,8,0.20,56.107,1.0000,nan,0.01879,0.8492
2,8,0.30,49.643,0.9998,nan,0.03954,0.8492
2,8,0.40,45.352,0.9996,nan,0.06480,0.7917
2,8,0.50,42.236,0.9991,nan,0.09277,0.8145
2,9,0.10,63.637,1.0000,nan,0.00789,0.8621
2,9,0.20,57.899,1.0000,nan,0.01528,0.7996
2,9,0.30,48.931,0.9998,nan,0.04292,0.8343
2,9,0.40,42.929,0.9994,nan,0.08565,0.7788
2,9,0.50,39.073,0.9985,nan,0.13352,0.6409
2,10,0.10,79.050,1.0000,nan,0.00134,0.8492
2,10,0.20,65.281,1.0000,nan,0.00653,0.8294
2,10,0.30,55.188,0.9999,nan,0.02088,0.8065
2,10,0.40,50.485,0.9998,nan,0.03589,0.7589
2,10,0.50,46.064,0.9996,nan,0.05970,0.7034
2,11,0.10,80.883,1.0000,nan,0.00108,0.8343
2,11,0.20,68.086,1.0000,nan,0.00473,0.7937
2,11,0.30,62.388,1.0000,nan,0.00912,0.7937
2,11,0.40,57.613,1.0000,nan,0.01580,0.7312
2,11,0.50,52.884,0.9999,nan,0.02722,0.7474
3,0,0.10,83.877,1.0000,nan,0.00077,0.8770
3,0,0.20,77.446,1.0000,nan,0.00161,0.7751
3,0,0.30,68.742,1.0000,nan,0.00439,0.6849
3,0,0.40,62.371,1.0000,nan,0.00913,0.6210
3,0,0.50,58.174,1.0000,nan,0.01481,0.5605
3,1,0.10,75.254,1.0000,nan,0.00207,0.8492
3,1,0.20,66.656,1.0000,nan,0.00558,0.8621
3,1,0.30,59.182,1.0000,nan,0.01319,0.8343
3,1,0.40,52.586,0.9999,nan,0.02818,0.8029
3,1,0.50,49.081,0.9999,nan,0.04218,0.7589
3,2,0.10,62.603,1.0000,nan,0.00889,0.8492
3,2,0.20,51.708,0.9999,nan,0.03117,0.8505
3,2,0.30,45.509,0.9996,nan,0.06364,0.8343
3,2,0.40,41.756,0.9991,nan,0.09803,0.7867
3,2,0.50,38.008,0.9979,nan,0.15094,0.7440
3,3,0.10,65.243,1.0000,nan,0.00656,0.8343
3,3,0.20,55.307,1.0000,nan,0.02060,0.7639
3,3,0.30,47.458,0.9998,nan,0.05085,0.6918
3,3,0.40,43.047,0.9995,nan,0.08449,0.6488
3,3,0.50,38.207,0.9986,nan,0.14752,0.6131
3,4,0.10,86.491,1.0000,nan,0.00057,0.8492
3,4,0.20,75.416,1.0000,nan,0.00203,0.8492
3,4,0.30,67.342,1.0000,nan,0.00515,0.8194
3,4,0.40,60.998,1.0000,nan,0.01070,0.8145
3,4,0.50,55.283,1.0000,nan,0.02066,0.8029
3,5,0.10,79.141,1.0000,nan,0.00132,0.8274
3,5,0.20,69.898,1.0000,nan,0.00384,0.8294
3,5,0.30,61.043,1.0000,nan,0.01064,0.8194
3,5,0.40,54.214,1.0000,nan,0.02336,0.8194
3,5,0.50,50.360,0.9999,nan,0.03640,0.7718
3,6,0.10,66.559,1.0000,nan,0.00564,0.8194
3,6,0.20,58.466,1.0000,nan,0.01432,0.8542
3,6,0.30,51.148,0.9999,nan,0.03325,0.8145
3,6,0.40,45.388,0.9995,nan,0.06453,0.8343
3,6,0.50,40.266,0.9984,nan,0.11638,0.7718
3,7,0.10,66.432,1.0000,nan,0.00572,0.8472
3,7,0.20,53.024,0.9999,nan,0.02679,0.8065
3,7,0.30,48.672,0.9998,nan,0.04421,0.8214
3,7,0.40,43.784,0.9994,nan,0.07763,0.7474
3,7,0.50,38.899,0.9981,nan,0.13622,0.6885
3,8,0.10,62.744,1.0000,nan,0.00875,0.8770
3,8,0.20,55.487,1.0000,nan,0.02017,0.8065
3,8,0.30,47.732,0.9998,nan,0.04927,0.7639
3,8,0.40,44.153,0.9995,nan,0.07439,0.7917
3,8,0.50,38.350,0.9980,nan,0.14511,0.7510
3,9,0.10,66.819,1.0000,nan,0.00547,0.8505
3,9,0.20,59.223,1.0000,nan,0.01312,0.8899
3,9,0.30,52.430,0.9999,nan,0.02869,0.7950
3,9,0.40,46.374,0.9997,nan,0.05761,0.7394
3,9,0.50,43.045,0.9994,nan,0.08451,0.7394
3,10,0.10,75.314,1.0000,nan,0.00206,0.8621
3,10,0.20,65.385,1.0000,nan,0.00646,0.8194
3,10,0.30,59.067,1.0000,nan,0.01336,0.8294
3,10,0.40,52.953,0.9999,nan,0.02701,0.8194
3,10,0.50,46.820,0.9998,nan,0.05473,0.7751
3,11,0.10,67.523,1.0000,nan,0.00505,0.8343
3,11,0.20,57.425,1.0000,nan,0.01614,0.8274
3,11,0.30,48.745,0.9998,nan,0.04385,0.8194
3,11,0.40,44.568,0.9995,nan,0.07092,0.8029
3,11,0.50,41.333,0.9990,nan,0.10293,0.7440
4,0,0.10,62.927,1.0000,nan,0.00857,0.8145
4,0,0.20,55.337,1.0000,nan,0.02053,0.8423
4,0,0.30,48.060,0.9998,nan,0.04744,0.7589
4,0,0.40,42.860,0.9994,nan,0.08634,0.7014
4,0,0.50,39.794,0.9989,nan,0.12288,0.7014
4,1,0.10,68.345,1.0000,nan,0.00459,0.8770
4,1,0.20,57.891,1.0000,nan,0.01530,0.7718
4,1,0.30,52.327,0.9999,nan,0.02903,0.7589
4,1,0.40,45.294,0.9997,nan,0.06524,0.7034
4,1,0.50,40.883,0.9992,nan,0.10840,0.6640
4,2,0.10,85.276,1.0000,nan,0.00065,0.8343
4,2,0.20,73.342,1.0000,nan,0.00258,0.8343
4,2,0.30,68.202,1.0000,nan,0.00467,0.8343
4,2,0.40,63.132,1.0000,nan,0.00837,0.8492
4,2,0.50,58.035,1.0000,nan,0.01505,0.8148
4,3,0.10,64.790,1.0000,nan,0.00691,0.8343
4,3,0.20,54.888,1.0000,nan,0.02162,0.8194
4,3,0.30,50.074,0.9999,nan,0.03763,0.7996
4,3,0.40,43.868,0.9995,nan,0.07688,0.7718
4,3,0.50,39.876,0.9987,nan,0.12173,0.7242
4,4,0.10,79.536,1.0000,nan,0.00127,0.8770
4,4,0.20,70.020,1.0000,nan,0.00379,0.8423
4,4,0.30,59.899,1.0000,nan,0.01214,0.8343
4,4,0.40,55.429,1.0000,nan,0.02031,0.7950
4,4,0.50,51.600,0.9999,nan,0.03156,0.7672
4,5,0.10,69.457,1.0000,nan,0.00404,0.8542
4,5,0.20,61.553,1.0000,nan,0.01003,0.8621
4,5,0.30,53.936,1.0000,nan,0.02412,0.8065
4,5,0.40,50.645,0.9999,nan,0.03523,0.8065
4,5,0.50,45.915,0.9997,nan,0.06073,0.7867
4,6,0.10,77.613,1.0000,nan,0.00158,0.8621
4,6,0.20,65.280,1.0000,nan,0.00653,0.8343
4,6,0.30,59.917,1.0000,nan,0.01212,0.7996
4,6,0.40,54.178,1.0000,nan,0.02346,0.7867
4,6,0.50,49.343,0.9999,nan,0.04093,0.7751
4,7,0.10,68.844,1.0000,nan,0.00433,0.8770
4,7,0.20,57.843,1.0000,nan,0.01538,0.8690
4,7,0.30,51.645,0.9999,nan,0.03140,0.7788
4,7,0.40,45.180,0.9996,nan,0.06610,0.7312
4,7,0.50,40.811,0.9989,nan,0.10931,0.6756
4,8,0.10,77.581,1.0000,nan,0.00159,0.8472
4,8,0.20,68.271,1.0000,nan,0.00463,0.8343
4,8,0.30,60.523,1.0000,nan,0.01130,0.7867
4,8,0.40,56.055,1.0000,nan,0.01890,0.8065
