layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.51713,5.35166,5.16546,1.4173,6.7165,0.0000,0.6832,0.03261,0.4714
1,12,8.10036,4.11774,3.98262,1.1705,6.5175,0.0000,0.7209,0.02139,0.4714
2,12,8.70214,4.34582,4.35632,1.1624,6.6474,0.0000,0.6927,0.03021,0.4714
3,12,10.19397,4.67214,5.52184,1.0023,6.5213,0.0000,0.7112,0.03004,0.5000
4,12,11.84184,5.00694,6.83490,0.7819,6.3997,0.0000,0.7326,0.02733,0.3727
5,12,11.64559,4.73072,6.91487,0.7663,6.0711,0.0000,0.7864,0.01261,0.3727
6,12,10.86968,4.48818,6.38150,0.7787,6.1314,0.0000,0.7786,0.01464,0.2764
7,12,12.37319,4.63123,7.74196,0.6398,5.8962,0.0000,0.8075,0.01029,0.0000
8,12,11.32525,4.44745,6.87779,0.6859,6.0614,0.0000,0.7884,0.01122,0.2764
9,12,12.89190,4.91070,7.98120,0.6471,5.8309,0.0000,0.8183,0.00952,0.2764
10,12,13.01565,4.80392,8.21174,0.6066,5.8021,0.0000,0.8250,0.00653,0.0000
11,12,11.77968,4.70311,7.07657,0.7457,6.0011,0.0000,0.7930,0.01233,0.3727
