layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
5,1,0.9861,5.3101,15.92509,0.8810,7.5294,16
6,9,0.9861,5.3993,15.61880,0.8724,7.5294,20
8,11,0.9772,5.8912,11.22973,0.8122,6.0952,27
9,0,0.9772,5.9889,11.76548,0.8052,5.2245,25
11,2,0.9715,5.6006,13.61505,0.8481,8.0000,27
11,6,0.9715,5.4655,14.56800,0.8647,8.2581,28
9,6,0.9622,5.4226,15.34223,0.8706,7.5294,23
10,1,0.9622,5.3812,15.53756,0.8743,7.7576,20
5,5,0.9619,5.5660,14.76156,0.8547,7.3143,29
10,10,0.9581,5.5131,14.75476,0.8608,7.5294,28
9,2,0.9487,5.9503,12.22413,0.8103,5.6889,26
10,2,0.9482,5.4844,14.73341,0.8633,7.7576,28
7,1,0.9436,5.5977,14.38202,0.8483,7.7576,31
9,1,0.9433,5.5236,14.92990,0.8583,7.7576,27
11,5,0.9433,5.6533,14.05450,0.8418,7.3143,29
9,5,0.9421,5.7128,12.21831,0.8348,7.1111,25
10,7,0.9421,5.8527,12.02321,0.8156,6.5641,26
9,9,0.9408,5.3719,15.58764,0.8755,7.7576,20
6,6,0.9402,5.8268,12.56995,0.8221,6.0952,29
10,0,0.9397,5.9585,11.86869,0.8088,5.6889,28
7,2,0.9384,5.3629,15.78653,0.8762,7.5294,20
8,1,0.9384,5.4005,15.46212,0.8723,7.7576,21
3,10,0.9365,6.2758,9.86304,0.7635,3.8209,30
6,5,0.9365,6.0401,10.05493,0.7919,4.9231,26
7,10,0.9345,5.3507,15.74277,0.8773,7.7576,20
7,7,0.9333,5.4532,14.90634,0.8651,8.2581,27
9,4,0.9333,5.5943,14.33214,0.8494,7.5294,31
11,7,0.9332,5.6549,13.23680,0.8401,7.7576,30
10,3,0.9327,5.7744,13.20131,0.8286,6.5641,30
11,4,0.9327,5.8533,11.78495,0.8172,6.0952,26
10,5,0.9325,6.1116,11.15213,0.7871,4.8302,32
10,9,0.9325,6.3149,9.83504,0.7594,3.8788,30
7,4,0.9321,6.0553,11.87442,0.7955,4.7407,26
7,9,0.9321,5.9299,11.47757,0.8086,5.4468,27
8,3,0.9314,5.7640,13.34547,0.8283,6.7368,30
11,9,0.9304,5.4501,15.16809,0.8667,7.7576,26
9,11,0.9303,5.4120,15.35201,0.8707,7.7576,22
8,9,0.9302,5.7553,12.34307,0.8304,6.9189,27
9,7,0.9298,5.8607,11.86582,0.8137,6.7368,27
1,2,0.9255,6.5680,6.39153,0.7128,3.0118,15
2,3,0.9255,6.7436,7.32709,0.6738,2.5347,15
11,1,0.9241,5.7849,11.73015,0.8271,6.4000,23
10,6,0.9235,5.5865,14.27349,0.8524,7.1111,31
8,4,0.9231,6.2730,10.30302,0.7616,3.7101,30
8,10,0.9231,6.2205,9.39250,0.7671,4.1290,26
1,1,0.9213,6.6344,7.00505,0.7015,2.8444,24
2,5,0.9213,6.7789,7.88724,0.6730,2.4615,13
7,6,0.9177,5.7345,12.73151,0.8286,7.5294,30
8,7,0.9176,6.2428,11.15744,0.7727,4.0000,15
10,11,0.9176,6.1546,12.80464,0.7886,4.3390,11
10,8,0.9161,5.4319,15.16863,0.8689,7.7576,24
4,4,0.9161,5.9023,11.57926,0.8092,5.9535,28
5,11,0.9156,6.3138,10.56810,0.7541,3.6056,25
9,8,0.9149,6.0874,11.41699,0.7919,4.8302,31
7,11,0.9145,5.4852,14.62268,0.8612,8.5333,28
9,10,0.9125,6.3769,10.83003,0.7498,3.5556,18
2,6,0.9124,6.2632,10.42840,0.7600,3.7101,25
10,4,0.9120,6.0606,10.83496,0.7922,4.7407,32
3,1,0.9115,6.0886,10.52657,0.7871,4.9231,33
5,3,0.9111,6.1477,8.70849,0.7864,4.8302,21
11,3,0.9111,6.3366,8.53767,0.7506,3.7101,23
1,3,0.9100,6.2850,6.77147,0.7683,3.9385,6
1,4,0.9100,6.2973,7.06097,0.7641,3.8209,9
5,0,0.9097,5.6502,13.82634,0.8442,7.1111,32
0,7,0.9067,6.8576,7.28802,0.6505,2.2655,15
1,0,0.9067,6.8032,7.37917,0.6638,2.3925,19
6,1,0.9066,6.2644,11.23003,0.7675,3.7647,24
3,11,0.9060,6.8573,7.90523,0.6559,2.3486,16
5,4,0.9060,6.6187,7.89330,0.7031,2.8764,20
8,0,0.9049,5.7318,12.47377,0.8302,7.3143,27
0,10,0.9037,6.7577,6.12984,0.6820,2.6392,14
1,5,0.9037,6.8281,7.48356,0.6621,2.3925,16
1,9,0.9033,6.1062,9.80655,0.7877,4.4138,27
6,11,0.9003,6.2189,9.50678,0.7713,4.0000,28
11,11,0.9003,6.1598,9.59414,0.7801,4.3390,29
11,10,0.8980,6.4873,9.52365,0.7337,3.2405,21
7,0,0.8978,6.5336,10.35367,0.7196,3.0843,9
9,3,0.8978,6.6698,8.83810,0.6890,2.7234,15
0,9,0.8971,6.5968,6.33539,0.7050,3.0476,17
4,8,0.8969,5.8866,11.39269,0.8119,5.9535,27
3,5,0.8960,6.2097,8.42581,0.7758,4.1290,22
5,8,0.8952,5.9772,12.04902,0.8023,4.8302,27
3,4,0.8941,5.6981,13.86531,0.8372,7.1111,28
6,2,0.8941,5.8100,12.78681,0.8242,6.4000,32
4,5,0.8939,6.4388,9.70391,0.7376,3.2821,24
6,4,0.8931,6.2669,9.86858,0.7628,4.0635,29
4,10,0.8926,5.8939,12.48085,0.8117,5.6889,29
6,10,0.8922,5.8512,13.00262,0.8166,6.4000,26
2,1,0.8903,6.1973,9.81572,0.7708,3.9385,29
6,3,0.8901,6.2210,9.81713,0.7671,4.1290,28
7,3,0.8901,6.3513,8.75526,0.7490,3.4595,24
7,5,0.8900,6.2619,9.53465,0.7559,3.8209,28
8,2,0.8900,6.1360,9.56507,0.7767,4.4138,28
0,0,0.8897,6.6016,6.76418,0.7099,2.8444,15
0,6,0.8897,6.6910,7.63953,0.6850,2.4854,16
2,11,0.8894,5.9424,9.51245,0.8086,5.4468,9
5,9,0.8859,5.6011,13.67928,0.8505,7.3143,28
3,0,0.8856,5.6868,14.80580,0.8397,6.9189,20
5,10,0.8850,6.1043,10.44322,0.7807,4.5714,30
7,8,0.8828,6.6379,8.31083,0.7047,2.8444,20
3,3,0.8816,6.8840,11.21832,0.6502,2.2857,4
4,1,0.8816,6.7600,11.04696,0.6817,2.5859,4
4,2,0.8809,5.5926,13.25567,0.8490,7.7576,25
2,8,0.8784,6.8142,7.75931,0.6615,2.4854,14
3,2,0.8782,6.9956,8.96630,0.6231,2.0813,4
1,8,0.8774,6.2614,7.98059,0.7642,4.0635,16
4,6,0.8770,6.1959,8.66554,0.7743,4.3390,22
1,7,0.8756,6.4723,6.67050,0.7359,3.3247,16
8,6,0.8747,6.2621,12.60268,0.7699,3.9385,5
8,8,0.8731,6.3898,9.91468,0.7405,3.2821,24
2,10,0.8701,6.6303,6.10867,0.7057,2.9091,19
2,2,0.8693,7.0008,11.85233,0.6271,2.1880,1
2,4,0.8693,6.9965,10.19196,0.6226,2.1695,7
2,0,0.8692,6.8370,6.62653,0.6586,2.4151,20
6,8,0.8691,6.7484,8.56847,0.6756,2.4854,14
6,7,0.8685,6.4086,7.61122,0.7390,3.6571,15
2,7,0.8674,6.7574,5.83067,0.6831,2.7826,9
3,7,0.8657,6.9973,8.43160,0.6243,2.1157,6
5,6,0.8619,6.4112,11.66887,0.7458,3.5556,6
5,7,0.8619,6.4762,12.17634,0.7368,3.3684,3
1,6,0.8613,6.4855,7.43531,0.7271,3.0476,18
3,6,0.8585,6.8661,7.55008,0.6558,2.3486,3
0,2,0.8568,6.8755,7.40618,0.6487,2.2857,18
5,2,0.8567,6.6770,8.04748,0.6975,2.6667,9
8,5,0.8527,6.6699,8.11341,0.6994,2.7826,18
11,0,0.8516,6.7746,6.58882,0.6704,2.4381,21
0,8,0.8500,7.0134,6.81887,0.6092,2.0157,8
4,9,0.8489,6.6960,9.97046,0.6966,2.8132,4
0,11,0.8439,6.6700,5.74346,0.6951,2.7826,14
4,0,0.8426,6.8525,9.74119,0.6486,2.2857,6
3,8,0.8425,6.9935,9.99497,0.6265,2.1157,3
6,0,0.8309,6.5215,9.80079,0.7325,3.2000,8
3,9,0.8188,6.7034,10.77464,0.6950,2.7527,2
0,4,0.8125,6.8027,13.91753,0.6739,2.5600,2
1,11,0.8125,6.8864,13.55754,0.6487,2.1513,1
11,8,0.7690,6.7919,12.95432,0.6756,2.5859,1
0,1,0.0000,6.2940,22.45868,0.7668,4.1290,0
0,3,0.0000,6.5250,18.62565,0.7294,3.2000,0
0,5,0.0000,6.9129,17.07822,0.6429,2.1513,0
1,10,0.0000,6.5826,9.66208,0.7148,3.1605,0
2,9,0.0000,6.8065,11.08533,0.6673,2.3925,0
4,3,0.0000,6.7278,11.71751,0.6893,2.7826,0
4,7,0.0000,6.6958,10.55451,0.6974,2.8132,0
4,11,0.0000,7.1538,21.99353,0.5839,2.0000,0
