layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,75.893,1.0000,nan,0.00193,0.8492
0,0,0.20,63.486,1.0000,nan,0.00803,0.8492
0,0,0.30,55.380,0.9999,nan,0.02043,0.7996
0,0,0.40,48.663,0.9998,nan,0.04426,0.7867
0,0,0.50,42.826,0.9991,nan,0.08667,0.7669
0,1,0.10,69.291,1.0000,nan,0.00412,0.7361
0,1,0.20,57.578,1.0000,nan,0.01586,0.6478
0,1,0.30,51.294,1.0000,nan,0.03269,0.5456
0,1,0.40,45.739,0.9998,nan,0.06198,0.4563
0,1,0.50,41.400,0.9995,nan,0.10213,0.4497
0,2,0.10,73.430,1.0000,nan,0.00256,0.8145
0,2,0.20,62.036,1.0000,nan,0.00949,0.8770
0,2,0.30,54.565,0.9999,nan,0.02243,0.8690
0,2,0.40,48.545,0.9998,nan,0.04487,0.8294
0,2,0.50,43.582,0.9993,nan,0.07945,0.8065
0,3,0.10,68.419,1.0000,nan,0.00455,0.8294
0,3,0.20,59.934,1.0000,nan,0.01209,0.7460
0,3,0.30,52.127,0.9999,nan,0.02970,0.6766
0,3,0.40,45.520,0.9998,nan,0.06356,0.6964
0,3,0.50,40.892,0.9993,nan,0.10829,0.6095
0,4,0.10,71.267,1.0000,nan,0.00328,0.8294
0,4,0.20,57.026,1.0000,nan,0.01690,0.7867
0,4,0.30,47.544,0.9998,nan,0.05035,0.7391
0,4,0.40,43.009,0.9994,nan,0.08487,0.6849
0,4,0.50,37.854,0.9980,nan,0.15364,0.6815
0,5,0.10,62.831,1.0000,nan,0.00866,0.6865
0,5,0.20,52.685,1.0000,nan,0.02786,0.6786
0,5,0.30,43.215,0.9996,nan,0.08288,0.5734
0,5,0.40,38.384,0.9987,nan,0.14453,0.4382
0,5,0.50,33.180,0.9956,nan,0.26313,0.5010
0,6,0.10,73.382,1.0000,nan,0.00257,0.8621
0,6,0.20,59.591,1.0000,nan,0.01258,0.8968
0,6,0.30,52.378,0.9999,nan,0.02886,0.7718
0,6,0.40,47.319,0.9997,nan,0.05167,0.7751
0,6,0.50,43.290,0.9992,nan,0.08216,0.7440
0,7,0.10,70.736,1.0000,nan,0.00349,0.8145
0,7,0.20,61.069,1.0000,nan,0.01061,0.8343
0,7,0.30,51.455,0.9999,nan,0.03209,0.7440
0,7,0.40,46.235,0.9996,nan,0.05854,0.7325
0,7,0.50,42.556,0.9991,nan,0.08941,0.7440
0,8,0.10,75.623,1.0000,nan,0.00199,0.8423
0,8,0.20,61.495,1.0000,nan,0.01010,0.8571
0,8,0.30,51.917,0.9999,nan,0.03043,0.8016
0,8,0.40,46.197,0.9996,nan,0.05879,0.8145
0,8,0.50,42.303,0.9991,nan,0.09205,0.7937
0,9,0.10,75.771,1.0000,nan,0.00195,0.7996
0,9,0.20,66.923,1.0000,nan,0.00541,0.8294
0,9,0.30,58.847,1.0000,nan,0.01370,0.8016
0,9,0.40,51.668,0.9999,nan,0.03132,0.7867
0,9,0.50,47.406,0.9997,nan,0.05116,0.7589
0,10,0.10,74.713,1.0000,nan,0.00221,0.8294
0,10,0.20,59.412,1.0000,nan,0.01284,0.7867
0,10,0.30,53.143,0.9999,nan,0.02643,0.7867
0,10,0.40,46.710,0.9996,nan,0.05542,0.7738
0,10,0.50,41.799,0.9988,nan,0.09755,0.7113
0,11,0.10,74.935,1.0000,nan,0.00215,0.8016
0,11,0.20,66.122,1.0000,nan,0.00593,0.8343
