layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.51713,5.80208,4.71505,1.8967,6.7748,0.0000,0.6721,0.03213,0.4330
1,12,8.10036,4.95433,3.14603,1.8621,6.5493,0.0000,0.7124,0.02113,0.2764
2,12,8.70214,5.18822,3.51392,1.6915,6.6171,0.0000,0.7004,0.02268,0.2764
3,12,10.19397,5.85679,4.33718,1.5082,6.4621,0.0000,0.7215,0.02287,0.2764
4,12,11.84184,6.22956,5.61228,1.1868,6.3668,0.0000,0.7427,0.01898,0.2764
5,12,11.64559,6.49019,5.15540,1.3371,6.0167,0.0000,0.7922,0.01031,0.0000
6,12,10.86967,6.06901,4.80066,1.3381,6.1604,0.0000,0.7751,0.01120,0.0000
7,12,12.37319,6.62616,5.74703,1.1845,5.8811,0.0000,0.8092,0.00834,0.0000
8,12,11.32525,6.19738,5.12787,1.2484,6.0642,0.0000,0.7890,0.01053,0.2764
9,12,12.89190,7.09577,5.79613,1.2701,5.7843,0.0000,0.8226,0.00667,0.0000
10,12,13.01565,6.99594,6.01972,1.1893,5.7668,0.0000,0.8274,0.00591,0.2764
11,12,11.77968,6.47153,5.30815,1.3036,6.0405,0.0000,0.7847,0.01354,0.0000
