layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
5,1,0.9861,5.1422,15.92509,0.8931,8.2581,16
6,9,0.9861,5.2352,15.61879,0.8854,8.2581,18
8,11,0.9771,5.9198,11.22973,0.8085,5.9535,25
9,0,0.9771,5.8980,11.76548,0.8141,6.2439,26
11,2,0.9715,5.5938,13.61505,0.8499,8.0000,22
11,6,0.9715,5.3794,14.56800,0.8711,8.2581,27
9,6,0.9622,5.2853,15.34223,0.8810,8.2581,21
10,1,0.9622,5.2345,15.53756,0.8856,8.2581,18
5,5,0.9619,5.3763,14.76156,0.8718,8.2581,27
10,10,0.9581,5.3749,14.75476,0.8726,8.2581,27
9,2,0.9499,5.8780,12.22413,0.8162,6.0952,24
10,2,0.9482,5.3854,14.73341,0.8703,8.2581,27
7,1,0.9436,5.5189,14.38202,0.8568,8.2581,23
9,1,0.9434,5.4523,14.92990,0.8654,8.2581,24
11,5,0.9434,5.6033,14.05450,0.8486,8.0000,21
9,5,0.9419,5.8142,12.21831,0.8228,7.3143,26
10,7,0.9419,6.0036,12.02321,0.7987,5.6889,27
9,9,0.9407,5.2203,15.58764,0.8872,8.2581,18
6,6,0.9404,5.9035,12.56995,0.8138,6.2439,26
10,0,0.9404,5.8641,11.86869,0.8186,6.2439,24
7,2,0.9384,5.1840,15.78653,0.8899,8.2581,16
8,1,0.9384,5.2662,15.46212,0.8831,8.2581,19
3,10,0.9363,6.3029,9.86304,0.7601,3.9385,30
6,5,0.9363,6.1272,10.05493,0.7822,4.6545,30
7,0,0.9359,6.3542,10.35367,0.7549,3.5556,28
8,7,0.9359,6.2899,11.15744,0.7663,3.8209,12
7,10,0.9345,5.2041,15.74277,0.8885,8.2581,17
7,7,0.9334,5.3425,14.90634,0.8754,8.2581,24
9,4,0.9334,5.5618,14.33214,0.8537,8.0000,22
11,7,0.9333,5.6729,13.23680,0.8393,8.0000,24
7,4,0.9326,6.1048,11.87442,0.7899,4.6545,29
7,9,0.9326,6.1315,11.47757,0.7847,4.3390,31
10,3,0.9323,5.7606,13.20131,0.8330,6.9189,27
11,4,0.9323,5.9426,11.78495,0.8079,5.8182,28
8,3,0.9316,5.7355,13.34547,0.8353,7.3143,24
11,9,0.9304,5.3208,15.16809,0.8773,8.2581,23
9,11,0.9303,5.2659,15.35201,0.8828,8.2581,19
8,9,0.9299,5.8024,12.34307,0.8262,7.1111,26
9,7,0.9295,5.9222,11.86582,0.8104,5.9535,27
10,5,0.9279,6.1892,11.15213,0.7790,4.4138,31
10,9,0.9279,6.4071,9.83504,0.7447,3.3247,28
1,2,0.9242,6.5907,6.39154,0.7085,2.9425,20
2,3,0.9242,6.7464,7.32709,0.6747,2.4151,20
11,1,0.9236,5.8944,11.73015,0.8161,6.0952,26
10,6,0.9236,5.4579,14.27349,0.8647,8.2581,25
8,4,0.9219,6.2844,10.30301,0.7618,3.8788,31
8,10,0.9219,6.3245,9.39250,0.7541,3.7647,26
1,1,0.9217,6.6280,7.00505,0.7011,2.8132,25
2,5,0.9217,6.6978,7.88724,0.6872,2.5347,12
9,8,0.9196,6.0404,11.41698,0.7970,4.7407,32
7,6,0.9181,5.8461,12.73151,0.8211,6.7368,25
4,4,0.9157,6.0000,11.57926,0.7996,5.4468,28
5,11,0.9155,6.2831,10.56810,0.7627,4.0000,27
7,11,0.9144,5.3636,14.62268,0.8727,8.2581,26
10,8,0.9131,5.3161,15.16863,0.8777,8.2581,23
2,6,0.9126,6.2601,10.42840,0.7662,4.0000,26
3,1,0.9119,6.1525,10.52657,0.7819,4.6545,31
10,4,0.9116,6.2027,10.83496,0.7735,3.8788,31
5,0,0.9097,5.6182,13.82634,0.8462,8.0000,22
5,3,0.9086,6.3436,8.70849,0.7587,3.6571,25
11,3,0.9086,6.4307,8.53767,0.7393,3.2821,28
1,3,0.9086,6.4002,6.77147,0.7462,3.5556,11
1,4,0.9086,6.3512,7.06097,0.7503,3.7101,12
10,11,0.9066,6.0057,12.80464,0.8107,5.3333,24
6,1,0.9060,6.2615,11.23003,0.7725,4.1967,24
1,0,0.9057,6.8337,7.37917,0.6576,2.3063,20
3,11,0.9051,6.8127,7.90523,0.6618,2.3486,21
5,4,0.9051,6.6792,7.89330,0.6903,2.6667,24
9,10,0.9041,6.4462,10.83003,0.7386,3.4133,19
0,7,0.9037,6.7950,7.28802,0.6657,2.4151,18
1,9,0.9031,6.0619,9.80655,0.7969,4.9231,19
0,10,0.9026,6.8242,6.12984,0.6623,2.4381,17
1,5,0.9026,6.9256,7.48356,0.6335,2.1333,12
8,6,0.8967,6.1393,12.60268,0.7889,5.1200,16
11,11,0.8967,6.3026,9.59414,0.7582,3.8209,30
0,9,0.8966,6.5724,6.33539,0.7087,2.9767,18
4,8,0.8964,5.8814,11.39269,0.8177,6.4000,23
6,11,0.8945,6.3588,9.50678,0.7492,3.4133,29
5,8,0.8943,5.8855,12.04902,0.8164,6.4000,25
9,3,0.8941,6.6266,8.83810,0.7026,2.7234,14
