layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,6.76418,5.01131,1.75286,2.85893,6.62059,-0.00000,0.70599,0,0.02362,2.78261,12,144,16
0,1,22.45868,9.98834,12.47033,0.80097,6.46753,-0.00000,0.73784,1,0.03361,3.65714,12,144,16
0,2,7.40618,3.81163,3.59454,1.06039,6.83376,-0.00000,0.65997,0,0.03489,2.37037,12,144,16
0,3,18.62566,8.28142,10.34424,0.80058,6.60282,-0.00000,0.71551,1,0.02828,3.04762,12,144,16
0,4,13.91753,6.32584,7.59169,0.83326,6.84595,-0.00000,0.66444,1,0.05077,2.46154,12,144,16
0,5,17.07822,6.22950,10.84872,0.57421,6.96336,-0.00000,0.63025,1,0.07192,2.04800,12,144,16
0,6,7.63954,5.49001,2.14953,2.55405,6.70541,-0.00000,0.68275,0,0.03283,2.58586,12,144,16
0,7,7.28802,4.40563,2.88239,1.52846,6.82042,-0.00000,0.66182,0,0.02872,2.34862,12,144,16
0,8,6.81887,3.54629,3.27258,1.08364,6.97557,-0.00000,0.61947,0,0.03151,2.09836,12,144,16
0,9,6.33539,3.60317,2.73223,1.31877,6.55839,-0.00000,0.71283,0,0.02559,3.12195,12,144,16
0,10,6.12984,3.61797,2.51187,1.44035,6.75626,-0.00000,0.68249,0,0.02671,2.72340,12,144,16
0,11,5.74346,4.05599,1.68747,2.40359,6.65371,-0.00000,0.69872,0,0.02316,2.78261,12,144,16
1,0,7.37917,4.20509,3.17408,1.32482,6.80092,-0.00000,0.66546,0,0.02697,2.37037,12,144,16
1,1,7.00505,3.65560,3.34945,1.09140,6.60465,-0.00000,0.70854,0,0.02173,2.97674,12,144,16
1,2,6.39154,3.30135,3.09018,1.06834,6.53475,-0.00000,0.71982,0,0.01869,3.16049,12,144,16
1,3,6.77147,4.29549,2.47598,1.73487,6.28634,-0.00000,0.76771,0,0.00931,4.06349,12,144,16
1,4,7.06097,3.95218,3.10879,1.27129,6.31050,-0.00000,0.76138,0,0.01071,3.93846,12,144,16
1,5,7.48356,3.43760,4.04596,0.84964,6.82181,-0.00000,0.66319,1,0.02207,2.37037,12,144,16
1,6,7.43531,4.25094,3.18437,1.33494,6.47646,-0.00000,0.72875,0,0.01480,3.04762,12,144,16
1,7,6.67050,4.62199,2.04851,2.25626,6.46247,-0.00000,0.73718,0,0.01460,3.41333,12,144,16
1,8,7.98059,3.48741,4.49318,0.77616,6.22929,-0.00000,0.76876,1,0.01552,4.41379,12,144,16
1,9,9.80655,3.64256,6.16399,0.59094,6.07473,-0.00000,0.79308,1,0.01024,4.65455,12,144,16
1,10,9.66208,5.74672,3.91536,1.46774,6.67095,-0.00000,0.69672,0,0.02686,2.97674,12,144,16
1,11,13.55754,5.48432,8.07322,0.67932,6.92786,-0.00000,0.64026,1,0.06540,2.16949,12,144,16
2,0,6.62653,3.71347,2.91306,1.27477,6.80746,-0.00000,0.66618,0,0.02864,2.50980,12,144,16
2,1,9.81572,4.02085,5.79486,0.69387,6.20628,-0.00000,0.76906,1,0.01416,3.82090,12,144,16
2,2,11.85233,5.93328,5.91905,1.00240,6.97104,-0.00000,0.63513,0,0.05654,2.26549,12,144,16
2,3,7.32709,3.89761,3.42948,1.13650,6.67955,-0.00000,0.68968,0,0.02667,2.66667,12,144,16
2,4,10.19196,3.99031,6.20165,0.64343,6.98012,-0.00000,0.62698,1,0.04766,2.18803,12,144,16
2,5,7.88724,4.75986,3.12738,1.52200,6.74485,-0.00000,0.68278,0,0.02188,2.61224,12,144,16
2,6,10.42840,3.98460,6.44380,0.61836,6.22536,-0.00000,0.76810,1,0.01103,3.87879,12,144,16
2,7,5.83067,4.10860,1.72207,2.38585,6.80247,-0.00000,0.67245,0,0.02608,2.61224,12,144,16
2,8,7.75931,4.12587,3.63344,1.13553,6.84868,-0.00000,0.65252,0,0.03908,2.32727,12,144,16
2,9,11.08533,5.90134,5.18399,1.13838,6.81555,-0.00000,0.66607,0,0.03829,2.43810,12,144,16
2,10,6.10867,3.84723,2.26143,1.70124,6.66078,-0.00000,0.69885,0,0.02105,2.84444,12,144,16
2,11,9.51245,4.17253,5.33992,0.78138,5.94003,-0.00000,0.80930,1,0.01066,5.68889,12,144,16
3,0,14.80580,5.32302,9.48279,0.56133,5.56428,-0.00000,0.85564,1,0.00412,7.75758,12,144,16
3,1,10.52657,3.98200,6.54457,0.60844,6.04893,-0.00000,0.79397,1,0.01182,5.22449,12,144,16
3,2,8.96630,5.13061,3.83569,1.33760,6.92696,-0.00000,0.64173,0,0.03811,2.16949,12,144,16
3,3,11.21832,4.48059,6.73773,0.66500,6.83678,-0.00000,0.66368,1,0.03162,2.37037,12,144,16
3,4,13.86531,5.15829,8.70702,0.59243,5.57902,-0.00000,0.85323,1,0.00326,8.00000,12,144,16
3,5,8.42581,4.64302,3.78279,1.22741,6.23717,-0.00000,0.77059,0,0.01080,3.93846,12,144,16
3,6,7.55008,5.06973,2.48035,2.04396,6.84344,-0.00000,0.66152,0,0.03165,2.37037,12,144,16
3,7,8.43160,4.81476,3.61683,1.33121,6.99430,-0.00000,0.62601,0,0.04566,2.15126,12,144,16
3,8,9.99497,5.32651,4.66846,1.14096,6.96142,-0.00000,0.63558,0,0.04626,2.18803,12,144,16
3,9,10.77464,4.56431,6.21032,0.73496,6.68075,-0.00000,0.69905,1,0.02187,2.75269,12,144,16
