layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,11.37648,6.78429,4.59219,3.1033,6.7455,0.0000,0.6712,0.03302,0.4330
1,12,9.49463,6.29585,3.19879,2.4168,6.5600,0.0000,0.7086,0.02342,0.2764
2,12,9.48733,6.54437,2.94296,2.4242,6.6783,0.0000,0.6810,0.03281,0.0000
3,12,10.78495,7.19070,3.59425,2.0631,6.5764,0.0000,0.6959,0.03121,0.0000
4,12,12.49453,7.72841,4.76612,2.1645,6.4586,0.0000,0.7176,0.02896,0.2764
5,12,11.62908,8.30816,3.32092,2.8417,6.1198,0.0000,0.7734,0.01324,0.0000
6,12,11.08030,7.77462,3.30567,2.4672,6.2165,0.0000,0.7618,0.01529,0.0000
7,12,13.03213,8.95158,4.08054,2.2320,5.8852,0.0000,0.8099,0.00816,0.0000
8,12,11.45010,7.91063,3.53946,2.3818,6.1836,0.0000,0.7690,0.01241,0.0000
9,12,13.57848,9.15310,4.42538,2.0887,5.8368,0.0000,0.8143,0.00818,0.0000
10,12,13.88887,9.36959,4.51929,2.0943,5.7799,0.0000,0.8243,0.00528,0.0000
11,12,11.92633,8.25066,3.67568,2.3352,6.0628,0.0000,0.7789,0.01113,0.0000
