layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
8,11,0.9771,5.9635,12.11614,0.8087,5.0196,24
9,0,0.9771,6.2030,11.97657,0.7700,4.4912,18
8,1,0.9714,5.4053,15.53240,0.8713,7.7576,22
9,11,0.9714,5.3815,15.49962,0.8741,7.5294,22
6,10,0.9709,5.6787,14.06844,0.8387,6.7368,28
9,8,0.9709,5.7052,14.23731,0.8377,6.0952,28
5,0,0.9675,5.6864,14.01715,0.8418,6.2439,29
9,4,0.9675,5.5858,15.13539,0.8517,7.1111,29
7,2,0.9667,5.3316,15.86440,0.8790,7.5294,21
9,9,0.9667,5.3601,15.80270,0.8763,7.5294,22
7,10,0.9666,5.3862,15.73669,0.8734,7.5294,22
5,1,0.9666,5.3080,15.95244,0.8811,7.5294,20
6,9,0.9666,5.4006,15.79590,0.8721,7.5294,22
10,10,0.9666,5.3674,15.59441,0.8750,7.7576,22
11,9,0.9666,5.4846,15.22155,0.8627,7.5294,26
9,7,0.9633,6.1524,12.21146,0.7814,3.9385,20
4,5,0.9626,6.8096,9.61816,0.6625,2.3925,22
9,10,0.9626,6.7827,9.86704,0.6684,2.3704,25
10,1,0.9547,5.4559,15.39897,0.8657,7.7576,26
9,6,0.9546,5.3890,15.73919,0.8736,7.5294,22
10,6,0.9546,5.4398,15.28250,0.8675,7.5294,25
10,2,0.9542,5.5268,14.99610,0.8590,7.1111,29
9,3,0.9540,6.5423,9.40871,0.7072,2.8132,28
11,3,0.9540,6.6384,9.10255,0.6948,2.8444,21
5,6,0.9532,6.5380,10.55464,0.7081,2.8444,26
6,11,0.9532,6.5338,9.91528,0.7102,2.8764,31
7,7,0.9499,5.4988,15.16223,0.8617,7.3143,27
9,1,0.9494,5.4560,15.39760,0.8662,7.5294,26
5,9,0.9493,5.5751,14.12193,0.8517,7.5294,34
9,2,0.9493,5.5513,15.01833,0.8554,7.3143,29
10,3,0.9487,5.7952,13.66730,0.8240,5.9535,28
