layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,74.533,1.0000,nan,0.00188,0.8429
0,0,0.20,63.506,1.0000,nan,0.00668,0.8429
0,0,0.30,55.834,1.0000,nan,0.01615,0.8286
0,0,0.40,49.274,0.9998,nan,0.03438,0.8286
0,0,0.50,44.474,0.9995,nan,0.05975,0.8190
0,1,0.10,75.601,1.0000,nan,0.00166,0.7345
0,1,0.20,61.930,1.0000,nan,0.00801,0.7286
0,1,0.30,52.148,1.0000,nan,0.02470,0.5000
0,1,0.40,44.231,0.9998,nan,0.06144,0.4583
0,1,0.50,39.932,0.9995,nan,0.10079,0.4702
0,2,0.10,71.810,1.0000,nan,0.00257,0.8190
0,2,0.20,61.465,1.0000,nan,0.00845,0.7952
0,2,0.30,52.650,0.9999,nan,0.02331,0.8012
0,2,0.40,45.712,0.9997,nan,0.05181,0.7619
0,2,0.50,40.696,0.9990,nan,0.09230,0.7619
0,3,0.10,61.729,1.0000,nan,0.00820,0.7619
0,3,0.20,51.818,1.0000,nan,0.02565,0.7012
0,3,0.30,46.292,0.9998,nan,0.04846,0.6381
0,3,0.40,40.035,0.9993,nan,0.09960,0.6107
0,3,0.50,36.112,0.9984,nan,0.15646,0.5536
0,4,0.10,62.492,1.0000,nan,0.00751,0.8190
0,4,0.20,55.224,1.0000,nan,0.01733,0.7952
0,4,0.30,47.772,0.9998,nan,0.04087,0.8429
0,4,0.40,41.671,0.9993,nan,0.08250,0.7107
0,4,0.50,37.994,0.9983,nan,0.12599,0.6536
0,5,0.10,63.066,1.0000,nan,0.00703,0.7619
0,5,0.20,53.824,1.0000,nan,0.02036,0.6536
0,5,0.30,44.766,0.9998,nan,0.05777,0.5964
0,5,0.40,40.278,0.9993,nan,0.09685,0.5548
0,5,0.50,35.391,0.9980,nan,0.16999,0.6024
0,6,0.10,70.505,1.0000,nan,0.00298,0.8429
0,6,0.20,58.092,1.0000,nan,0.01246,0.8524
0,6,0.30,49.194,0.9998,nan,0.03470,0.7952
0,6,0.40,44.764,0.9996,nan,0.05778,0.7857
0,6,0.50,39.698,0.9986,nan,0.10354,0.7524
0,7,0.10,71.272,1.0000,nan,0.00273,0.8429
0,7,0.20,57.812,1.0000,nan,0.01286,0.7952
0,7,0.30,51.233,0.9999,nan,0.02744,0.8012
0,7,0.40,46.979,0.9997,nan,0.04477,0.8190
0,7,0.50,41.182,0.9990,nan,0.08728,0.7857
0,8,0.10,70.205,1.0000,nan,0.00309,0.8679
