layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
8,11,0.9755,5.8760,12.11614,0.8186,6.0952,24
9,0,0.9755,6.0831,11.97657,0.7896,5.0196,22
8,1,0.9714,5.2577,15.53240,0.8831,8.2581,22
9,11,0.9714,5.2341,15.49962,0.8858,8.2581,22
6,10,0.9708,5.5638,14.06843,0.8520,8.2581,23
9,8,0.9708,5.6050,14.23730,0.8492,8.0000,21
5,0,0.9675,5.5838,14.01715,0.8520,8.0000,22
9,4,0.9675,5.4393,15.13539,0.8669,8.2581,26
7,2,0.9667,5.1626,15.86440,0.8916,8.2581,18
9,9,0.9667,5.1938,15.80269,0.8890,8.2581,21
7,10,0.9666,5.2317,15.73669,0.8857,8.2581,22
5,1,0.9666,5.1345,15.95243,0.8935,8.2581,16
6,9,0.9666,5.2266,15.79589,0.8863,8.2581,22
10,10,0.9666,5.2255,15.59441,0.8864,8.2581,22
11,9,0.9666,5.3287,15.22155,0.8771,8.2581,24
4,5,0.9650,6.6621,9.61816,0.6983,2.6947,27
9,10,0.9650,6.5959,9.86704,0.7132,2.9425,29
9,7,0.9640,6.0639,12.21146,0.7923,4.7407,19
5,6,0.9563,6.4382,10.55464,0.7408,3.3247,31
6,11,0.9563,6.3919,9.91528,0.7444,3.4133,34
10,1,0.9547,5.2973,15.39897,0.8801,8.2581,22
9,6,0.9546,5.2251,15.73919,0.8870,8.2581,22
10,6,0.9546,5.2983,15.28250,0.8799,8.2581,22
10,2,0.9541,5.4004,14.99610,0.8709,8.2581,25
9,3,0.9514,6.5201,9.40871,0.7228,3.0476,30
11,3,0.9514,6.4587,9.10255,0.7350,3.3684,28
7,7,0.9498,5.3406,15.16223,0.8763,8.2581,25
5,9,0.9495,5.4526,14.12192,0.8652,8.5333,27
9,2,0.9495,5.4120,15.01833,0.8686,8.5333,26
2,0,0.9492,6.6422,8.30281,0.7015,2.6947,17
2,5,0.9492,6.7496,8.80665,0.6812,2.5347,12
10,3,0.9485,5.7309,13.66730,0.8332,8.0000,22
11,5,0.9485,5.5595,14.25042,0.8537,8.2581,22
4,10,0.9484,5.8010,13.66522,0.8242,7.1111,25
5,5,0.9480,5.6990,14.22909,0.8379,8.0000,17
10,7,0.9478,5.7165,13.24382,0.8327,8.0000,22
11,1,0.9478,5.7362,12.67162,0.8335,7.7576,23
2,6,0.9475,6.1881,10.24813,0.7784,4.2667,25
3,1,0.9475,6.2736,9.64050,0.7611,3.8788,28
5,2,0.9465,6.3586,9.42363,0.7525,3.5068,31
5,3,0.9465,6.2495,8.91244,0.7687,4.0635,20
6,5,0.9463,6.0154,10.40152,0.7971,5.8182,19
7,9,0.9463,5.9940,11.42590,0.8039,4.9231,25
9,1,0.9457,5.2957,15.39759,0.8804,8.2581,22
7,1,0.9455,5.7645,14.21427,0.8275,7.7576,17
9,5,0.9455,5.8578,12.64789,0.8168,6.5641,24
7,0,0.9449,6.4793,11.03540,0.7313,3.2821,24
8,7,0.9449,6.3865,11.01630,0.7462,3.5068,27
1,1,0.9444,6.6288,7.34027,0.7014,2.8132,14
1,2,0.9444,6.6540,7.58801,0.6963,2.7826,19
11,6,0.9380,5.2809,15.23936,0.8815,8.2581,22
7,11,0.9380,5.2641,15.46408,0.8829,8.2581,22
4,8,0.9371,6.1635,11.38450,0.7793,4.2667,26
8,3,0.9371,6.2332,12.95765,0.7734,4.0635,8
8,9,0.9361,5.9437,12.16969,0.8061,6.2439,23
8,6,0.9334,5.7372,13.61906,0.8346,7.5294,23
10,8,0.9332,5.3636,15.09251,0.8732,8.2581,26
1,9,0.9330,5.9439,10.25634,0.8094,5.9535,13
1,8,0.9324,6.2014,8.38516,0.7764,4.5714,15
1,7,0.9323,6.1185,8.78347,0.7878,5.0196,15
4,6,0.9323,6.2940,9.03446,0.7617,3.6571,22
10,0,0.9320,5.6583,13.80315,0.8419,8.0000,24
3,0,0.9320,5.6679,14.88150,0.8372,8.2581,15
8,2,0.9316,6.1887,9.92199,0.7742,4.2667,25
1,0,0.9314,6.9196,8.59012,0.6348,2.0813,15
3,8,0.9314,6.7275,9.25526,0.6891,2.5859,22
11,7,0.9313,5.8672,12.68618,0.8190,6.5641,24
2,1,0.9306,5.7742,12.18945,0.8308,7.1111,21
8,0,0.9306,5.9774,12.08363,0.8036,5.4468,24
1,4,0.9299,6.1731,8.12349,0.7781,4.9231,11
2,11,0.9299,6.0063,9.85653,0.7989,5.6889,15
10,4,0.9291,5.8873,12.23057,0.8151,6.2439,23
8,4,0.9285,6.6649,9.90015,0.6965,2.6667,21
3,4,0.9257,5.4349,14.64274,0.8673,8.2581,26
11,10,0.9254,6.5203,9.31104,0.7186,2.9425,30
11,11,0.9254,6.5043,9.97402,0.7283,3.0118,31
5,7,0.9248,6.2785,10.88738,0.7664,3.8788,26
7,6,0.9240,5.8133,12.64301,0.8237,6.9189,26
7,8,0.9236,6.5201,11.62598,0.7297,3.1220,15
2,8,0.9233,6.7258,11.16050,0.6848,2.5859,3
3,9,0.9233,6.7041,10.38335,0.6946,2.7527,14
2,7,0.9232,6.9256,6.89514,0.6416,2.2261,10
2,10,0.9232,6.7083,6.89892,0.6880,2.6947,16
7,3,0.9220,6.1623,10.09715,0.7772,4.5714,24
8,10,0.9220,6.2482,9.92851,0.7605,3.8788,26
2,3,0.9216,6.8815,8.09705,0.6469,2.2069,17
11,2,0.9211,5.4220,14.59611,0.8681,8.2581,27
4,1,0.9200,6.4701,9.20886,0.7340,3.3684,28
0,7,0.9187,6.8004,7.44522,0.6640,2.3063,19
4,4,0.9176,5.9173,12.00268,0.8084,6.2439,25
7,5,0.9173,5.9765,10.80211,0.8037,5.6889,21
3,10,0.9172,6.4758,10.31998,0.7268,3.0476,32
5,4,0.9172,6.6980,8.87228,0.6847,2.5098,23
3,11,0.9163,6.7308,10.19928,0.6851,2.5859,10
2,9,0.9146,6.9644,10.24571,0.6327,2.1695,5
3,7,0.9146,6.9406,11.13639,0.6418,2.2655,3
3,3,0.9146,6.8353,10.90948,0.6640,2.3704,6
2,4,0.9136,6.7012,8.60665,0.6897,2.6392,20
10,5,0.9126,6.3663,11.10875,0.7508,3.6571,25
6,2,0.9120,5.7425,11.87060,0.8318,7.3143,16
4,2,0.9104,5.5756,12.88320,0.8522,8.2581,18
11,4,0.9096,5.8088,11.33555,0.8219,7.3143,19
6,8,0.9067,6.5469,9.77163,0.7208,3.0843,29
5,8,0.9065,6.2116,11.70306,0.7756,4.0635,19
5,11,0.9063,6.2591,10.76821,0.7593,3.8209,27
6,3,0.9051,6.4147,9.23960,0.7434,3.3247,30
8,5,0.9051,6.5588,7.60076,0.7119,2.8764,19
6,0,0.9047,6.6006,8.75112,0.7060,2.6947,14
0,11,0.9042,6.6581,6.29848,0.6992,2.8132,8
6,7,0.9040,6.5670,10.18589,0.7142,3.0118,23
0,3,0.9014,6.8798,21.01060,0.6591,2.4381,1
0,5,0.9014,6.9455,20.88326,0.6425,2.2261,1
6,6,0.9012,6.2947,11.13690,0.7584,3.9385,23
1,3,0.8985,6.4017,7.07547,0.7487,3.8788,6
10,9,0.8983,6.5528,12.96919,0.7267,3.2821,1
7,4,0.8981,5.9966,12.31426,0.8011,5.5652,20
3,2,0.8972,6.9619,9.85553,0.6328,2.0984,5
6,4,0.8971,6.3025,9.55202,0.7586,3.7101,28
10,11,0.8967,6.0007,13.27917,0.8050,5.6889,17
6,1,0.8945,6.0292,12.27468,0.8013,5.1200,21
3,5,0.8945,6.2276,9.87000,0.7720,4.0635,27
3,6,0.8944,6.9103,8.32539,0.6410,2.1695,17
8,8,0.8913,6.5907,10.55484,0.7140,2.9091,10
1,6,0.8883,6.6081,10.68488,0.7116,2.7826,20
0,9,0.8837,6.5655,6.54527,0.7178,3.0476,8
0,2,0.8826,6.8926,7.56086,0.6447,2.2456,17
4,9,0.8806,6.6044,8.67970,0.7069,2.7826,18
1,5,0.8791,6.9315,8.61101,0.6376,2.1333,9
4,3,0.8749,6.6321,9.90274,0.7055,2.7234,23
0,10,0.8714,6.9119,6.58294,0.6448,2.2456,9
11,0,0.8714,6.9807,7.04379,0.6239,2.0157,8
5,10,0.8639,6.7040,10.10673,0.6916,2.6392,18
0,8,0.8596,7.0530,7.59273,0.6047,1.9542,9
0,0,0.8547,6.5647,6.88762,0.7127,3.0118,10
0,6,0.8479,6.9744,7.45901,0.6243,2.0813,10
0,4,0.8436,7.0398,11.17356,0.6145,2.0157,1
4,7,0.8436,6.9380,10.90696,0.6398,2.1695,1
0,1,0.0000,6.7245,27.07825,0.6934,2.6392,0
1,10,0.0000,6.6883,10.81736,0.6953,2.7527,0
1,11,0.0000,7.0123,17.68001,0.6251,2.1157,0
2,2,0.0000,7.0185,12.54037,0.6203,2.0157,0
4,0,0.0000,6.5280,16.66732,0.7294,3.2000,0
4,11,0.0000,7.1140,25.98049,0.5956,1.9104,0
11,8,0.0000,6.9447,11.68379,0.6337,2.1157,0
