layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,152.216,1.0000,nan,0.00000,0.9333
0,0,0.20,152.216,1.0000,nan,0.00000,0.9333
0,0,0.30,152.216,1.0000,nan,0.00000,0.9333
0,0,0.40,57.149,1.0000,nan,0.01388,0.9333
0,0,0.50,47.672,0.9998,nan,0.04134,0.9000
0,1,0.10,149.657,1.0000,nan,0.00000,0.9667
0,1,0.20,149.657,1.0000,nan,0.00000,0.9667
0,1,0.30,149.657,1.0000,nan,0.00000,0.9667
0,1,0.40,78.890,1.0000,nan,0.00114,0.7107
0,1,0.50,66.194,1.0000,nan,0.00490,0.6774
0,2,0.10,152.737,1.0000,nan,0.00000,0.9667
0,2,0.20,152.737,1.0000,nan,0.00000,0.9667
0,2,0.30,152.737,1.0000,nan,0.00000,0.9667
0,2,0.40,52.829,0.9999,nan,0.02283,0.9667
0,2,0.50,43.878,0.9995,nan,0.06399,0.9250
0,3,0.10,149.127,1.0000,nan,0.00000,0.9667
0,3,0.20,149.127,1.0000,nan,0.00000,0.9667
0,3,0.30,149.127,1.0000,nan,0.00000,0.9667
0,3,0.40,73.086,1.0000,nan,0.00222,0.9333
0,3,0.50,51.999,1.0000,nan,0.02512,0.9000
0,4,0.10,148.498,1.0000,nan,0.00000,0.9667
0,4,0.20,148.498,1.0000,nan,0.00000,0.9667
0,4,0.30,148.498,1.0000,nan,0.00000,0.9667
0,4,0.40,54.458,1.0000,nan,0.01893,0.9333
0,4,0.50,44.176,0.9996,nan,0.06183,0.8667
0,5,0.10,151.472,1.0000,nan,0.00000,0.9333
0,5,0.20,151.472,1.0000,nan,0.00000,0.9333
0,5,0.30,151.472,1.0000,nan,0.00000,0.9333
0,5,0.40,63.582,1.0000,nan,0.00662,0.8429
0,5,0.50,48.145,0.9999,nan,0.03915,0.8095
0,6,0.10,157.226,1.0000,nan,0.00000,0.9333
0,6,0.20,157.226,1.0000,nan,0.00000,0.9333
0,6,0.30,157.226,1.0000,nan,0.00000,0.9333
0,6,0.40,51.732,0.9999,nan,0.02591,0.9333
0,6,0.50,39.986,0.9987,nan,0.10016,0.9000
0,7,0.10,152.175,1.0000,nan,0.00000,0.9667
0,7,0.20,152.175,1.0000,nan,0.00000,0.9667
0,7,0.30,152.175,1.0000,nan,0.00000,0.9667
0,7,0.40,59.055,1.0000,nan,0.01115,0.9667
0,7,0.50,45.953,0.9997,nan,0.05039,0.8762
0,8,0.10,151.281,1.0000,nan,0.00000,0.9667
0,8,0.20,151.281,1.0000,nan,0.00000,0.9667
0,8,0.30,151.281,1.0000,nan,0.00000,0.9667
0,8,0.40,51.263,0.9999,nan,0.02734,0.9000
0,8,0.50,41.661,0.9992,nan,0.08260,0.8250
0,9,0.10,152.294,1.0000,nan,0.00000,0.9667
0,9,0.20,152.294,1.0000,nan,0.00000,0.9667
0,9,0.30,152.294,1.0000,nan,0.00000,0.9667
0,9,0.40,60.904,1.0000,nan,0.00901,0.9667
