layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,6.88762,5.85855,1.02907,5.69308,6.56782,-0.00000,0.70823,0,0.01177,2.84444,10,100,16
0,1,27.07825,12.28439,14.79386,0.83037,6.48256,-0.00000,0.73667,1,0.03279,3.36842,10,100,16
0,2,7.56086,5.51045,2.05042,2.68748,6.91430,-0.00000,0.63345,0,0.02286,2.24561,10,100,16
0,3,21.01060,9.24324,11.76736,0.78550,6.70486,-0.00000,0.69338,1,0.05218,2.75269,10,100,16
0,4,11.17356,6.54042,4.63314,1.41166,6.97931,-0.00000,0.62943,0,0.04036,2.13333,10,100,16
0,5,20.88326,8.46517,12.41809,0.68168,6.80060,-0.00000,0.67246,1,0.05637,2.48544,10,100,16
0,6,7.45901,6.01679,1.44222,4.17189,6.88811,-0.00000,0.63749,0,0.02494,2.20690,10,100,16
0,7,7.44522,5.75166,1.69356,3.39620,6.86424,-0.00000,0.64940,0,0.03222,2.28571,10,100,16
0,8,7.59274,5.37085,2.22189,2.41724,7.11217,-0.00000,0.58043,0,0.04456,1.84173,10,100,16
0,9,6.54527,5.44689,1.09838,4.95902,6.60311,-0.00000,0.70404,0,0.01747,2.97674,10,100,16
0,10,6.58294,5.09462,1.48832,3.42306,6.81245,-0.00000,0.66377,0,0.02199,2.53465,10,100,16
0,11,6.29849,5.28595,1.01253,5.22052,6.66764,-0.00000,0.69112,0,0.02075,2.81319,10,100,16
1,0,8.59012,5.88973,2.70040,2.18106,6.94859,-0.00000,0.63237,0,0.03356,2.18803,10,100,16
1,1,7.34027,5.40180,1.93846,2.78664,6.75056,-0.00000,0.67119,0,0.01716,2.41509,10,100,16
1,2,7.58801,5.17635,2.41166,2.14638,6.67776,-0.00000,0.69008,0,0.01936,2.66667,10,100,16
1,3,7.07547,5.66639,1.40908,4.02133,6.45136,-0.00000,0.73693,0,0.01494,3.50685,10,100,16
1,4,8.12349,6.09403,2.02947,3.00277,6.30039,-0.00000,0.75459,0,0.01461,3.93846,10,100,16
1,5,8.61101,5.90239,2.70862,2.17911,6.92473,-0.00000,0.63209,0,0.04476,2.20690,10,100,16
1,6,10.68488,6.37659,4.30829,1.48008,6.55857,-0.00000,0.72220,0,0.01322,3.08434,10,100,16
1,7,8.78347,6.36458,2.41889,2.63120,6.28407,-0.00000,0.75746,0,0.01612,4.12903,10,100,16
1,8,8.38516,5.94521,2.43995,2.43661,6.32337,-0.00000,0.75088,0,0.01609,3.76471,10,100,16
1,9,10.25634,6.81278,3.44357,1.97841,5.95890,-0.00000,0.80519,0,0.00934,5.81818,10,100,16
1,10,10.81736,7.35081,3.46655,2.12050,6.66586,-0.00000,0.70226,0,0.02411,2.90909,10,100,16
1,11,17.68001,7.70154,9.97847,0.77182,6.90349,-0.00000,0.64724,1,0.05855,2.26549,10,100,16
2,0,8.30281,6.18630,2.11652,2.92287,6.80105,-0.00000,0.66286,0,0.02591,2.39252,10,100,16
2,1,12.18945,8.29326,3.89619,2.12856,5.78041,-0.00000,0.82796,0,0.00737,6.40000,10,100,16
2,2,12.54037,7.31514,5.22523,1.39996,7.13032,-0.00000,0.58693,0,0.05123,1.95420,10,100,16
2,3,8.09705,5.68378,2.41326,2.35523,6.86682,-0.00000,0.65491,0,0.02910,2.41509,10,100,16
2,4,8.60665,5.91166,2.69500,2.19357,6.78237,-0.00000,0.66665,0,0.02655,2.41509,10,100,16
2,5,8.80665,6.06773,2.73892,2.21537,6.83448,-0.00000,0.65886,0,0.03684,2.43810,10,100,16
2,6,10.24813,6.84772,3.40041,2.01379,6.21677,-0.00000,0.76839,0,0.01759,4.57143,10,100,16
2,7,6.89514,5.32254,1.57260,3.38455,6.90192,-0.00000,0.64689,0,0.02379,2.37037,10,100,16
2,8,11.16050,7.27298,3.88752,1.87085,6.90086,-0.00000,0.64419,0,0.04675,2.24561,10,100,16
2,9,10.24571,6.48724,3.75847,1.72603,6.91572,-0.00000,0.64040,0,0.05429,2.18803,10,100,16
2,10,6.89892,5.33115,1.56777,3.40046,6.70680,-0.00000,0.68578,0,0.01259,2.69474,10,100,16
2,11,9.85654,6.79407,3.06247,2.21849,6.02638,-0.00000,0.79950,0,0.00703,4.92308,10,100,16
3,0,14.88150,9.69796,5.18354,1.87092,5.70609,-0.00000,0.83610,0,0.00563,7.31429,10,100,16
3,1,9.64050,6.35551,3.28499,1.93471,6.18047,-0.00000,0.77863,0,0.00888,4.33898,10,100,16
3,2,9.85553,6.61990,3.23563,2.04594,7.00820,-0.00000,0.61945,0,0.05090,2.08130,10,100,16
3,3,10.90948,7.01516,3.89432,1.80139,6.93718,-0.00000,0.63041,0,0.04676,2.16949,10,100,16
3,4,14.64274,9.74146,4.90128,1.98753,5.41348,-0.00000,0.87147,0,0.00192,8.00000,10,100,16
3,5,9.87000,7.21985,2.65015,2.72432,6.27141,-0.00000,0.75895,0,0.00894,3.50685,10,100,16
