layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
8,1,0.9714,5.2666,15.53240,0.8855,8.2581,22
9,11,0.9714,5.2395,15.49962,0.8884,8.2581,22
6,10,0.9709,5.5640,14.06844,0.8532,7.5294,26
9,8,0.9709,5.5939,14.23731,0.8525,7.1111,25
5,0,0.9677,5.6403,14.01715,0.8475,7.1111,22
9,4,0.9677,5.4466,15.13539,0.8687,8.0000,27
7,2,0.9667,5.1825,15.86440,0.8929,8.2581,20
9,9,0.9667,5.2131,15.80270,0.8905,8.2581,22
7,10,0.9666,5.2435,15.73669,0.8876,8.2581,22
5,1,0.9666,5.1557,15.95244,0.8948,8.2581,18
6,9,0.9666,5.2587,15.79590,0.8864,8.2581,22
10,10,0.9666,5.2205,15.59441,0.8895,8.5333,22
11,9,0.9666,5.3443,15.22155,0.8783,8.2581,25
8,11,0.9633,5.9174,12.11614,0.8162,5.4468,24
9,7,0.9633,6.0681,12.21146,0.7966,4.1967,18
4,5,0.9632,6.7954,9.61816,0.6657,2.3925,22
9,10,0.9632,6.7569,9.86704,0.6753,2.4854,22
9,0,0.9577,6.1706,11.97657,0.7766,4.4138,16
10,1,0.9547,5.3147,15.39897,0.8809,8.2581,24
9,6,0.9546,5.2428,15.73919,0.8883,8.2581,22
10,6,0.9546,5.3032,15.28250,0.8822,8.2581,22
10,2,0.9542,5.4020,14.99610,0.8732,8.0000,28
9,3,0.9534,6.4662,9.40871,0.7259,3.0476,33
11,3,0.9534,6.6165,9.10255,0.7007,2.8764,22
5,6,0.9530,6.4954,10.55464,0.7173,2.9767,27
6,11,0.9530,6.5068,9.91528,0.7180,2.9091,30
7,7,0.9499,5.3668,15.16224,0.8765,8.2581,25
9,1,0.9494,5.3200,15.39760,0.8807,8.2581,24
5,9,0.9493,5.4525,14.12193,0.8669,8.2581,30
9,2,0.9493,5.4261,15.01833,0.8699,8.2581,27
10,3,0.9487,5.6785,13.66730,0.8414,6.9189,24
11,5,0.9487,5.5585,14.25042,0.8560,7.3143,26
4,10,0.9485,5.7962,13.66522,0.8276,6.0952,24
5,5,0.9481,5.6358,14.22909,0.8481,6.9189,22
2,6,0.9479,6.2168,10.24813,0.7684,4.5714,24
3,1,0.9479,6.1805,9.64050,0.7786,4.3390,21
10,7,0.9479,5.6749,13.24382,0.8400,7.5294,24
11,1,0.9479,5.6297,12.67162,0.8467,7.3143,21
6,5,0.9463,6.0456,10.40152,0.7924,5.0196,19
7,9,0.9463,5.9687,11.42590,0.8045,5.2245,23
7,1,0.9459,5.7637,14.21428,0.8320,6.4000,16
9,5,0.9459,5.8621,12.64789,0.8201,5.8182,24
5,2,0.9457,6.3110,9.42363,0.7459,3.5556,26
5,3,0.9457,6.3064,8.91244,0.7430,3.4595,20
7,0,0.9456,6.5329,11.03541,0.7131,2.9767,20
8,7,0.9456,6.4031,11.01630,0.7346,3.2821,24
2,0,0.9449,6.8010,8.30281,0.6629,2.3925,22
2,5,0.9449,6.8345,8.80665,0.6589,2.4381,13
5,11,0.9443,6.2346,10.76821,0.7577,3.8209,24
11,10,0.9443,6.4828,9.31104,0.7221,3.0476,34
1,1,0.9442,6.7506,7.34027,0.6712,2.4151,22
1,2,0.9442,6.6778,7.58801,0.6901,2.6667,23
1,0,0.9393,6.9486,8.59012,0.6324,2.1880,19
3,8,0.9393,6.9250,9.25526,0.6309,2.0984,15
11,6,0.9380,5.2673,15.23936,0.8855,8.5333,22
7,11,0.9380,5.2693,15.46409,0.8853,8.2581,22
8,9,0.9380,5.9928,12.16969,0.8022,4.9231,21
8,6,0.9339,5.7040,13.61906,0.8414,6.2439,24
10,8,0.9332,5.3599,15.09251,0.8754,8.5333,25
3,3,0.9332,6.9372,10.90948,0.6304,2.1695,6
3,11,0.9332,6.8580,10.19928,0.6521,2.4151,11
1,8,0.9329,6.3234,8.38516,0.7509,3.7647,18
8,2,0.9325,6.2491,9.92199,0.7594,4.1967,25
4,8,0.9324,6.1319,11.38450,0.7804,4.0635,24
8,3,0.9324,6.1361,12.95766,0.7926,4.2667,11
10,0,0.9320,5.6434,13.80315,0.8470,7.1111,25
1,9,0.9318,5.9589,10.25634,0.8052,5.8182,10
3,0,0.9318,5.7061,14.88150,0.8361,7.3143,12
1,7,0.9317,6.2841,8.78347,0.7575,4.1290,21
4,6,0.9317,6.2957,9.03446,0.7554,3.8788,21
8,4,0.9317,6.6571,9.90015,0.6881,2.6392,23
11,7,0.9313,5.7347,12.68618,0.8354,5.9535,26
2,1,0.9308,5.7804,12.18945,0.8280,6.4000,21
8,0,0.9308,5.8922,12.08364,0.8115,5.8182,24
10,4,0.9293,5.8405,12.23057,0.8210,6.2439,22
11,11,0.9263,6.5789,9.97402,0.7082,2.8444,25
3,4,0.9257,5.4135,14.64274,0.8715,8.0000,27
5,7,0.9254,6.2427,10.88738,0.7589,3.8209,23
7,8,0.9251,6.4856,11.62598,0.7336,3.3247,16
1,4,0.9244,6.3004,8.12349,0.7546,3.9385,13
7,6,0.9240,5.8385,12.64301,0.8220,6.0952,25
2,8,0.9239,6.9009,11.16050,0.6442,2.2456,5
3,9,0.9239,6.7516,10.38335,0.6782,2.6122,9
2,11,0.9228,6.0264,9.85654,0.7995,4.9231,12
2,7,0.9223,6.9019,6.89514,0.6469,2.3704,12
2,10,0.9223,6.7068,6.89892,0.6858,2.6947,18
7,3,0.9214,6.2144,10.09715,0.7689,4.0635,22
8,10,0.9214,6.2835,9.92851,0.7604,3.8209,28
11,2,0.9211,5.3623,14.59611,0.8757,8.5333,26
6,2,0.9186,5.7560,11.87061,0.8311,6.9189,19
4,4,0.9179,5.9053,12.00268,0.8059,5.9535,24
7,5,0.9178,5.9362,10.80211,0.8060,5.6889,19
2,3,0.9177,6.8668,8.09705,0.6549,2.4151,18
3,10,0.9176,6.4651,10.31998,0.7311,3.1605,31
2,4,0.9166,6.7824,8.60665,0.6666,2.4151,21
4,1,0.9164,6.4344,9.20886,0.7389,3.3684,28
0,7,0.9155,6.8642,7.44522,0.6494,2.2857,16
10,11,0.9146,5.7892,13.27918,0.8259,6.4000,25
2,9,0.9134,6.9157,10.24571,0.6404,2.1880,4
3,7,0.9134,6.9666,11.13639,0.6301,2.0645,2
10,5,0.9133,6.4595,11.10875,0.7344,3.0476,24
5,4,0.9112,6.5807,8.87228,0.7104,2.9425,23
4,2,0.9109,5.5040,12.88320,0.8581,9.1429,14
11,4,0.9095,5.6950,11.33555,0.8337,8.0000,12
0,11,0.9093,6.6676,6.29849,0.6911,2.8132,12
1,3,0.9093,6.4514,7.07547,0.7369,3.5068,8
3,2,0.9067,7.0082,9.85553,0.6195,2.0813,6
6,8,0.9050,6.6757,9.77163,0.6877,2.5859,27
8,5,0.9042,6.6033,7.60076,0.6959,2.7527,18
6,3,0.9030,6.5282,9.23960,0.7241,3.0843,27
6,6,0.9025,6.3090,11.13690,0.7507,3.4595,24
5,8,0.9019,6.1657,11.70307,0.7755,3.9385,18
6,7,0.9018,6.5091,10.18589,0.7307,3.2821,30
0,3,0.9016,6.7049,21.01060,0.6934,2.7527,1
0,5,0.9016,6.8006,20.88326,0.6725,2.4854,1
1,10,0.8987,6.6659,10.81736,0.7023,2.9091,1
11,8,0.8987,6.8412,11.68379,0.6626,2.4854,1
7,4,0.8983,5.9699,12.31426,0.8056,4.7407,20
6,1,0.8979,5.9527,12.27469,0.8075,5.1200,21
10,9,0.8968,6.5903,12.96919,0.7148,2.7826,1
6,4,0.8964,6.3725,9.55202,0.7430,3.3684,30
3,6,0.8933,6.9352,8.32539,0.6362,2.2069,19
3,5,0.8906,6.2714,9.87000,0.7589,3.5068,27
8,8,0.8898,6.6337,10.55484,0.7057,2.9091,9
1,6,0.8845,6.5586,10.68488,0.7222,3.0843,20
0,9,0.8828,6.6031,6.54527,0.7040,2.9767,8
0,2,0.8822,6.9143,7.56086,0.6334,2.2456,18
1,5,0.8814,6.9247,8.61101,0.6321,2.2069,13
4,3,0.8741,6.6539,9.90274,0.6968,2.7527,20
0,10,0.8740,6.8125,6.58294,0.6638,2.5347,15
5,10,0.8724,6.6828,10.10673,0.6950,2.7234,21
0,6,0.8721,6.8881,7.45901,0.6375,2.2069,17
11,0,0.8714,6.9294,7.04379,0.6370,2.3273,11
4,9,0.8707,6.6409,8.67970,0.6955,2.6947,19
6,0,0.8663,6.6381,8.75113,0.6959,2.7234,18
0,8,0.8566,7.1122,7.59274,0.5804,1.8417,10
0,0,0.8552,6.5678,6.88762,0.7082,2.8444,11
0,4,0.8510,6.9793,11.17356,0.6294,2.1333,1
4,7,0.8510,6.9733,10.90696,0.6318,2.1880,1
0,1,0.0000,6.4826,27.07825,0.7367,3.3684,0
1,11,0.0000,6.9035,17.68001,0.6472,2.2655,0
2,2,0.0000,7.1303,12.54037,0.5869,1.9542,0
4,0,0.0000,6.7135,16.66732,0.6946,2.7826,0
4,11,0.0000,7.2820,25.98050,0.5398,1.7778,0
