li,hi,lj,hj,cosine,wavelet,energy_profile,pearson,emd
0,0,0,0,1.0000,1.0000,1.0000,1.0000,0.0000
0,0,0,1,0.2998,0.3664,0.7623,0.1655,0.0946
0,0,0,2,0.8993,0.9098,0.9834,0.8661,0.0119
0,0,0,3,0.4254,0.4393,0.7445,0.2975,0.0702
0,0,0,4,0.7146,0.6849,0.9037,0.6272,0.0267
0,0,0,5,0.4428,0.4489,0.6977,0.3144,0.0624
0,0,0,6,0.9491,0.9372,0.9981,0.9309,0.0073
0,0,0,7,0.8425,0.8504,0.9937,0.7863,0.0083
0,0,0,8,0.7905,0.8603,0.9763,0.7203,0.0119
0,0,0,9,0.9657,0.9691,0.9997,0.9531,0.0110
0,0,0,10,0.9292,0.9189,0.9939,0.9024,0.0094
0,0,0,11,0.9617,0.9612,0.9999,0.9475,0.0125
0,0,1,0,0.8725,0.8523,0.9674,0.8310,0.0102
0,0,1,1,0.9267,0.9232,0.9855,0.9028,0.0121
0,0,1,2,0.8999,0.8857,0.9658,0.8678,0.0111
0,0,1,3,0.9301,0.9086,0.9976,0.9061,0.0278
0,0,1,4,0.9459,0.9297,0.9891,0.9328,0.0352
0,0,1,5,0.8728,0.8446,0.9673,0.8352,0.0232
0,0,1,6,0.8763,0.8482,0.9130,0.8508,0.0492
0,0,1,7,0.9409,0.9222,0.9821,0.9285,0.0376
0,0,1,8,0.9324,0.9146,0.9769,0.9160,0.0324
0,0,1,9,0.9031,0.8711,0.9571,0.8872,0.0522
0,0,1,10,0.5646,0.7080,0.9646,0.4097,0.0114
0,0,1,11,0.5359,0.4890,0.7387,0.4212,0.0548
0,0,2,0,0.8926,0.8636,0.9879,0.8582,0.0140
0,0,2,1,0.8667,0.8505,0.9650,0.8506,0.0721
0,0,2,2,0.6753,0.7054,0.9020,0.5882,0.0408
0,0,2,3,0.9028,0.8860,0.9742,0.8692,0.0065
0,0,2,4,0.8487,0.8755,0.9680,0.8075,0.0321
0,0,2,5,0.7844,0.8049,0.9689,0.7199,0.0259
0,0,2,6,0.8859,0.8766,0.9591,0.8654,0.0525
0,0,2,7,0.8792,0.8416,0.9936,0.8327,0.0116
0,0,2,8,0.7619,0.8401,0.9502,0.6932,0.0298
0,0,2,9,0.8127,0.7968,0.9390,0.7569,0.0244
0,0,2,10,0.9633,0.9426,0.9937,0.9502,0.0075
0,0,2,11,0.9047,0.8779,0.9690,0.8882,0.0530
0,0,3,0,0.8173,0.8134,0.9502,0.8012,0.0913
0,0,3,1,0.9025,0.8783,0.9544,0.8844,0.0462
0,0,3,2,0.7941,0.7906,0.9608,0.7273,0.0160
0,0,3,3,0.8305,0.8711,0.9451,0.7906,0.0470
0,0,3,4,0.8278,0.8192,0.9576,0.8121,0.0897
0,0,3,5,0.9142,0.9039,0.9842,0.8986,0.0465
0,0,3,6,0.9022,0.8763,0.9461,0.8706,0.0125
0,0,3,7,0.8149,0.7814,0.8697,0.7647,0.0286
0,0,3,8,0.8359,0.8632,0.9796,0.7891,0.0356
0,0,3,9,0.8396,0.8613,0.9559,0.7971,0.0405
0,0,3,10,0.8898,0.8674,0.9451,0.8704,0.0525
0,0,3,11,0.8345,0.8911,0.9563,0.7871,0.0295
0,0,4,0,0.6907,0.8290,0.8275,0.6265,0.0662
0,0,4,1,0.8685,0.8632,0.9692,0.8399,0.0440
0,0,4,2,0.8500,0.8310,0.9686,0.8334,0.0792
0,0,4,3,0.9102,0.8936,0.9578,0.8911,0.0406
0,0,4,4,0.8665,0.8494,0.9711,0.8499,0.0714
0,0,4,5,0.9001,0.8995,0.9688,0.8786,0.0430
