layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.34448,5.58606,4.75843,1.5202,6.7927,0.0000,0.6672,0.03651,0.4330
1,12,8.92423,4.23282,4.69141,0.9549,6.4890,0.0000,0.7268,0.01862,0.4714
2,12,9.42942,4.65185,4.77757,1.1007,6.6845,0.0000,0.6816,0.03402,0.5000
3,12,10.59719,4.55223,6.04496,0.8498,6.5607,0.0000,0.6999,0.03040,0.3727
4,12,11.78184,4.67145,7.11039,0.7070,6.4170,0.0000,0.7278,0.02638,0.2764
5,12,11.95344,4.39588,7.55756,0.6252,6.0848,0.0000,0.7810,0.01227,0.2764
6,12,11.16901,4.32509,6.84392,0.6825,6.1272,0.0000,0.7723,0.01579,0.2764
7,12,12.63744,4.55673,8.08071,0.5829,5.9414,0.0000,0.7999,0.01204,0.0000
8,12,11.94682,4.49574,7.45108,0.6167,6.0699,0.0000,0.7831,0.01417,0.0000
9,12,13.29199,4.75396,8.53804,0.5683,5.8761,0.0000,0.8092,0.00979,0.0000
10,12,13.19064,4.71052,8.48011,0.5624,5.9222,0.0000,0.8049,0.00862,0.0000
11,12,12.07083,4.78800,7.28283,0.7844,6.0234,0.0000,0.7885,0.01066,0.3727
