layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,72.227,1.0000,nan,0.00269,0.8442
0,0,0.20,63.010,1.0000,nan,0.00778,0.8193
0,0,0.30,56.112,1.0000,nan,0.01721,0.8355
0,0,0.40,50.441,0.9999,nan,0.03306,0.7673
0,0,0.50,44.673,0.9995,nan,0.06423,0.7370
0,1,0.10,68.158,1.0000,nan,0.00430,0.6710
0,1,0.20,56.932,1.0000,nan,0.01566,0.5599
0,1,0.30,48.416,0.9999,nan,0.04175,0.4697
0,1,0.40,42.483,0.9997,nan,0.08265,0.3853
0,1,0.50,39.884,0.9994,nan,0.11148,0.3907
0,2,0.10,73.354,1.0000,nan,0.00236,0.8788
0,2,0.20,61.590,1.0000,nan,0.00916,0.8066
0,2,0.30,53.954,0.9999,nan,0.02206,0.8066
0,2,0.40,48.694,0.9998,nan,0.04043,0.7763
0,2,0.50,44.768,0.9995,nan,0.06353,0.7890
0,3,0.10,62.191,1.0000,nan,0.00855,0.7980
0,3,0.20,53.005,1.0000,nan,0.02461,0.7446
0,3,0.30,46.165,0.9998,nan,0.05409,0.6851
0,3,0.40,43.128,0.9996,nan,0.07674,0.6028
0,3,0.50,40.092,0.9992,nan,0.10884,0.5433
0,4,0.10,69.087,1.0000,nan,0.00386,0.8571
0,4,0.20,54.326,1.0000,nan,0.02114,0.8409
0,4,0.30,49.074,0.9998,nan,0.03870,0.7890
0,4,0.40,42.162,0.9993,nan,0.08576,0.7457
0,4,0.50,38.791,0.9984,nan,0.12643,0.6851
0,5,0.10,60.352,1.0000,nan,0.01056,0.6205
0,5,0.20,52.469,1.0000,nan,0.02618,0.5952
0,5,0.30,45.524,0.9998,nan,0.05824,0.6039
0,5,0.40,39.713,0.9992,nan,0.11370,0.5346
0,5,0.50,34.098,0.9973,nan,0.21701,0.4968
0,6,0.10,74.387,1.0000,nan,0.00210,0.8139
0,6,0.20,60.672,1.0000,nan,0.01018,0.7814
0,6,0.30,53.902,0.9999,nan,0.02220,0.8139
0,6,0.40,48.751,0.9998,nan,0.04017,0.7814
0,6,0.50,43.301,0.9992,nan,0.07523,0.7547
