layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,6.56907,4.60210,1.96696,2.33970,6.73943,-0.00000,0.67753,0,0.01721,2.53465,11,121,16
0,1,22.52498,9.90508,12.61990,0.78488,6.75087,-0.00000,0.68743,1,0.04175,2.63918,11,121,16
0,2,6.74920,5.06808,1.68112,3.01471,6.64384,-0.00000,0.69558,0,0.02206,2.75269,11,121,16
0,3,18.44867,9.06798,9.38069,0.96666,6.85023,-0.00000,0.66535,1,0.05409,2.43810,11,121,16
0,4,8.67836,5.26419,3.41417,1.54186,6.98735,-0.00000,0.62639,0,0.03870,2.13333,11,121,16
0,5,20.61623,8.47191,12.14433,0.69760,6.97658,-0.00000,0.63227,1,0.05824,2.11570,11,121,16
0,6,6.51415,5.23801,1.27614,4.10458,6.71574,-0.00000,0.67877,0,0.02220,2.48544,11,121,16
0,7,7.50148,5.18985,2.31164,2.24510,6.82042,-0.00000,0.65830,0,0.02541,2.28571,11,121,16
0,8,7.75784,4.72225,3.03558,1.55563,6.99075,-0.00000,0.61809,0,0.03941,2.09836,11,121,16
0,9,6.57206,4.87036,1.70169,2.86207,6.45646,-0.00000,0.72938,0,0.01432,3.55556,11,121,16
0,10,6.24439,4.64729,1.59710,2.90982,6.81757,-0.00000,0.66067,0,0.02376,2.46154,11,121,16
0,11,5.95737,4.68664,1.27073,3.68815,6.67570,-0.00000,0.68886,0,0.02624,2.84444,11,121,16
1,0,8.48942,5.26967,3.21976,1.63667,6.92527,-0.00000,0.63868,0,0.03174,2.18803,11,121,16
1,1,7.66746,4.67535,2.99211,1.56256,6.67224,-0.00000,0.68826,0,0.01931,2.58586,11,121,16
1,2,7.42668,4.28174,3.14493,1.36147,6.57768,-0.00000,0.71149,0,0.01455,2.87640,11,121,16
1,3,6.84995,4.77027,2.07968,2.29375,6.50641,-0.00000,0.72954,0,0.01760,3.36842,11,121,16
