layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
5,10,0.9776,6.3007,10.70668,0.7599,4.0000,36
6,5,0.9776,6.1410,10.39948,0.7817,4.7407,26
6,9,0.9740,5.1833,15.87128,0.8901,8.2581,14
7,10,0.9740,5.1873,15.84962,0.8895,8.2581,14
9,9,0.9737,5.3092,15.48944,0.8789,8.2581,24
10,1,0.9737,5.4427,14.71877,0.8645,8.2581,26
5,1,0.9697,5.1257,15.96647,0.8942,8.2581,9
10,0,0.9675,5.9456,12.90028,0.8067,6.2439,22
10,7,0.9675,5.8278,12.99941,0.8212,7.1111,23
7,2,0.9545,5.1618,15.88788,0.8916,8.2581,13
5,0,0.9535,5.5110,14.66305,0.8562,8.2581,28
5,8,0.9535,5.7265,13.63086,0.8315,8.0000,24
6,6,0.9526,5.8398,13.40862,0.8184,7.3143,22
8,9,0.9526,5.9180,12.11887,0.8093,6.4000,25
4,2,0.9525,5.8093,12.42239,0.8249,7.1111,18
6,2,0.9525,5.5715,13.50345,0.8508,8.2581,29
6,8,0.9513,6.7973,9.70258,0.6678,2.3273,12
7,8,0.9513,6.6253,8.14135,0.7028,2.7234,22
9,5,0.9510,6.0128,11.74686,0.7995,5.4468,28
9,11,0.9505,5.2213,15.59352,0.8867,8.2581,17
10,8,0.9505,5.4062,14.83987,0.8680,8.2581,29
2,11,0.9455,6.0744,9.88891,0.7933,5.0196,18
1,1,0.9453,6.6722,7.66746,0.6883,2.5859,24
1,2,0.9453,6.5777,7.42668,0.7115,2.8764,23
7,6,0.9429,5.7114,13.56562,0.8348,8.0000,27
9,2,0.9429,5.5842,14.28044,0.8507,8.2581,30
3,10,0.9422,6.3615,10.23934,0.7511,3.6571,34
5,11,0.9422,6.3779,10.31617,0.7433,3.4133,32
3,5,0.9413,6.2638,8.99954,0.7665,3.8209,24
6,3,0.9413,6.1417,10.54443,0.7820,4.4912,27
11,5,0.9390,5.4974,14.63052,0.8582,8.2581,27
11,9,0.9390,5.3014,15.27477,0.8791,8.2581,24
9,1,0.9386,5.5068,14.67765,0.8577,8.2581,27
10,2,0.9386,5.3960,15.07800,0.8706,8.2581,28
10,6,0.9385,5.5441,14.60525,0.8550,8.2581,29
9,0,0.9369,5.6517,13.74093,0.8440,8.0000,29
1,4,0.9364,6.3500,7.58858,0.7527,3.8209,14
5,4,0.9364,6.4468,8.53451,0.7377,3.5556,20
4,4,0.9358,6.4412,10.57109,0.7347,3.0843,19
7,5,0.9356,6.1162,10.53423,0.7860,5.0196,25
11,6,0.9352,5.4086,14.43573,0.8671,8.2581,29
11,1,0.9344,6.1290,11.65784,0.7877,4.4912,26
11,7,0.9344,6.0111,12.74318,0.7963,5.4468,21
8,10,0.9337,6.1718,10.93352,0.7762,4.4912,27
10,4,0.9337,6.1157,11.08485,0.7837,4.8302,24
10,3,0.9334,5.7954,13.30302,0.8255,7.1111,22
11,4,0.9334,5.8176,11.89648,0.8209,7.3143,16
8,4,0.9325,6.4111,10.71336,0.7448,3.5068,24
9,6,0.9322,5.3783,15.18806,0.8729,8.2581,28
2,6,0.9307,6.1293,11.61205,0.7864,4.6545,26
6,7,0.9303,6.3417,8.67497,0.7509,3.8788,17
5,3,0.9295,6.3158,8.05848,0.7638,4.0000,15
8,1,0.9283,5.3402,15.38290,0.8756,8.2581,25
6,10,0.9282,5.4313,14.41133,0.8650,8.2581,28
7,7,0.9282,5.4650,14.88829,0.8628,8.2581,27
11,3,0.9281,6.3304,10.51980,0.7505,3.7101,33
11,11,0.9281,6.1911,11.33328,0.7782,4.3390,28
10,10,0.9279,5.4723,14.94687,0.8618,8.2581,26
7,11,0.9277,5.5369,14.46736,0.8566,8.2581,28
11,2,0.9268,5.6137,14.29538,0.8439,8.2581,29
6,1,0.9260,5.7575,13.17746,0.8317,7.5294,23
2,5,0.9256,6.7798,7.87894,0.6658,2.3486,20
2,7,0.9254,6.8042,6.39093,0.6691,2.4615,16
9,4,0.9253,5.6137,14.57983,0.8478,8.0000,28
1,8,0.9242,6.2847,8.73058,0.7598,4.0000,16
5,5,0.9240,5.3533,15.41255,0.8743,8.2581,25
8,8,0.9228,6.1603,11.08604,0.7799,4.3390,26
8,3,0.9224,5.9012,13.62205,0.8169,6.0952,16
1,9,0.9209,6.0876,10.12690,0.7904,5.0196,23
5,7,0.9207,6.3819,10.53862,0.7517,3.6056,27
4,8,0.9200,6.1821,10.73279,0.7728,4.4138,27
10,11,0.9197,6.5281,12.15240,0.7252,3.1220,11
3,0,0.9196,5.7904,14.35863,0.8242,7.7576,18
3,7,0.9192,6.9572,7.89160,0.6260,2.0813,14
7,0,0.9191,6.7987,10.76243,0.6722,2.4854,7
8,7,0.9191,6.8105,12.41614,0.6696,2.4615,3
3,3,0.9182,6.9372,13.52756,0.6410,2.2655,3
8,2,0.9176,6.2130,10.74630,0.7727,4.0000,32
6,11,0.9165,6.5000,8.49517,0.7268,3.1220,21
3,1,0.9162,6.1824,10.52237,0.7769,4.4138,27
5,6,0.9162,6.5312,12.29895,0.7232,3.0118,8
8,6,0.9153,5.8855,13.21318,0.8199,6.2439,22
2,2,0.9149,6.9355,14.49553,0.6425,2.2261,1
4,1,0.9145,6.4543,10.73754,0.7345,3.3247,18
0,7,0.9131,6.8204,7.50148,0.6583,2.2857,15
2,1,0.9123,6.0953,10.88172,0.7837,4.7407,24
1,5,0.9114,6.6242,8.66899,0.6959,2.7527,15
8,5,0.9108,6.5976,8.08280,0.7117,3.0118,21
2,8,0.9106,6.7430,10.20199,0.6805,2.4854,4
3,11,0.9106,6.8119,9.67556,0.6680,2.4615,10
1,3,0.9106,6.5064,6.84995,0.7295,3.3684,15
4,0,0.9099,6.8228,12.63888,0.6681,2.4615,2
7,1,0.9078,5.6126,14.61704,0.8460,8.2581,28
5,2,0.9077,6.5402,8.83368,0.7200,3.0118,22
2,10,0.9072,6.6570,6.34779,0.6980,2.9091,15
4,5,0.9067,6.4902,9.36649,0.7259,3.0476,26
4,10,0.9065,5.5072,14.33532,0.8584,8.2581,27
7,4,0.9064,6.0965,11.53450,0.7925,4.4912,25
11,10,0.9063,6.4388,10.15346,0.7325,3.2821,26
3,8,0.9037,6.8326,9.38277,0.6632,2.4151,15
1,0,0.9028,6.9253,8.48942,0.6387,2.1880,11
3,4,0.9019,5.4434,14.24393,0.8653,8.2581,26
4,9,0.9004,6.2671,9.21792,0.7657,4.0000,29
7,9,0.8998,6.0564,11.82729,0.7941,5.2245,27
9,10,0.8993,6.4878,11.68565,0.7347,3.1220,14
10,9,0.8993,6.6045,10.65505,0.7110,2.8444,16
