layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.34448,8.24665,2.09783,3.6774,6.3512,1.7501,0.7427,0.00000,1.4907
1,12,8.92423,7.20319,1.72104,4.2695,6.0476,1.6997,0.7866,0.00000,0.0000
2,12,9.42942,7.66682,1.76261,4.4048,6.1782,1.7156,0.7670,0.00000,0.0000
3,12,10.59719,8.79912,1.79806,5.1094,5.9931,1.6501,0.7863,0.00000,0.0000
4,12,11.78184,9.75555,2.02629,4.8769,5.8384,1.6313,0.8096,0.00000,0.0000
5,12,11.95344,9.71081,2.24263,4.3705,5.3249,1.6682,0.8547,0.00000,0.0000
6,12,11.16901,9.01759,2.15142,4.1995,5.4683,1.6867,0.8386,0.00000,0.0000
7,12,12.63744,10.25903,2.37841,4.3722,5.1934,1.6559,0.8648,0.00000,0.0000
8,12,11.94681,9.70861,2.23821,4.5086,5.4825,1.6548,0.8454,0.00000,0.0000
9,12,13.29199,10.78453,2.50746,4.4065,5.1231,1.6464,0.8714,0.00000,0.0000
10,12,13.19064,10.68279,2.50785,4.3254,5.1746,1.6534,0.8698,0.00000,0.0000
11,12,12.07083,9.57212,2.49871,3.8069,5.3838,1.7074,0.8438,0.00000,1.1055
