layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
5,10,0.9786,5.6876,10.70668,0.8363,6.2439,26
6,5,0.9786,5.4998,10.39948,0.8453,7.7576,22
6,9,0.9740,4.1395,15.87128,0.9336,16.0000,7
7,10,0.9740,4.1248,15.84962,0.9335,16.0000,6
9,9,0.9736,4.2995,15.48944,0.9280,16.0000,13
10,1,0.9736,4.5391,14.71877,0.9160,16.0000,22
5,1,0.9697,4.0387,15.96647,0.9366,16.0000,4
10,0,0.9679,5.2753,12.90027,0.8695,11.1304,15
10,7,0.9679,5.1778,12.99941,0.8724,15.0588,17
7,2,0.9545,4.0943,15.88788,0.9348,16.0000,6
6,6,0.9526,4.9998,13.40862,0.8880,16.0000,17
8,9,0.9526,5.1973,12.11887,0.8715,15.0588,18
9,5,0.9515,5.3739,11.74686,0.8595,10.2400,20
6,8,0.9505,6.2513,9.70258,0.7748,3.4595,17
7,8,0.9505,6.1759,8.14135,0.7757,3.5068,20
1,1,0.9456,6.2594,7.66746,0.7554,3.1605,22
1,2,0.9456,6.1520,7.42668,0.7730,3.5068,19
3,10,0.9455,5.8212,10.23934,0.8235,5.1200,23
5,11,0.9455,5.8674,10.31617,0.8079,4.3390,22
7,6,0.9430,4.9774,13.56562,0.8880,16.0000,17
9,2,0.9430,4.7708,14.28044,0.9054,16.0000,20
3,5,0.9428,5.6027,8.99954,0.8378,6.9189,16
6,3,0.9428,5.5532,10.54443,0.8457,7.5294,23
2,11,0.9417,5.4196,9.88891,0.8556,8.8276,14
9,1,0.9387,4.6399,14.67765,0.9101,16.0000,21
10,2,0.9387,4.5266,15.07800,0.9179,16.0000,22
5,2,0.9381,6.0729,8.83367,0.7958,4.0635,15
9,0,0.9371,4.9091,13.74093,0.8962,16.0000,17
7,5,0.9359,5.5568,10.53422,0.8403,7.5294,23
4,4,0.9359,5.9511,10.57109,0.8027,4.1290,16
11,6,0.9352,4.5143,14.43573,0.9133,16.0000,20
10,3,0.9337,5.0820,13.30302,0.8830,15.0588,17
11,4,0.9337,5.1075,11.89648,0.8757,16.0000,12
8,4,0.9335,5.9155,10.71336,0.8138,4.4138,19
8,10,0.9334,5.5600,10.93352,0.8399,8.5333,23
10,4,0.9334,5.5934,11.08485,0.8381,7.3143,22
9,6,0.9322,4.4625,15.18806,0.9226,16.0000,19
2,6,0.9317,5.4382,11.61205,0.8601,8.8276,23
1,4,0.9304,5.7370,7.58858,0.8240,4.4138,7
6,7,0.9304,5.7792,8.67497,0.8200,5.4468,11
5,3,0.9297,5.8166,8.05848,0.8191,5.3333,10
8,1,0.9283,4.3870,15.38290,0.9238,16.0000,16
10,6,0.9282,4.7079,14.60524,0.9087,16.0000,20
6,10,0.9281,4.5930,14.41133,0.9096,16.0000,20
7,7,0.9281,4.6106,14.88830,0.9117,16.0000,21
11,3,0.9281,5.7356,10.51980,0.8240,5.6889,25
11,11,0.9281,5.6752,11.33328,0.8359,6.5641,23
10,10,0.9278,4.5551,14.94687,0.9152,16.0000,21
7,11,0.9278,4.7065,14.46735,0.9078,16.0000,20
10,8,0.9278,4.4907,14.83987,0.9179,16.0000,19
11,5,0.9277,4.6082,14.63052,0.9123,16.0000,21
