li,hi,lj,hj,cosine,wavelet,energy_profile,pearson,emd
0,0,0,0,1.0000,1.0000,1.0000,1.0000,0.0000
0,0,0,1,0.3009,0.3979,0.8724,0.1760,0.0804
0,0,0,2,0.9264,0.9519,0.9936,0.9032,0.0084
0,0,0,3,0.3681,0.4627,0.9028,0.2341,0.0555
0,0,0,4,0.6244,0.6879,0.9713,0.5181,0.0195
0,0,0,5,0.3835,0.4420,0.8664,0.2629,0.0597
0,0,0,6,0.9184,0.9269,0.9702,0.8906,0.0163
0,0,0,7,0.8541,0.8641,0.9895,0.8087,0.0132
0,0,0,8,0.7936,0.8617,0.9786,0.7331,0.0119
0,0,0,9,0.9404,0.9498,0.9970,0.9213,0.0096
0,0,0,10,0.9096,0.9082,0.9939,0.8794,0.0105
0,0,0,11,0.9354,0.9388,0.9791,0.9136,0.0112
0,0,1,0,0.8076,0.8430,0.9714,0.7513,0.0173
0,0,1,1,0.9031,0.8950,0.9662,0.8767,0.0142
0,0,1,2,0.8969,0.8920,0.9609,0.8678,0.0108
0,0,1,3,0.9022,0.8824,0.9993,0.8723,0.0243
0,0,1,4,0.9230,0.9118,0.9780,0.9034,0.0268
0,0,1,5,0.8835,0.8910,0.9504,0.8589,0.0336
0,0,1,6,0.9136,0.9129,0.9469,0.8966,0.0359
0,0,1,7,0.9287,0.9247,0.9864,0.9104,0.0241
0,0,1,8,0.8872,0.8772,0.9473,0.8633,0.0349
0,0,1,9,0.8536,0.8437,0.9247,0.8286,0.0488
0,0,1,10,0.5460,0.7196,0.9823,0.3972,0.0139
0,0,1,11,0.5297,0.5120,0.8921,0.4269,0.0505
0,0,2,0,0.8846,0.8907,0.9907,0.8484,0.0127
0,0,2,1,0.8356,0.8190,0.9264,0.8086,0.0552
0,0,2,2,0.5945,0.6739,0.9203,0.5021,0.0415
0,0,2,3,0.8138,0.8169,0.9381,0.7663,0.0265
0,0,2,4,0.7865,0.8064,0.9608,0.7309,0.0314
0,0,2,5,0.8821,0.8814,0.9822,0.8469,0.0155
0,0,2,6,0.8143,0.8059,0.9054,0.7861,0.0611
0,0,2,7,0.8893,0.8686,0.9912,0.8517,0.0105
0,0,2,8,0.7135,0.7849,0.9436,0.6433,0.0316
0,0,2,9,0.7450,0.8183,0.9995,0.6659,0.0165
0,0,2,10,0.9497,0.9366,0.9954,0.9333,0.0092
0,0,2,11,0.8576,0.8340,0.9358,0.8319,0.0492
0,0,3,0,0.7773,0.7460,0.8913,0.7523,0.0788
0,0,3,1,0.8428,0.8279,0.9191,0.8165,0.0519
0,0,3,2,0.6668,0.7207,0.9327,0.5872,0.0350
0,0,3,3,0.7224,0.7511,0.8988,0.6674,0.0522
0,0,3,4,0.7878,0.7492,0.8914,0.7645,0.0799
0,0,3,5,0.8964,0.8946,0.9622,0.8757,0.0367
0,0,3,6,0.8635,0.8772,0.9976,0.8188,0.0113
0,0,3,7,0.8461,0.8620,0.9846,0.8017,0.0226
0,0,3,8,0.8089,0.8312,0.9403,0.7611,0.0327
0,0,3,9,0.8232,0.8572,0.9239,0.7823,0.0354
0,0,3,10,0.8451,0.8258,0.9181,0.8169,0.0474
0,0,3,11,0.8007,0.8335,0.9423,0.7507,0.0275
0,0,4,0,0.7182,0.7527,0.8961,0.6634,0.0509
0,0,4,1,0.8355,0.8375,0.9239,0.8074,0.0525
0,0,4,2,0.8201,0.7933,0.9137,0.7961,0.0664
0,0,4,3,0.8615,0.8822,0.9787,0.8236,0.0181
0,0,4,4,0.8329,0.8327,0.9330,0.8041,0.0523
