layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,73.107,1.0000,nan,0.00243,0.8409
0,0,0.20,60.160,1.0000,nan,0.01080,0.8193
0,0,0.30,51.359,0.9999,nan,0.02975,0.8193
0,0,0.40,46.433,0.9997,nan,0.05245,0.8355
0,0,0.50,42.187,0.9991,nan,0.08552,0.7976
0,1,0.10,70.899,1.0000,nan,0.00314,0.7229
0,1,0.20,59.495,1.0000,nan,0.01166,0.5725
0,1,0.30,51.184,1.0000,nan,0.03035,0.5346
0,1,0.40,45.263,0.9998,nan,0.06001,0.5206
0,1,0.50,40.179,0.9994,nan,0.10776,0.4701
0,2,0.10,75.600,1.0000,nan,0.00183,0.7976
0,2,0.20,61.987,1.0000,nan,0.00875,0.8409
0,2,0.30,54.406,0.9999,nan,0.02094,0.7763
0,2,0.40,49.791,0.9999,nan,0.03563,0.7890
0,2,0.50,46.242,0.9997,nan,0.05362,0.7587
0,3,0.10,63.538,1.0000,nan,0.00732,0.7619
0,3,0.20,55.184,1.0000,nan,0.01915,0.7208
0,3,0.30,47.963,0.9999,nan,0.04398,0.7154
0,3,0.40,42.453,0.9996,nan,0.08293,0.6385
0,3,0.50,38.705,0.9990,nan,0.12769,0.5476
0,4,0.10,65.190,1.0000,nan,0.00605,0.8874
0,4,0.20,53.777,1.0000,nan,0.02252,0.8106
0,4,0.30,46.889,0.9998,nan,0.04976,0.8106
0,4,0.40,41.948,0.9992,nan,0.08790,0.7284
0,4,0.50,38.536,0.9983,nan,0.13020,0.6245
0,5,0.10,64.348,1.0000,nan,0.00667,0.6710
0,5,0.20,50.953,0.9999,nan,0.03117,0.6710
0,5,0.30,42.887,0.9996,nan,0.07889,0.5487
0,5,0.40,38.674,0.9990,nan,0.12814,0.4895
0,5,0.50,33.948,0.9970,nan,0.22079,0.4159
0,6,0.10,69.941,1.0000,nan,0.00350,0.8193
0,6,0.20,57.011,1.0000,nan,0.01552,0.7976
0,6,0.30,50.280,0.9999,nan,0.03368,0.8193
0,6,0.40,45.219,0.9995,nan,0.06032,0.8355
0,6,0.50,40.959,0.9987,nan,0.09851,0.7673
0,7,0.10,73.609,1.0000,nan,0.00230,0.8496
0,7,0.20,59.773,1.0000,nan,0.01129,0.8193
0,7,0.30,54.886,1.0000,nan,0.01982,0.8193
0,7,0.40,48.200,0.9998,nan,0.04279,0.8496
0,7,0.50,43.065,0.9992,nan,0.07729,0.8052
0,8,0.10,72.322,1.0000,nan,0.00266,0.8355
0,8,0.20,58.994,1.0000,nan,0.01235,0.8355
0,8,0.30,50.892,0.9999,nan,0.03139,0.8409
0,8,0.40,45.633,0.9997,nan,0.05751,0.7814
0,8,0.50,40.275,0.9988,nan,0.10657,0.7511
0,9,0.10,77.129,1.0000,nan,0.00153,0.8442
0,9,0.20,65.646,1.0000,nan,0.00574,0.7850
0,9,0.30,57.755,1.0000,nan,0.01424,0.7850
0,9,0.40,53.170,0.9999,nan,0.02415,0.8369
0,9,0.50,48.395,0.9998,nan,0.04184,0.8052
0,10,0.10,71.588,1.0000,nan,0.00290,0.8712
0,10,0.20,59.241,1.0000,nan,0.01201,0.8355
0,10,0.30,50.417,0.9999,nan,0.03315,0.8066
0,10,0.40,46.077,0.9996,nan,0.05464,0.7980
0,10,0.50,41.968,0.9990,nan,0.08770,0.7763
0,11,0.10,78.876,1.0000,nan,0.00125,0.8355
0,11,0.20,62.201,1.0000,nan,0.00854,0.8355
0,11,0.30,57.218,1.0000,nan,0.01515,0.8139
0,11,0.40,51.124,0.9999,nan,0.03056,0.8066
0,11,0.50,45.905,0.9996,nan,0.05574,0.6981
1,0,0.10,76.420,1.0000,nan,0.00166,0.7976
1,0,0.20,62.972,1.0000,nan,0.00781,0.8066
1,0,0.30,55.038,1.0000,nan,0.01948,0.7890
1,0,0.40,47.573,0.9997,nan,0.04600,0.7673
1,0,0.50,42.215,0.9991,nan,0.08524,0.8139
1,1,0.10,79.659,1.0000,nan,0.00114,0.8496
1,1,0.20,64.550,1.0000,nan,0.00651,0.8571
