layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.54866,5.96818,4.58048,2.0352,6.8095,0.0000,0.6630,0.03343,0.4330
1,12,8.60415,5.25429,3.34985,1.7911,6.5440,0.0000,0.7154,0.01991,0.2764
2,12,8.70532,5.49332,3.21201,1.9065,6.6137,0.0000,0.7003,0.02222,0.0000
3,12,10.31094,5.91138,4.39956,1.4534,6.4754,0.0000,0.7187,0.01814,0.0000
4,12,11.83779,6.38876,5.44903,1.2931,6.3678,0.0000,0.7401,0.01962,0.3727
5,12,11.65740,6.37946,5.27794,1.2895,6.0613,0.0000,0.7854,0.01071,0.2764
6,12,10.83417,6.19299,4.64118,1.4416,6.1116,0.0000,0.7779,0.01166,0.0000
7,12,12.27216,6.66910,5.60306,1.2428,5.9036,0.0000,0.8049,0.00907,0.0000
8,12,11.35537,6.34918,5.00618,1.3535,6.1084,0.0000,0.7802,0.01329,0.2764
9,12,12.71334,7.21303,5.50031,1.3666,5.8868,0.0000,0.8088,0.00878,0.0000
10,12,12.61149,7.01260,5.59889,1.3282,5.9347,0.0000,0.8027,0.00852,0.2764
11,12,11.33782,6.64034,4.69748,1.7151,6.0915,0.0000,0.7768,0.01160,0.0000
