layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,7.12901,5.26407,1.86494,2.82264,6.40992,1.87731,0.72169,4,0.00000,2.69474,11,121,16
0,1,22.75523,19.61898,3.13624,6.25557,6.15128,1.38489,0.78709,4,0.00000,3.76471,11,121,16
0,2,6.89464,4.83647,2.05817,2.34989,6.29427,1.92001,0.74624,4,0.00000,3.12195,11,121,16
0,3,20.04452,16.76613,3.27839,5.11414,6.22062,1.48218,0.78052,4,0.00000,4.06349,11,121,16
0,4,10.06268,7.98028,2.08240,3.83224,6.56613,1.69909,0.71799,4,0.00000,2.75269,11,121,16
0,5,20.17115,17.58288,2.58827,6.79331,6.52403,1.29106,0.72722,4,0.00000,2.94253,11,121,16
0,6,6.78687,4.67530,2.11157,2.21413,6.53290,1.93892,0.70006,0,0.00000,2.58586,11,121,16
0,7,6.78792,5.25110,1.53682,3.41685,6.48727,1.85846,0.71664,4,0.00000,2.72340,11,121,16
0,8,7.63951,6.40593,1.23358,5.19295,6.54040,1.58172,0.71724,4,0.00000,2.78261,11,121,16
0,9,6.34004,4.65509,1.68496,2.76273,5.98237,1.91144,0.78669,4,0.00000,4.12903,11,121,16
0,10,6.16517,4.57297,1.59220,2.87210,6.41881,1.88110,0.72810,4,0.00000,2.81319,11,121,16
0,11,5.80712,4.06072,1.74641,2.32518,6.29089,1.94636,0.74408,0,0.00000,3.04762,11,121,16
1,0,7.17181,5.59394,1.57786,3.54526,6.37619,1.83684,0.73557,4,0.00000,2.87640,11,121,16
1,1,7.17477,5.82518,1.34959,4.31625,6.21098,1.73598,0.76150,4,0.00000,3.32468,11,121,16
1,2,6.99729,5.81789,1.17940,4.93292,6.26316,1.67062,0.75353,4,0.00000,3.20000,11,121,16
1,3,6.80197,4.75056,2.05141,2.31576,5.87440,1.92169,0.82072,4,0.00000,4.83019,11,121,16
1,4,7.42427,5.67693,1.74734,3.24890,5.73653,1.82716,0.82441,4,0.00000,4.57143,11,121,16
1,5,7.28752,5.34286,1.94466,2.74744,6.24446,1.87001,0.75436,4,0.00000,3.08434,11,121,16
1,6,9.26099,6.37530,2.88569,2.20928,6.13229,1.87566,0.78072,4,0.00000,3.76471,11,121,16
1,7,7.31536,5.32198,1.99338,2.66983,5.82176,1.89570,0.81184,4,0.00000,4.74074,11,121,16
1,8,8.49494,6.92152,1.57342,4.39902,5.73392,1.69756,0.82528,4,0.00000,5.22449,11,121,16
1,9,10.04093,8.34577,1.69516,4.92329,5.56480,1.63948,0.84934,4,0.00000,6.24390,11,121,16
1,10,9.83175,7.14764,2.68412,2.66294,6.15793,1.74771,0.78103,4,0.00000,3.55556,11,121,16
1,11,15.44815,13.37054,2.07761,6.43555,6.58560,1.36345,0.71583,4,0.00000,2.75269,11,121,16
2,0,6.24365,4.39860,1.84505,2.38400,6.39951,1.94500,0.72870,4,0.00000,2.87640,11,121,16
2,1,10.81810,8.04682,2.77128,2.90365,5.47455,1.81809,0.85279,4,0.00000,8.25806,11,121,16
2,2,10.30334,8.45466,1.84867,4.57337,6.48364,1.65584,0.73283,4,0.00000,3.08434,11,121,16
2,3,9.62976,8.16552,1.46424,5.57661,6.26206,1.64616,0.77032,4,0.00000,3.50685,11,121,16
2,4,8.00998,6.55093,1.45905,4.48987,6.33552,1.72463,0.75430,4,0.00000,3.20000,11,121,16
2,5,7.90284,6.36464,1.53819,4.13774,6.48816,1.76777,0.72618,4,0.00000,2.87640,11,121,16
2,6,9.10314,7.54528,1.55787,4.84334,5.86549,1.64273,0.81188,4,0.00000,4.74074,11,121,16
2,7,6.29311,4.73554,1.55756,3.04035,6.35677,1.88817,0.74683,4,0.00000,3.20000,11,121,16
2,8,9.62383,7.70243,1.92139,4.00877,6.19011,1.71109,0.78244,4,0.00000,3.87879,11,121,16
2,9,10.80794,8.27171,2.53622,3.26143,6.48633,1.76307,0.73111,4,0.00000,2.97674,11,121,16
2,10,6.15865,4.58064,1.57802,2.90278,6.29938,1.89268,0.74492,4,0.00000,3.08434,11,121,16
2,11,9.56955,7.59965,1.96990,3.85789,5.46373,1.72422,0.85006,4,0.00000,8.25806,11,121,16
3,0,15.05942,12.21509,2.84433,4.29454,4.58367,1.64701,0.91298,4,0.00000,16.00000,11,121,16
3,1,9.73605,8.13898,1.59706,5.09622,5.95424,1.61204,0.80352,4,0.00000,4.49123,11,121,16
3,2,11.27808,9.43444,1.84364,5.11728,6.43497,1.65583,0.74407,4,0.00000,3.08434,11,121,16
3,3,10.60087,8.90467,1.69620,5.24978,6.10558,1.57413,0.79909,4,0.00000,4.41379,11,121,16
3,4,14.23198,11.43874,2.79324,4.09515,4.68079,1.66795,0.90637,4,0.00000,16.00000,11,121,16
3,5,9.13541,6.63182,2.50359,2.64892,5.73603,1.87019,0.82216,4,0.00000,5.81818,11,121,16
3,6,10.48954,8.15070,2.33884,3.48494,6.59133,1.71046,0.70875,4,0.00000,2.66667,11,121,16
3,7,8.06204,6.27580,1.78624,3.51341,6.58245,1.80288,0.70825,4,0.00000,2.66667,11,121,16
3,8,7.66073,6.04858,1.61215,3.75188,6.55571,1.76755,0.71234,4,0.00000,2.69474,11,121,16
3,9,9.92304,8.30701,1.61603,5.14038,6.49678,1.54698,0.73335,4,0.00000,2.97674,11,121,16
3,10,10.22154,8.52521,1.69633,5.02568,5.67024,1.61551,0.83792,4,0.00000,5.81818,11,121,16
