layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
2,11,0.9794,5.4637,9.56955,0.8501,8.2581,10
3,10,0.9794,5.6702,10.22154,0.8379,5.8182,20
9,6,0.9697,4.3796,15.29057,0.9249,16.0000,15
9,9,0.9697,4.3820,15.27858,0.9251,16.0000,16
5,1,0.9545,4.1544,15.80943,0.9334,16.0000,6
6,9,0.9545,4.1403,15.77437,0.9333,16.0000,6
10,2,0.9543,4.5502,14.52711,0.9137,16.0000,22
10,8,0.9543,4.4286,15.01920,0.9209,16.0000,16
11,2,0.9541,4.7006,13.92407,0.9071,16.0000,16
11,6,0.9541,4.4885,14.36311,0.9173,16.0000,20
1,8,0.9504,5.7339,8.49494,0.8253,5.2245,15
1,9,0.9504,5.5648,10.04093,0.8493,6.2439,16
6,8,0.9496,6.1744,9.10632,0.7811,3.7647,24
7,0,0.9496,6.0392,10.38256,0.8068,4.5714,23
8,7,0.9441,6.2697,11.59327,0.7759,3.7101,5
3,7,0.9417,6.5825,8.06204,0.7082,2.6667,7
3,8,0.9417,6.5557,7.66073,0.7123,2.6947,12
5,5,0.9389,4.5337,14.99938,0.9156,16.0000,22
7,1,0.9389,4.5434,14.80736,0.9132,16.0000,22
5,9,0.9387,4.6312,13.72967,0.9088,16.0000,20
10,0,0.9376,4.7763,14.08848,0.9060,16.0000,17
10,1,0.9376,4.7705,14.47438,0.9108,16.0000,17
9,0,0.9366,5.7133,12.11038,0.8420,5.4468,7
10,6,0.9366,5.5907,11.88876,0.8457,6.5641,11
4,4,0.9362,5.4430,10.90164,0.8538,9.1429,21
8,11,0.9344,4.6026,14.22100,0.9146,16.0000,22
11,10,0.9344,6.2568,8.36220,0.7636,3.4595,20
11,11,0.9344,6.2327,9.16634,0.7720,3.5068,22
10,10,0.9328,4.4363,14.87783,0.9197,16.0000,18
3,0,0.9325,4.5837,15.05942,0.9130,16.0000,21
1,1,0.9310,6.2110,7.17477,0.7615,3.3247,21
2,4,0.9310,6.3355,8.00998,0.7543,3.2000,22
9,2,0.9297,5.3893,12.07957,0.8711,8.0000,16
1,2,0.9296,6.2632,6.99729,0.7535,3.2000,20
11,9,0.9284,4.4224,14.93210,0.9207,16.0000,16
9,5,0.9265,5.3137,11.75406,0.8747,9.8462,17
10,3,0.9265,5.2741,11.98619,0.8664,12.8000,18
6,6,0.9265,5.1373,12.29158,0.8766,16.0000,17
9,4,0.9265,4.9507,13.80374,0.8909,16.0000,8
4,2,0.9250,5.3675,10.84279,0.8538,12.1905,18
11,4,0.9250,5.3248,10.48461,0.8606,12.1905,14
9,11,0.9240,4.3622,15.25185,0.9244,16.0000,16
10,7,0.9231,5.6388,11.30391,0.8443,6.5641,16
6,10,0.9228,4.6821,14.45183,0.9062,16.0000,17
7,7,0.9228,4.8368,13.95266,0.8969,16.0000,14
8,9,0.9224,5.6249,10.41042,0.8399,6.5641,20
8,10,0.9224,5.6125,10.16806,0.8318,6.7368,17
5,8,0.9210,5.3515,11.86720,0.8574,11.6364,16
8,3,0.9210,5.3106,12.20945,0.8654,11.1304,16
3,3,0.9208,6.1056,10.60087,0.7991,4.4138,17
9,7,0.9205,5.8739,9.28860,0.8116,5.1200,22
11,1,0.9201,5.4495,9.94129,0.8521,8.8276,12
8,4,0.9181,5.9773,10.43637,0.8144,4.4912,24
7,11,0.9171,4.6682,14.43618,0.9084,16.0000,19
9,1,0.9171,4.6900,14.65766,0.9060,16.0000,16
9,3,0.9159,6.1777,9.42579,0.7847,3.7647,24
7,10,0.9133,4.3186,15.48231,0.9273,16.0000,14
5,0,0.9129,4.6531,14.29096,0.9095,16.0000,19
10,9,0.9129,6.3776,9.93767,0.7495,3.2000,11
3,4,0.9127,4.6808,14.23198,0.9064,16.0000,17
8,1,0.9124,4.4565,15.13756,0.9225,16.0000,20
7,9,0.9119,5.7445,10.00103,0.8253,5.8182,21
8,8,0.9119,5.9492,9.47851,0.8088,4.4912,28
8,5,0.9096,6.1558,8.15925,0.7758,3.7101,22
6,0,0.9075,6.1632,8.29796,0.7754,3.5556,24
6,11,0.9075,6.1352,8.91082,0.7931,4.1967,24
10,11,0.9067,5.8145,12.67992,0.8357,4.9231,4
2,5,0.9066,6.4882,7.90284,0.7262,2.8764,12
6,5,0.9057,5.4640,9.48423,0.8504,9.4815,10
2,8,0.9056,6.1901,9.62383,0.7824,3.8788,7
5,4,0.9056,6.2264,8.41317,0.7757,3.7101,16
2,3,0.9051,6.2621,9.62976,0.7703,3.5068,5
3,2,0.9051,6.4350,11.27808,0.7441,3.0843,3
11,7,0.9046,5.2902,12.17123,0.8627,12.8000,16
1,0,0.9039,6.3762,7.17181,0.7356,2.8764,19
7,3,0.9038,6.1515,8.20750,0.7721,3.4595,21
7,6,0.9035,5.0932,12.11232,0.8766,16.0000,15
10,5,0.9034,6.0929,10.73408,0.7931,3.7101,15
4,9,0.9027,6.2773,8.53701,0.7655,3.4595,25
5,2,0.9027,6.2028,9.96584,0.7750,3.5068,19
7,2,0.9026,4.1238,15.87148,0.9338,16.0000,4
2,0,0.9024,6.3995,6.24365,0.7287,2.8764,17
3,11,0.9024,6.5135,7.33255,0.7182,2.7826,16
2,6,0.9024,5.8655,9.10314,0.8119,4.7407,22
6,7,0.9017,6.0708,8.80732,0.7917,3.7647,27
2,1,0.9017,5.4745,10.81810,0.8528,8.2581,22
5,7,0.8999,6.1083,10.40263,0.7986,4.4912,17
7,5,0.8999,5.2252,11.84257,0.8710,13.4737,18
0,10,0.8996,6.4188,6.16517,0.7281,2.8132,16
1,5,0.8996,6.2445,7.28752,0.7544,3.0843,18
4,8,0.8993,5.2323,11.89697,0.8674,14.2222,18
5,6,0.8993,5.4074,12.98087,0.8674,8.8276,11
8,6,0.8993,5.2956,13.36776,0.8797,9.1429,13
7,8,0.8991,6.1992,9.48475,0.7837,3.8209,21
1,3,0.8985,5.8744,6.80197,0.8207,4.8302,4
1,4,0.8985,5.7365,7.42427,0.8244,4.5714,6
4,5,0.8972,5.6990,11.48953,0.8350,5.8182,12
10,4,0.8965,5.8441,9.82037,0.8230,5.3333,21
11,3,0.8965,5.8473,9.35186,0.8166,4.7407,22
8,2,0.8957,5.7820,8.79099,0.8130,5.2245,19
9,8,0.8957,5.0317,13.32561,0.8950,12.8000,11
3,1,0.8952,5.9542,9.73605,0.8035,4.4912,30
5,11,0.8950,5.8199,9.78603,0.8093,5.1200,21
2,7,0.8950,6.3568,6.29311,0.7468,3.2000,14
9,10,0.8907,6.1365,10.29367,0.7947,4.2667,17
0,6,0.8897,6.5329,6.78687,0.7001,2.5859,13
2,10,0.8897,6.2994,6.15865,0.7449,3.0843,15
0,7,0.8886,6.4873,6.78792,0.7166,2.7234,16
11,5,0.8880,4.9693,13.64226,0.8920,16.0000,10
3,5,0.8876,5.7360,9.13541,0.8222,5.8182,18
8,0,0.8860,5.0826,12.29176,0.8769,16.0000,15
4,10,0.8860,4.9825,13.57745,0.8866,16.0000,10
6,2,0.8855,4.9254,12.13362,0.8885,16.0000,6
6,1,0.8840,5.3200,12.50877,0.8749,9.8462,14
0,2,0.8835,6.2943,6.89464,0.7462,3.1220,21
4,6,0.8827,5.8817,8.49661,0.8105,4.8302,16
0,0,0.8824,6.4099,7.12901,0.7217,2.6947,22
6,4,0.8807,6.1791,8.52101,0.7738,3.6056,20
0,8,0.8789,6.5404,7.63951,0.7172,2.7826,12
0,9,0.8776,5.9824,6.34004,0.7867,4.1290,5
