layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,7.12901,4.36152,2.76749,1.57598,6.69508,-0.00000,0.68865,0,0.02410,2.61224,11,121,16
0,1,22.75523,9.12131,13.63393,0.66902,6.61039,-0.00000,0.71120,1,0.05297,3.01176,11,121,16
0,2,6.89464,4.56684,2.32780,1.96187,6.63188,-0.00000,0.70388,0,0.01628,2.81319,11,121,16
0,3,20.04452,8.75352,11.29100,0.77527,6.67132,-0.00000,0.69836,1,0.06131,2.90909,11,121,16
0,4,10.06269,5.52542,4.53726,1.21779,7.06391,-0.00000,0.60680,0,0.05286,2.00000,11,121,16
0,5,20.17115,6.93739,13.23377,0.52422,6.98868,-0.00000,0.62350,1,0.10102,2.04800,11,121,16
0,6,6.78687,4.82962,1.95725,2.46755,6.74159,-0.00000,0.68353,0,0.02166,2.58586,11,121,16
0,7,6.78792,4.29320,2.49472,1.72092,6.89976,-0.00000,0.64141,0,0.04447,2.20690,11,121,16
0,8,7.63951,3.74718,3.89233,0.96271,7.07898,-0.00000,0.59359,1,0.04140,1.98450,11,121,16
0,9,6.34005,3.94162,2.39843,1.64342,6.54262,-0.00000,0.71693,0,0.01681,3.20000,11,121,16
0,10,6.16517,3.92159,2.24359,1.74791,6.72908,-0.00000,0.68783,0,0.02104,2.75269,11,121,16
0,11,5.80712,4.05072,1.75641,2.30625,6.68820,-0.00000,0.69435,0,0.01903,2.87640,11,121,16
1,0,7.17181,4.06801,3.10380,1.31065,6.94311,-0.00000,0.62544,0,0.04898,2.04800,11,121,16
1,1,7.17477,3.61166,3.56311,1.01362,6.70345,-0.00000,0.68407,0,0.02981,2.66667,11,121,16
1,2,6.99729,3.38922,3.60807,0.93934,6.67594,-0.00000,0.69142,1,0.02333,2.84444,11,121,16
1,3,6.80197,4.32633,2.47564,1.74756,6.40905,-0.00000,0.74770,0,0.01469,3.65714,11,121,16
1,4,7.42427,3.94477,3.47950,1.13372,6.27866,-0.00000,0.76480,0,0.01529,4.06349,11,121,16
1,5,7.28752,4.23726,3.05027,1.38914,6.71402,-0.00000,0.67896,0,0.02256,2.39252,11,121,16
1,6,9.26099,5.51701,3.74398,1.47357,6.54958,-0.00000,0.72074,0,0.01184,2.81319,11,121,16
1,7,7.31536,4.28331,3.03205,1.41268,6.32868,-0.00000,0.75516,0,0.01632,3.93846,11,121,16
1,8,8.49495,3.64888,4.84606,0.75296,6.35841,-0.00000,0.74941,1,0.01388,3.60563,11,121,16
1,9,10.04093,3.82204,6.21889,0.61459,6.20665,-0.00000,0.77476,1,0.00924,4.06349,11,121,16
1,10,9.83175,5.88053,3.95122,1.48828,6.71587,-0.00000,0.68817,0,0.02349,2.81319,11,121,16
1,11,15.44815,6.06385,9.38430,0.64617,6.98312,-0.00000,0.62450,1,0.10166,2.06452,11,121,16
2,0,6.24365,4.26935,1.97430,2.16246,6.69972,-0.00000,0.68828,0,0.02432,2.78261,11,121,16
2,1,10.81810,5.18150,5.63660,0.91926,6.01906,-0.00000,0.79935,1,0.01125,5.44681,11,121,16
2,2,10.30334,5.18834,5.11500,1.01434,6.99299,-0.00000,0.62632,0,0.04136,2.13333,11,121,16
2,3,9.62976,4.93549,4.69427,1.05139,6.86121,-0.00000,0.65032,0,0.03973,2.26549,11,121,16
2,4,8.00998,3.94865,4.06133,0.97225,6.95244,-0.00000,0.62740,1,0.04464,2.13333,11,121,16
2,5,7.90284,4.52063,3.38221,1.33659,6.82906,-0.00000,0.66224,0,0.02908,2.39252,11,121,16
2,6,9.10314,3.65479,5.44835,0.67081,6.36863,-0.00000,0.74640,1,0.01837,3.65714,11,121,16
2,7,6.29311,4.09586,2.19725,1.86409,6.80212,-0.00000,0.67339,0,0.02850,2.61224,11,121,16
2,8,9.62383,4.35319,5.27065,0.82593,6.68708,-0.00000,0.69318,1,0.02793,2.72340,11,121,16
2,9,10.80794,5.86515,4.94279,1.18661,6.94415,-0.00000,0.64088,0,0.05166,2.22609,11,121,16
2,10,6.15865,3.89062,2.26803,1.71542,6.72469,-0.00000,0.68586,0,0.01826,2.78261,11,121,16
2,11,9.56955,4.14311,5.42645,0.76350,5.99861,-0.00000,0.80262,1,0.00830,5.22449,11,121,16
3,0,15.05942,5.28338,9.77604,0.54044,5.48483,-0.00000,0.86443,1,0.00319,8.00000,11,121,16
3,1,9.73605,3.84366,5.89239,0.65231,6.43937,-0.00000,0.73248,1,0.02180,3.20000,11,121,16
3,2,11.27809,6.52664,4.75145,1.37361,6.95631,-0.00000,0.63514,0,0.05933,2.15126,11,121,16
3,3,10.60088,3.94703,6.65385,0.59319,6.64331,-0.00000,0.70239,1,0.03154,2.90909,11,121,16
3,4,14.23198,5.18931,9.04267,0.57387,5.50498,-0.00000,0.86140,1,0.00418,8.25806,11,121,16
3,5,9.13541,4.90656,4.22885,1.16026,6.12141,-0.00000,0.78764,0,0.01058,4.74074,11,121,16
3,6,10.48954,5.58523,4.90431,1.13884,7.11730,-0.00000,0.58929,0,0.05215,1.88235,11,121,16
3,7,8.06204,4.58067,3.48137,1.31577,6.96107,-0.00000,0.63393,0,0.04158,2.15126,11,121,16
