layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
9,6,0.9697,5.3573,15.29058,0.8780,8.2581,25
9,9,0.9697,5.3581,15.27858,0.8779,8.2581,25
5,1,0.9545,5.2178,15.80943,0.8903,8.2581,16
6,9,0.9545,5.1962,15.77437,0.8920,8.2581,14
10,2,0.9543,5.4032,14.52711,0.8720,8.5333,25
10,8,0.9543,5.3545,15.01921,0.8777,8.2581,25
11,2,0.9541,5.5329,13.92408,0.8587,8.0000,27
11,6,0.9541,5.3970,14.36312,0.8733,8.2581,25
10,0,0.9533,5.5788,14.08849,0.8562,7.3143,25
1,8,0.9505,6.3584,8.49495,0.7494,3.6056,28
1,9,0.9505,6.2067,10.04093,0.7748,4.0635,31
6,8,0.9451,6.6175,9.10633,0.7072,2.9425,22
7,0,0.9451,6.5423,10.38256,0.7177,3.0843,19
8,7,0.9438,6.6264,11.59327,0.7026,2.6947,4
8,10,0.9403,6.0695,10.16806,0.7911,5.0196,22
9,5,0.9403,5.9001,11.75407,0.8196,5.9535,21
5,5,0.9389,5.4605,14.99938,0.8671,8.0000,26
7,1,0.9389,5.4239,14.80736,0.8704,8.2581,27
5,9,0.9388,5.5181,13.72967,0.8605,8.2581,28
3,7,0.9383,6.9611,8.06204,0.6339,2.1513,6
3,8,0.9383,6.9344,7.66073,0.6397,2.2655,15
10,1,0.9376,5.6557,14.47438,0.8486,6.4000,18
9,0,0.9355,6.1797,12.11038,0.7866,4.1967,12
10,6,0.9355,6.1677,11.88876,0.7790,4.4912,14
11,10,0.9354,6.6223,8.36220,0.7058,2.7234,19
11,11,0.9354,6.5473,9.16634,0.7234,3.0843,29
4,4,0.9345,6.0337,10.90164,0.7966,5.0196,29
8,11,0.9344,5.4424,14.22100,0.8702,7.7576,27
1,1,0.9334,6.7034,7.17477,0.6841,2.6667,24
2,4,0.9334,6.9524,8.00998,0.6274,2.1333,9
10,10,0.9328,5.3615,14.87784,0.8766,8.2581,25
3,0,0.9325,5.4848,15.05942,0.8644,8.0000,25
1,2,0.9298,6.6759,6.99729,0.6914,2.8444,19
9,2,0.9293,5.9740,12.07957,0.8122,5.0196,22
5,2,0.9291,6.4045,9.96584,0.7452,3.5068,32
7,4,0.9291,6.3683,10.68516,0.7473,3.3684,24
9,8,0.9287,5.7604,13.32561,0.8383,6.0952,23
11,9,0.9284,5.3986,14.93210,0.8719,8.5333,25
7,7,0.9280,5.5533,13.95266,0.8549,8.2581,25
8,1,0.9280,5.3841,15.13756,0.8754,8.2581,25
10,3,0.9276,5.9063,11.98619,0.8098,6.2439,22
6,6,0.9265,5.7977,12.29159,0.8274,6.7368,21
9,4,0.9265,5.6772,13.80374,0.8414,7.7576,21
10,7,0.9246,6.1054,11.30391,0.7917,4.8302,23
4,2,0.9242,5.9866,10.84279,0.7994,5.5652,25
11,4,0.9242,6.0116,10.48461,0.7940,5.6889,24
9,11,0.9240,5.3004,15.25186,0.8831,8.2581,22
4,10,0.9228,5.6643,13.57745,0.8412,8.0000,25
6,10,0.9225,5.4573,14.45183,0.8654,8.8276,26
11,1,0.9224,5.9944,9.94129,0.8008,5.5652,14
8,9,0.9221,6.1803,10.41042,0.7762,4.0635,28
9,7,0.9213,6.2435,9.28860,0.7688,3.9385,28
5,8,0.9211,5.9099,11.86721,0.8134,5.8182,20
8,3,0.9211,5.9702,12.20945,0.8021,5.6889,21
3,3,0.9205,6.6433,10.60088,0.7024,2.9091,9
7,2,0.9196,5.1887,15.87148,0.8926,8.2581,13
8,4,0.9184,6.3412,10.43637,0.7547,3.8788,26
9,3,0.9182,6.6066,9.42579,0.7053,2.8132,17
7,11,0.9174,5.5066,14.43619,0.8619,8.0000,26
9,1,0.9171,5.5527,14.65766,0.8557,8.0000,25
6,2,0.9165,5.7036,12.13362,0.8370,7.7576,15
10,11,0.9134,6.4077,12.67993,0.7483,3.6056,4
7,10,0.9133,5.2950,15.48231,0.8839,8.2581,21
7,9,0.9129,6.1826,10.00103,0.7738,4.4912,29
8,8,0.9129,6.3565,9.47851,0.7550,3.5556,31
5,0,0.9128,5.4756,14.29097,0.8660,8.0000,25
3,4,0.9127,5.5050,14.23198,0.8614,8.2581,26
0,9,0.9125,6.5426,6.34005,0.7169,3.2000,13
0,10,0.9125,6.7291,6.16517,0.6878,2.7527,17
11,5,0.9119,5.7486,13.64227,0.8323,7.1111,21
10,9,0.9113,6.6387,9.93767,0.7054,2.8444,10
11,7,0.9113,5.8406,12.17124,0.8194,6.5641,21
1,5,0.9108,6.7140,7.28752,0.6790,2.3925,21
3,10,0.9107,6.2626,10.22154,0.7641,4.0000,23
2,3,0.9099,6.8612,9.62976,0.6503,2.2655,3
3,2,0.9099,6.9563,11.27809,0.6351,2.1513,2
8,5,0.9076,6.5565,8.15925,0.7141,2.9425,27
5,6,0.9070,6.0391,12.98088,0.7981,4.9231,15
