li,hi,lj,hj,cosine,wavelet,energy_profile,pearson,emd
0,0,0,0,1.0000,1.0000,1.0000,1.0000,0.0000
0,0,0,1,0.2559,0.3894,0.9148,0.1256,0.0795
0,0,0,2,0.9202,0.9424,0.9956,0.8958,0.0094
0,0,0,3,0.3370,0.4196,0.9408,0.2043,0.0579
0,0,0,4,0.6084,0.6308,0.9926,0.5024,0.0202
0,0,0,5,0.3713,0.4573,0.8666,0.2457,0.0547
0,0,0,6,0.9006,0.9088,0.9838,0.8686,0.0151
0,0,0,7,0.8381,0.8579,0.9992,0.7864,0.0110
0,0,0,8,0.7482,0.8372,0.9716,0.6778,0.0138
0,0,0,9,0.9389,0.9492,0.9998,0.9196,0.0136
0,0,0,10,0.9024,0.9047,0.9990,0.8709,0.0101
0,0,0,11,0.9164,0.9155,0.9878,0.8894,0.0159
0,0,1,0,0.8846,0.8869,0.9963,0.8489,0.0089
0,0,1,1,0.9012,0.9094,0.9774,0.8729,0.0096
0,0,1,2,0.8712,0.8845,0.9686,0.8333,0.0075
0,0,1,3,0.8669,0.8440,0.9990,0.8265,0.0245
0,0,1,4,0.9020,0.9017,0.9876,0.8759,0.0257
0,0,1,5,0.8934,0.9165,0.9983,0.8640,0.0178
0,0,1,6,0.8959,0.9061,0.9995,0.8712,0.0324
0,0,1,7,0.9266,0.9279,0.9987,0.9061,0.0219
0,0,1,8,0.8700,0.8741,0.9359,0.8399,0.0291
0,0,1,9,0.8358,0.8339,0.8986,0.8048,0.0441
0,0,1,10,0.5258,0.7279,0.9997,0.3740,0.0144
0,0,1,11,0.5055,0.4836,0.9083,0.3955,0.0467
0,0,2,0,0.9036,0.9060,0.9913,0.8725,0.0142
0,0,2,1,0.8425,0.8371,0.9659,0.8151,0.0513
0,0,2,2,0.6872,0.7322,0.9774,0.6124,0.0331
0,0,2,3,0.8160,0.7964,0.9811,0.7677,0.0193
0,0,2,4,0.8526,0.8677,0.9727,0.8126,0.0213
0,0,2,5,0.8323,0.8345,0.9970,0.7840,0.0155
0,0,2,6,0.8472,0.8563,0.9153,0.8142,0.0366
0,0,2,7,0.8524,0.8352,0.9973,0.8033,0.0147
0,0,2,8,0.7713,0.7843,0.9508,0.7139,0.0245
0,0,2,9,0.7473,0.7767,0.9909,0.6781,0.0218
0,0,2,10,0.9345,0.9318,0.9993,0.9137,0.0105
0,0,2,11,0.8423,0.8251,0.9382,0.8109,0.0442
0,0,3,0,0.7452,0.7252,0.8728,0.7154,0.0821
0,0,3,1,0.8389,0.8464,0.9101,0.8067,0.0405
0,0,3,2,0.6936,0.6889,0.9980,0.6138,0.0232
0,0,3,3,0.7939,0.8251,0.8916,0.7528,0.0455
0,0,3,4,0.7625,0.7427,0.8850,0.7329,0.0783
0,0,3,5,0.8917,0.8918,0.9894,0.8688,0.0341
0,0,3,6,0.8037,0.8361,0.9880,0.7484,0.0142
0,0,3,7,0.8201,0.8150,0.9964,0.7686,0.0192
0,0,3,8,0.8287,0.8540,0.9933,0.7800,0.0226
0,0,3,9,0.8033,0.7999,0.9184,0.7569,0.0366
0,0,3,10,0.8243,0.8151,0.8931,0.7910,0.0468
0,0,3,11,0.8922,0.9036,0.9918,0.8610,0.0159
0,0,4,0,0.7027,0.7650,0.8559,0.6465,0.0544
0,0,4,1,0.8416,0.8330,0.9325,0.8077,0.0350
0,0,4,2,0.8150,0.8086,0.9315,0.7838,0.0554
0,0,4,3,0.8654,0.8331,0.9910,0.8291,0.0193
0,0,4,4,0.8394,0.8295,0.9597,0.8119,0.0519
0,0,4,5,0.8121,0.8057,0.8786,0.7814,0.0558
0,0,4,6,0.8968,0.8903,0.9675,0.8724,0.0256
0,0,4,7,0.6455,0.6363,0.9642,0.5533,0.0264
0,0,4,8,0.8093,0.7912,0.9016,0.7793,0.0592
0,0,4,9,0.8920,0.8936,0.9818,0.8648,0.0210
0,0,4,10,0.7633,0.7499,0.8927,0.7316,0.0739
0,0,4,11,0.4928,0.5811,0.8598,0.4153,0.0841
0,0,5,0,0.7563,0.7372,0.8837,0.7257,0.0778
0,0,5,1,0.7402,0.7181,0.8675,0.7117,0.0843
0,0,5,2,0.8554,0.8712,0.9308,0.8262,0.0392
0,0,5,3,0.9298,0.9313,0.9999,0.9078,0.0132
0,0,5,4,0.8544,0.8481,0.9482,0.8160,0.0262
0,0,5,5,0.7501,0.7331,0.8763,0.7208,0.0816
0,0,5,6,0.7743,0.7672,0.8841,0.7410,0.0674
0,0,5,7,0.8045,0.8222,0.8976,0.7648,0.0467
0,0,5,8,0.7961,0.7915,0.8967,0.7643,0.0614
0,0,5,9,0.7719,0.7527,0.8898,0.7421,0.0748
0,0,5,10,0.7936,0.7859,0.9612,0.7497,0.0424
0,0,5,11,0.8429,0.8385,0.9541,0.8107,0.0412
0,0,6,0,0.9164,0.9126,0.9898,0.8965,0.0277
0,0,6,1,0.7881,0.8027,0.9082,0.7549,0.0600
0,0,6,2,0.7982,0.7772,0.8958,0.7682,0.0645
0,0,6,3,0.8538,0.8466,0.9407,0.8234,0.0336
0,0,6,4,0.8463,0.8642,1.0000,0.8092,0.0316
0,0,6,5,0.8590,0.8459,0.9471,0.8303,0.0411
0,0,6,6,0.7858,0.7670,0.9062,0.7531,0.0643
0,0,6,7,0.8714,0.8565,0.9631,0.8423,0.0316
0,0,6,8,0.8537,0.8724,0.9316,0.8227,0.0388
0,0,6,9,0.7413,0.7188,0.8688,0.7127,0.0845
0,0,6,10,0.7543,0.7316,0.8809,0.7236,0.0787
0,0,6,11,0.8448,0.8669,0.9551,0.8091,0.0390
0,0,7,0,0.8051,0.8305,0.9042,0.7682,0.0504
0,0,7,1,0.7483,0.7279,0.8804,0.7183,0.0811
0,0,7,2,0.7401,0.7167,0.8661,0.7117,0.0846
0,0,7,3,0.8841,0.8946,0.9943,0.8554,0.0273
0,0,7,4,0.8292,0.8456,0.9151,0.7987,0.0476
0,0,7,5,0.8095,0.7917,0.9047,0.7807,0.0613
0,0,7,6,0.7917,0.7840,0.9249,0.7602,0.0634
0,0,7,7,0.7677,0.7470,0.8771,0.7374,0.0745
0,0,7,8,0.8251,0.8397,0.9234,0.7877,0.0401
0,0,7,9,0.8301,0.8290,0.9402,0.7985,0.0462
0,0,7,10,0.7445,0.7262,0.8751,0.7157,0.0833
0,0,7,11,0.7563,0.7422,0.8863,0.7262,0.0782
0,0,8,0,0.7899,0.7741,0.8934,0.7591,0.0655
0,0,8,1,0.7498,0.7329,0.8717,0.7202,0.0804
0,0,8,2,0.8716,0.8702,0.9765,0.8428,0.0338
0,0,8,3,0.7978,0.7825,0.8937,0.7665,0.0617
0,0,8,4,0.8023,0.8170,0.9140,0.7644,0.0514
0,0,8,5,0.8792,0.9049,0.9935,0.8500,0.0290
0,0,8,6,0.7688,0.7777,0.8906,0.7346,0.0659
0,0,8,7,0.7553,0.7676,0.8849,0.7100,0.0529
0,0,8,8,0.8451,0.8538,0.9760,0.8117,0.0352
0,0,8,9,0.8273,0.8262,0.9171,0.7949,0.0458
0,0,8,10,0.8392,0.8272,0.9531,0.8083,0.0453
0,0,8,11,0.7647,0.7474,0.9029,0.7347,0.0761
0,0,9,0,0.7649,0.8197,0.9652,0.7257,0.0597
0,0,9,1,0.7559,0.7380,0.8722,0.7262,0.0787
0,0,9,2,0.7760,0.8029,0.9566,0.7374,0.0554
0,0,9,3,0.8275,0.8304,0.9438,0.7904,0.0405
0,0,9,4,0.7710,0.7521,0.8907,0.7404,0.0720
0,0,9,5,0.7935,0.7920,0.9660,0.7587,0.0572
0,0,9,6,0.7478,0.7299,0.8779,0.7189,0.0825
0,0,9,7,0.8678,0.8663,0.9762,0.8393,0.0345
0,0,9,8,0.7693,0.7704,0.9422,0.7366,0.0694
0,0,9,9,0.7481,0.7289,0.8783,0.7192,0.0824
0,0,9,10,0.8003,0.8353,0.8957,0.7617,0.0443
0,0,9,11,0.7479,0.7268,0.8755,0.7188,0.0824
0,0,10,0,0.7677,0.7536,0.9060,0.7384,0.0754
0,0,10,1,0.7579,0.7464,0.8776,0.7286,0.0782
0,0,10,2,0.7578,0.7405,0.8872,0.7283,0.0788
0,0,10,3,0.7960,0.7923,0.9173,0.7652,0.0632
0,0,10,4,0.8090,0.8421,0.9999,0.7668,0.0388
0,0,10,5,0.8005,0.8127,0.9132,0.7654,0.0464
0,0,10,6,0.7963,0.8065,0.9356,0.7627,0.0554
0,0,10,7,0.8044,0.8222,0.9606,0.7694,0.0522
0,0,10,8,0.7477,0.7284,0.8797,0.7180,0.0817
0,0,10,9,0.8408,0.8376,0.9319,0.8073,0.0369
0,0,10,10,0.7531,0.7315,0.8802,0.7239,0.0808
0,0,10,11,0.7424,0.7483,0.8862,0.7003,0.0652
0,0,11,0,0.8364,0.8231,0.9550,0.7806,0.0168
0,0,11,1,0.8522,0.8426,0.9729,0.8235,0.0437
0,0,11,2,0.7688,0.7536,0.8973,0.7388,0.0746
0,0,11,3,0.8477,0.8495,0.9947,0.8131,0.0353
0,0,11,4,0.8161,0.8230,0.9514,0.7829,0.0523
0,0,11,5,0.7677,0.7598,0.8877,0.7363,0.0722
0,0,11,6,0.7608,0.7405,0.8904,0.7311,0.0782
0,0,11,7,0.7993,0.7855,0.9158,0.7683,0.0615
0,0,11,8,0.4977,0.7689,0.9897,0.3600,0.0188
0,0,11,9,0.7519,0.7315,0.8752,0.7225,0.0811
0,0,11,10,0.8469,0.9007,0.9991,0.8070,0.0274
0,0,11,11,0.8473,0.8671,0.9530,0.8142,0.0384
0,1,0,0,0.2559,0.3894,0.9148,0.1256,0.0795
0,1,0,1,1.0000,1.0000,1.0000,1.0000,0.0000
0,1,0,2,0.3408,0.3960,0.8729,0.2273,0.0766
0,1,0,3,0.9447,0.9638,0.9976,0.9387,0.0227
0,1,0,4,0.7603,0.8325,0.9572,0.7300,0.0659
0,1,0,5,0.9229,0.9650,0.9943,0.9142,0.0293
0,1,0,6,0.3489,0.4928,0.8275,0.2306,0.0878
0,1,0,7,0.4628,0.5652,0.8984,0.3717,0.0858
0,1,0,8,0.4541,0.5515,0.9844,0.3683,0.0689
0,1,0,9,0.3101,0.4034,0.9071,0.1865,0.0847
0,1,0,10,0.5121,0.6360,0.8954,0.4311,0.0857
0,1,0,11,0.4437,0.5520,0.8408,0.3450,0.0896
0,1,1,0,0.3344,0.4746,0.9462,0.2186,0.0824
0,1,1,1,0.3045,0.4252,0.9796,0.1889,0.0733
0,1,1,2,0.3811,0.4710,0.9865,0.2783,0.0788
0,1,1,3,0.3765,0.4783,0.8954,0.2710,0.0668
0,1,1,4,0.2791,0.3781,0.9668,0.1635,0.0617
0,1,1,5,0.3208,0.4177,0.9369,0.2109,0.0653
0,1,1,6,0.2344,0.3237,0.9268,0.1172,0.0495
0,1,1,7,0.2584,0.3571,0.9341,0.1356,0.0644
0,1,1,8,0.2402,0.3301,0.9984,0.1266,0.0517
0,1,1,9,0.1864,0.2807,0.9993,0.0759,0.0362
0,1,1,10,0.6462,0.6870,0.9251,0.5952,0.0895
0,1,1,11,0.8974,0.9571,0.9999,0.8862,0.0407
0,1,2,0,0.3047,0.4257,0.8536,0.1764,0.0887
0,1,2,1,0.1613,0.2500,0.9882,0.0502,0.0298
0,1,2,2,0.2982,0.5801,0.9795,0.1958,0.0480
0,1,2,3,0.2590,0.4197,0.9757,0.1423,0.0641
0,1,2,4,0.2511,0.4357,0.9835,0.1301,0.0703
0,1,2,5,0.3215,0.5042,0.9431,0.2092,0.0732
0,1,2,6,0.2752,0.3653,1.0000,0.1713,0.0429
0,1,2,7,0.5665,0.6698,0.8829,0.4972,0.0924
0,1,2,8,0.2422,0.3835,0.9949,0.1266,0.0558
0,1,2,9,0.2654,0.5380,0.9608,0.1471,0.0640
0,1,2,10,0.4149,0.5376,0.8990,0.3116,0.0892
0,1,2,11,0.2222,0.3124,0.9980,0.1140,0.0395
0,1,3,0,0.1256,0.2114,0.9956,0.0316,0.0079
0,1,3,1,0.2024,0.3156,0.9999,0.0915,0.0390
0,1,3,2,0.2817,0.4608,0.9387,0.1705,0.0594
0,1,3,3,0.1814,0.3480,0.9985,0.0698,0.0392
0,1,3,4,0.1213,0.2011,0.9976,0.0234,0.0096
0,1,3,5,0.1751,0.2707,0.9638,0.0542,0.0454
0,1,3,6,0.2948,0.5219,0.9662,0.1792,0.0703
0,1,3,7,0.3019,0.5377,0.9456,0.1864,0.0727
0,1,3,8,0.3197,0.5285,0.9554,0.2079,0.0735
0,1,3,9,0.2329,0.3657,1.0000,0.1191,0.0526
0,1,3,10,0.2583,0.3597,0.9987,0.1583,0.0337
0,1,3,11,0.2723,0.4488,0.9588,0.1501,0.0712
0,1,4,0,0.1610,0.3440,0.9919,0.0535,0.0266
0,1,4,1,0.2124,0.3236,0.9989,0.0995,0.0458
0,1,4,2,0.1635,0.2572,0.9991,0.0559,0.0275
0,1,4,3,0.2441,0.4285,0.9607,0.1223,0.0631
