layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
9,6,0.9847,5.4996,15.02471,0.8618,7.5294,27
9,9,0.9847,5.4480,15.46612,0.8668,7.5294,18
10,10,0.9696,5.4600,15.02774,0.8658,7.7576,22
11,6,0.9696,5.4915,14.54830,0.8614,8.0000,28
10,2,0.9696,5.4697,14.92608,0.8642,7.7576,22
8,10,0.9592,6.1736,10.28710,0.7727,4.3390,23
11,10,0.9592,6.3727,9.42335,0.7490,3.3684,22
7,9,0.9530,6.1834,10.65116,0.7722,4.0635,24
10,1,0.9528,5.5864,14.64925,0.8499,8.0000,29
10,3,0.9528,5.7655,13.03496,0.8262,7.1111,28
1,8,0.9519,6.2422,8.61463,0.7688,3.8788,19
1,9,0.9519,6.1814,9.56004,0.7759,4.0635,21
9,5,0.9492,5.9027,11.97133,0.8113,6.0952,24
10,0,0.9492,5.9410,11.55803,0.8139,5.5652,30
6,11,0.9478,6.3133,9.75519,0.7547,3.6056,22
7,5,0.9478,6.1755,10.67373,0.7734,4.1967,24
11,5,0.9464,5.6345,13.39402,0.8457,7.5294,33
5,7,0.9460,6.7016,10.73829,0.6908,2.6947,17
9,10,0.9460,6.6871,10.19048,0.6943,2.7234,22
8,9,0.9460,6.3364,9.39949,0.7507,3.5556,23
1,0,0.9425,6.8889,8.55312,0.6463,2.2261,9
2,3,0.9425,6.9328,8.68679,0.6348,2.1695,7
10,6,0.9390,5.5648,14.32756,0.8556,7.1111,33
11,2,0.9390,5.5568,13.75657,0.8530,8.2581,31
5,4,0.9388,6.8073,8.75862,0.6664,2.3925,23
8,11,0.9376,5.7429,12.65504,0.8349,6.4000,26
9,8,0.9376,5.7736,12.52827,0.8336,6.0952,26
2,7,0.9368,6.8408,6.14903,0.6615,2.4854,12
2,10,0.9368,6.7395,6.42791,0.6799,2.5859,17
6,6,0.9365,6.0144,12.75935,0.7964,5.0196,18
1,1,0.9354,6.6562,7.18534,0.6911,2.8764,24
4,4,0.9352,6.1739,11.44642,0.7717,4.3390,22
5,3,0.9341,6.3563,7.72515,0.7523,3.6056,14
7,3,0.9341,6.3914,8.52101,0.7437,3.2405,20
11,3,0.9331,6.3522,9.49499,0.7487,3.5068,22
11,1,0.9318,5.7027,13.13291,0.8349,7.3143,29
3,1,0.9317,6.3373,9.86488,0.7550,3.6056,22
11,11,0.9307,6.4248,9.26289,0.7417,3.3247,24
5,8,0.9306,5.8843,12.29774,0.8144,5.9535,27
8,6,0.9306,5.7569,13.17120,0.8284,7.3143,32
2,5,0.9305,6.8981,8.01617,0.6455,2.2655,11
8,4,0.9293,6.4819,10.68164,0.7290,3.1605,19
3,3,0.9288,6.8440,11.14585,0.6612,2.3704,11
4,1,0.9288,6.7371,10.69164,0.6857,2.7234,14
8,3,0.9285,5.8764,12.12009,0.8143,6.2439,28
11,9,0.9285,5.4572,14.84651,0.8650,8.2581,23
6,9,0.9284,5.3280,15.82426,0.8795,7.5294,16
10,11,0.9272,6.0456,12.74731,0.7956,4.9231,15
7,7,0.9271,5.7396,14.12397,0.8292,7.3143,27
9,4,0.9271,5.7469,14.13573,0.8346,6.4000,26
7,0,0.9271,6.5118,11.07769,0.7230,3.0118,20
8,1,0.9267,5.7242,14.77034,0.8357,6.4000,20
9,1,0.9267,5.5024,15.17263,0.8606,7.7576,26
5,5,0.9266,5.7218,14.78420,0.8350,6.7368,20
4,2,0.9264,5.6616,12.91044,0.8408,7.5294,22
11,4,0.9264,5.6471,11.59937,0.8408,8.0000,13
11,7,0.9261,5.8496,12.08662,0.8161,6.2439,27
10,5,0.9255,6.6652,11.01209,0.6987,2.6667,14
10,9,0.9255,6.6504,10.03097,0.7019,2.7527,23
6,4,0.9250,6.4478,8.44985,0.7359,3.2821,21
4,8,0.9245,5.9195,11.64421,0.8066,5.6889,25
8,0,0.9245,5.7768,12.96037,0.8223,7.1111,29
7,4,0.9243,6.6354,10.64186,0.7035,2.7234,20
5,1,0.9242,5.2970,15.97226,0.8821,7.5294,15
5,6,0.9236,6.0252,13.44682,0.7922,4.8302,11
7,10,0.9234,5.6350,14.77947,0.8471,6.7368,26
9,0,0.9226,6.1925,11.56210,0.7786,4.4138,19
9,7,0.9226,6.0418,11.11931,0.7953,4.8302,23
3,11,0.9224,6.8673,8.60886,0.6577,2.3486,23
2,11,0.9220,6.0605,9.98028,0.7906,4.7407,16
6,5,0.9220,6.1083,10.62733,0.7821,4.6545,24
2,6,0.9198,6.0416,10.51413,0.7950,4.9231,20
8,5,0.9194,6.6375,7.74102,0.6980,2.7234,24
9,3,0.9194,6.7540,9.04717,0.6731,2.4381,22
3,10,0.9190,6.3132,10.20132,0.7546,3.6056,22
1,2,0.9188,6.5519,7.00478,0.7171,3.2405,17
4,5,0.9178,6.3947,10.34506,0.7428,3.4595,20
6,8,0.9169,6.6996,9.57334,0.6872,2.5859,25
2,8,0.9163,6.7846,8.57858,0.6738,2.5098,9
4,0,0.9163,6.8612,10.00901,0.6480,2.2261,11
2,1,0.9156,6.0549,10.19622,0.7920,5.0196,16
3,5,0.9156,6.2939,8.73994,0.7583,3.7647,20
7,2,0.9134,5.3319,15.85923,0.8790,7.5294,16
10,8,0.9132,5.4652,15.24279,0.8649,7.7576,21
7,11,0.9132,5.4663,14.93603,0.8637,8.2581,22
5,0,0.9131,5.5149,15.07922,0.8587,8.0000,27
0,2,0.9123,6.5507,6.95029,0.7183,3.0118,20
0,11,0.9123,6.6423,5.95730,0.7053,2.9767,12
7,6,0.9120,5.7617,12.46827,0.8289,6.5641,25
10,7,0.9103,5.9885,12.05118,0.8032,5.4468,25
10,4,0.9099,5.7070,13.15457,0.8383,6.7368,32
6,1,0.9095,5.9618,12.18258,0.8078,5.0196,26
0,9,0.9090,6.5091,6.46166,0.7237,3.1605,14
6,0,0.9077,6.6551,8.50573,0.7009,2.7234,19
7,8,0.9077,6.7483,9.15471,0.6774,2.4615,20
8,7,0.9065,6.5997,11.06597,0.7067,2.7826,14
6,10,0.9064,5.5326,14.84893,0.8573,7.5294,29
2,2,0.9064,7.0732,12.20612,0.6086,2.0317,1
3,2,0.9064,7.0773,10.83268,0.6050,1.9542,1
2,0,0.9058,6.8316,7.74568,0.6663,2.5859,20
