layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,154.558,1.0000,nan,0.00000,1.0000
0,0,0.20,154.558,1.0000,nan,0.00000,1.0000
0,0,0.30,154.558,1.0000,nan,0.00000,1.0000
0,0,0.40,54.560,0.9999,nan,0.02058,0.9177
0,0,0.50,43.670,0.9993,nan,0.07210,0.8874
0,1,0.10,149.029,1.0000,nan,0.00000,0.9177
0,1,0.20,149.029,1.0000,nan,0.00000,0.9177
0,1,0.30,149.029,1.0000,nan,0.00000,0.9177
0,1,0.40,85.694,1.0000,nan,0.00057,0.8571
0,1,0.50,72.695,1.0000,nan,0.00255,0.7056
0,2,0.10,154.515,1.0000,nan,0.00000,0.7688
0,2,0.20,154.515,1.0000,nan,0.00000,0.7688
0,2,0.30,154.515,1.0000,nan,0.00000,0.7688
0,2,0.40,60.380,1.0000,nan,0.01053,0.7385
0,2,0.50,45.458,0.9996,nan,0.05868,0.6778
0,3,0.10,151.355,1.0000,nan,0.00000,0.8510
0,3,0.20,151.355,1.0000,nan,0.00000,0.8510
0,3,0.30,151.355,1.0000,nan,0.00000,0.8510
0,3,0.40,77.150,1.0000,nan,0.00153,0.8207
0,3,0.50,65.587,1.0000,nan,0.00578,0.7828
0,4,0.10,153.339,1.0000,nan,0.00000,0.8510
0,4,0.20,153.339,1.0000,nan,0.00000,0.8510
0,4,0.30,153.339,1.0000,nan,0.00000,0.8510
0,4,0.40,59.122,1.0000,nan,0.01217,0.8510
0,4,0.50,45.467,0.9997,nan,0.05862,0.8268
0,5,0.10,149.800,1.0000,nan,0.00000,0.9177
0,5,0.20,149.800,1.0000,nan,0.00000,0.9177
0,5,0.30,149.800,1.0000,nan,0.00000,0.9177
0,5,0.40,89.742,1.0000,nan,0.00036,0.8571
0,5,0.50,56.060,1.0000,nan,0.01731,0.7316
0,6,0.10,155.641,1.0000,nan,0.00000,1.0000
0,6,0.20,155.641,1.0000,nan,0.00000,1.0000
0,6,0.30,155.641,1.0000,nan,0.00000,1.0000
0,6,0.40,57.725,1.0000,nan,0.01429,0.9394
0,6,0.50,44.686,0.9995,nan,0.06413,0.9697
0,7,0.10,153.064,1.0000,nan,0.00000,0.8510
0,7,0.20,153.064,1.0000,nan,0.00000,0.8510
0,7,0.30,153.064,1.0000,nan,0.00000,0.8510
0,7,0.40,57.346,1.0000,nan,0.01493,0.8510
0,7,0.50,46.491,0.9997,nan,0.05210,0.8207
0,8,0.10,155.581,1.0000,nan,0.00000,0.8510
0,8,0.20,155.581,1.0000,nan,0.00000,0.8510
0,8,0.30,155.581,1.0000,nan,0.00000,0.8510
0,8,0.40,58.815,1.0000,nan,0.01261,0.8510
0,8,0.50,44.098,0.9995,nan,0.06863,0.7991
0,9,0.10,155.794,1.0000,nan,0.00000,1.0000
0,9,0.20,155.794,1.0000,nan,0.00000,1.0000
0,9,0.30,155.794,1.0000,nan,0.00000,1.0000
0,9,0.40,60.828,1.0000,nan,0.01000,1.0000
0,9,0.50,49.698,0.9998,nan,0.03602,0.9394
0,10,0.10,153.083,1.0000,nan,0.00000,1.0000
0,10,0.20,153.083,1.0000,nan,0.00000,1.0000
0,10,0.30,153.083,1.0000,nan,0.00000,1.0000
0,10,0.40,59.863,1.0000,nan,0.01118,1.0000
0,10,0.50,47.738,0.9997,nan,0.04513,0.8207
0,11,0.10,153.532,1.0000,nan,0.00000,1.0000
0,11,0.20,153.532,1.0000,nan,0.00000,1.0000
0,11,0.30,153.532,1.0000,nan,0.00000,1.0000
0,11,0.40,59.229,1.0000,nan,0.01202,1.0000
0,11,0.50,46.532,0.9996,nan,0.05185,1.0000
1,0,0.10,152.588,1.0000,nan,0.00000,1.0000
1,0,0.20,152.588,1.0000,nan,0.00000,1.0000
1,0,0.30,152.588,1.0000,nan,0.00000,1.0000
1,0,0.40,54.635,1.0000,nan,0.02040,1.0000
1,0,0.50,47.689,0.9998,nan,0.04539,0.8510
1,1,0.10,155.217,1.0000,nan,0.00000,0.8510
1,1,0.20,155.217,1.0000,nan,0.00000,0.8510
1,1,0.30,155.217,1.0000,nan,0.00000,0.8510
1,1,0.40,60.988,1.0000,nan,0.00982,0.8207
1,1,0.50,48.010,0.9998,nan,0.04374,0.8510
1,2,0.10,154.616,1.0000,nan,0.00000,1.0000
1,2,0.20,154.616,1.0000,nan,0.00000,1.0000
1,2,0.30,154.616,1.0000,nan,0.00000,1.0000
1,2,0.40,66.693,1.0000,nan,0.00509,0.9697
