layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,6.78087,4.66871,2.11216,2.21040,6.43739,1.94976,0.71462,0,0.00000,2.72340,11,121,16
0,1,25.54976,21.76623,3.78353,5.75289,5.82526,1.40268,0.82212,4,0.00000,4.49123,11,121,16
0,2,6.95029,5.17921,1.77107,2.92434,6.20220,1.86036,0.74851,4,0.00000,2.94253,11,121,16
0,3,22.96504,19.32283,3.64221,5.30525,6.04763,1.44029,0.80085,4,0.00000,4.33898,11,121,16
0,4,11.24237,9.11882,2.12355,4.29414,6.48506,1.61888,0.73529,4,0.00000,3.16049,11,121,16
0,5,22.79490,19.55293,3.24197,6.03120,6.24530,1.37178,0.77491,4,0.00000,3.87879,11,121,16
0,6,7.25365,5.06522,2.18843,2.31454,6.37088,1.95567,0.73395,0,0.00000,2.90909,11,121,16
0,7,7.14121,5.52253,1.61868,3.41174,6.43858,1.83971,0.72982,4,0.00000,2.94253,11,121,16
0,8,6.88495,5.36587,1.51908,3.53232,6.45972,1.78995,0.73102,4,0.00000,2.94253,11,121,16
0,9,6.46166,4.88457,1.57709,3.09721,6.01662,1.85938,0.78332,4,0.00000,3.82090,11,121,16
0,10,6.35667,4.91925,1.43742,3.42228,6.35113,1.80965,0.74898,4,0.00000,3.28205,11,121,16
0,11,5.95730,4.36625,1.59105,2.74425,6.28188,1.89082,0.74622,4,0.00000,3.08434,11,121,16
1,0,8.55312,7.11005,1.44307,4.92705,6.43141,1.66634,0.73877,4,0.00000,3.01176,11,121,16
1,1,7.18534,5.88135,1.30398,4.51029,6.22840,1.71224,0.75588,4,0.00000,3.12195,11,121,16
1,2,7.00478,5.82063,1.18415,4.91544,6.19602,1.67485,0.76145,4,0.00000,3.28205,11,121,16
1,3,6.83381,4.79933,2.03449,2.35898,5.90589,1.91816,0.81651,4,0.00000,4.65455,11,121,16
1,4,7.65310,5.95633,1.69677,3.51040,5.79409,1.80054,0.81727,4,0.00000,4.33898,11,121,16
1,5,8.42806,6.90680,1.52126,4.54019,6.20865,1.67423,0.76719,4,0.00000,3.41333,11,121,16
1,6,8.39723,6.58593,1.81130,3.63602,6.33071,1.75458,0.75798,4,0.00000,3.41333,11,121,16
1,7,7.34480,5.62554,1.71926,3.27206,5.84557,1.82063,0.80487,4,0.00000,4.83019,11,121,16
1,8,8.61463,7.04555,1.56908,4.49025,5.70488,1.68028,0.82852,4,0.00000,5.44681,11,121,16
1,9,9.56004,7.94290,1.61713,4.91172,5.58371,1.63480,0.84389,4,0.00000,6.40000,11,121,16
1,10,9.96445,7.28085,2.68360,2.71308,6.24911,1.74528,0.76516,4,0.00000,3.24051,11,121,16
1,11,17.71051,15.18736,2.52315,6.01921,6.35980,1.40871,0.75770,4,0.00000,3.41333,11,121,16
2,0,7.74567,6.02096,1.72471,3.49099,6.58244,1.77724,0.70106,4,0.00000,2.53465,11,121,16
2,1,10.19622,7.97322,2.22300,3.58669,5.50935,1.74879,0.84525,4,0.00000,8.00000,11,121,16
2,2,12.20611,10.19095,2.01516,5.05714,6.51668,1.59710,0.72768,4,0.00000,2.90909,11,121,16
2,3,8.68679,7.38471,1.30208,5.67148,6.49073,1.59769,0.72875,4,0.00000,2.90909,11,121,16
2,4,9.07806,7.60172,1.47634,5.14903,6.35222,1.59734,0.75673,4,0.00000,3.20000,11,121,16
