layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
9,6,0.9847,4.4406,15.02471,0.9186,16.0000,12
9,9,0.9847,4.3011,15.46612,0.9258,16.0000,14
10,10,0.9696,4.3967,15.02774,0.9210,16.0000,13
11,6,0.9696,4.4855,14.54830,0.9141,16.0000,16
10,2,0.9696,4.3780,14.92607,0.9202,16.0000,13
7,9,0.9535,5.6548,10.65116,0.8308,6.4000,17
8,10,0.9535,5.6653,10.28710,0.8266,5.8182,20
1,8,0.9520,5.7049,8.61463,0.8285,5.4468,13
1,9,0.9520,5.5837,9.56004,0.8439,6.4000,13
9,5,0.9493,5.2238,11.97132,0.8671,15.0588,17
10,0,0.9493,5.3920,11.55803,0.8658,9.1429,20
6,11,0.9473,5.8487,9.75519,0.8121,4.7407,21
7,5,0.9473,5.6035,10.67372,0.8399,6.7368,18
1,0,0.9395,6.4314,8.55312,0.7388,3.0118,10
2,3,0.9395,6.4907,8.68679,0.7288,2.9091,9
10,6,0.9390,4.5851,14.32755,0.9128,16.0000,18
2,7,0.9379,6.4133,6.14903,0.7353,3.0118,14
2,10,0.9379,6.1900,6.42791,0.7669,3.3247,15
8,11,0.9378,4.9970,12.65504,0.8878,16.0000,17
9,8,0.9378,5.0682,12.52827,0.8874,14.2222,22
5,3,0.9372,6.1285,7.72515,0.7787,3.6571,23
7,3,0.9372,6.0935,8.52101,0.7755,3.5068,28
6,6,0.9364,5.2429,12.75935,0.8729,11.6364,19
5,4,0.9349,6.3256,8.75862,0.7550,3.0118,25
9,10,0.9349,6.1571,10.19048,0.7863,3.6571,25
5,7,0.9346,6.0446,10.73829,0.8072,4.3390,20
1,1,0.9343,6.2284,7.18534,0.7559,3.1220,24
11,3,0.9335,5.8895,9.49499,0.8068,4.8302,21
11,10,0.9335,6.0334,9.42334,0.7886,3.9385,28
11,11,0.9324,6.0135,9.26289,0.7954,4.1290,25
11,1,0.9321,4.8943,13.13291,0.8906,16.0000,18
11,5,0.9321,4.8760,13.39402,0.8947,16.0000,18
8,4,0.9307,5.9825,10.68164,0.8048,3.9385,20
5,8,0.9299,5.2922,12.29774,0.8650,11.6364,19
8,6,0.9299,5.1420,13.17120,0.8747,15.0588,19
2,5,0.9293,6.5759,8.01617,0.7051,2.6667,9
3,3,0.9288,6.2250,11.14585,0.7804,3.6056,13
4,1,0.9288,6.4171,10.69164,0.7482,3.1605,8
11,9,0.9285,4.4424,14.84651,0.9174,16.0000,12
7,0,0.9283,5.9075,11.07769,0.8187,4.8302,17
8,3,0.9281,5.3056,12.12009,0.8645,12.1905,20
10,1,0.9281,4.7296,14.64925,0.9032,16.0000,18
11,2,0.9279,4.7455,13.75657,0.9011,16.0000,15
10,3,0.9277,5.1093,13.03495,0.8759,16.0000,22
7,7,0.9273,4.9272,14.12397,0.8911,16.0000,19
9,4,0.9273,4.8752,14.13573,0.8993,16.0000,18
5,5,0.9269,4.7225,14.78420,0.9069,16.0000,17
6,4,0.9267,6.1149,8.44985,0.7807,3.6056,26
11,4,0.9261,5.1847,11.59937,0.8685,16.0000,18
11,7,0.9261,5.2309,12.08662,0.8662,15.0588,18
8,9,0.9257,5.9392,9.39949,0.7927,4.1290,22
9,0,0.9250,5.6818,11.56210,0.8441,6.4000,17
9,7,0.9250,5.4903,11.11930,0.8448,8.8276,20
10,5,0.9250,6.1046,11.01209,0.7968,4.0000,15
10,9,0.9250,6.1956,10.03097,0.7782,3.5556,23
4,8,0.9248,5.3026,11.64421,0.8593,14.2222,21
5,1,0.9242,4.0345,15.97226,0.9368,16.0000,3
6,9,0.9242,4.1054,15.82425,0.9341,16.0000,4
9,1,0.9241,4.4387,15.17263,0.9195,16.0000,12
5,6,0.9237,5.2890,13.44682,0.8726,8.5333,14
3,10,0.9236,5.7470,10.20132,0.8271,5.2245,22
4,5,0.9236,5.9261,10.34506,0.8145,4.9231,19
10,11,0.9227,5.4747,12.74731,0.8555,8.0000,13
2,11,0.9220,5.3954,9.98028,0.8569,9.4815,11
6,5,0.9220,5.5401,10.62733,0.8416,7.1111,19
8,5,0.9216,6.2186,7.74102,0.7593,3.3247,24
9,3,0.9216,6.1654,9.04717,0.7815,3.6571,28
7,4,0.9209,6.0924,10.64186,0.7967,4.0000,20
1,2,0.9202,6.1960,7.00478,0.7615,3.2821,21
