li,hi,lj,hj,cosine,wavelet,energy_profile,pearson,emd
0,0,0,0,1.0000,1.0000,1.0000,1.0000,0.0000
0,0,0,1,0.2942,0.4047,0.7805,0.1704,0.0875
0,0,0,2,0.9324,0.9455,0.9738,0.9121,0.0123
0,0,0,3,0.3508,0.4458,0.8032,0.2237,0.0698
0,0,0,4,0.6292,0.6351,0.8935,0.5270,0.0304
0,0,0,5,0.3811,0.4454,0.7840,0.2620,0.0687
0,0,0,6,0.9044,0.9344,0.9985,0.8709,0.0084
0,0,0,7,0.8142,0.8357,0.9708,0.7523,0.0136
0,0,0,8,0.7951,0.8883,0.9545,0.7321,0.0130
0,0,0,9,0.9347,0.9379,0.9787,0.9131,0.0150
0,0,0,10,0.9058,0.9068,0.9773,0.8733,0.0091
0,0,0,11,0.9328,0.9405,0.9936,0.9092,0.0110
0,0,1,0,0.8142,0.8147,0.9024,0.7607,0.0164
0,0,1,1,0.9107,0.8931,0.9209,0.8846,0.0114
0,0,1,2,0.8964,0.8900,0.9214,0.8645,0.0123
0,0,1,3,0.8995,0.8924,0.9897,0.8677,0.0213
0,0,1,4,0.9115,0.8982,0.9365,0.8892,0.0270
0,0,1,5,0.8872,0.8727,0.8924,0.8609,0.0296
0,0,1,6,0.8523,0.8720,0.9068,0.8166,0.0316
0,0,1,7,0.9307,0.9152,0.9478,0.9119,0.0216
0,0,1,8,0.8698,0.8554,0.8747,0.8409,0.0344
0,0,1,9,0.8502,0.8306,0.8437,0.8217,0.0442
0,0,1,10,0.5855,0.7738,0.9630,0.4455,0.0134
0,0,1,11,0.4924,0.4948,0.8061,0.3844,0.0579
0,0,2,0,0.8789,0.9107,0.9624,0.8405,0.0138
0,0,2,1,0.8514,0.8335,0.8713,0.8270,0.0537
0,0,2,2,0.6297,0.6956,0.8649,0.5386,0.0404
0,0,2,3,0.8155,0.8168,0.8780,0.7635,0.0192
0,0,2,4,0.8227,0.8436,0.8457,0.7804,0.0362
0,0,2,5,0.8333,0.8364,0.9374,0.7824,0.0148
0,0,2,6,0.8255,0.8051,0.8362,0.7953,0.0542
0,0,2,7,0.8819,0.8874,0.9887,0.8397,0.0110
0,0,2,8,0.7765,0.8376,0.9278,0.7159,0.0244
0,0,2,9,0.7494,0.8133,0.9723,0.6724,0.0157
0,0,2,10,0.9442,0.9279,0.9779,0.9256,0.0096
0,0,2,11,0.8525,0.8202,0.8627,0.8265,0.0506
0,0,3,0,0.7628,0.7174,0.7980,0.7382,0.0845
0,0,3,1,0.8404,0.8234,0.8411,0.8114,0.0489
0,0,3,2,0.6585,0.7154,0.8799,0.5696,0.0331
0,0,3,3,0.7780,0.8077,0.8323,0.7357,0.0552
0,0,3,4,0.7685,0.7218,0.8033,0.7443,0.0842
0,0,3,5,0.8740,0.8801,0.9317,0.8463,0.0348
