layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,71.280,1.0000,nan,0.00300,0.8355
0,0,0.20,59.541,1.0000,nan,0.01160,0.8193
0,0,0.30,51.823,0.9999,nan,0.02820,0.8496
0,0,0.40,47.229,0.9997,nan,0.04786,0.7727
0,0,0.50,42.381,0.9991,nan,0.08362,0.7890
0,1,0.10,67.423,1.0000,nan,0.00468,0.5942
0,1,0.20,60.153,1.0000,nan,0.01081,0.5130
0,1,0.30,53.904,1.0000,nan,0.02219,0.4232
0,1,0.40,47.492,0.9999,nan,0.04643,0.4755
0,1,0.50,43.263,0.9997,nan,0.07556,0.4719
0,2,0.10,75.346,1.0000,nan,0.00188,0.8355
0,2,0.20,62.210,1.0000,nan,0.00853,0.8355
0,2,0.30,55.225,1.0000,nan,0.01906,0.8712
0,2,0.40,50.253,0.9999,nan,0.03379,0.7727
0,2,0.50,46.322,0.9997,nan,0.05312,0.7208
0,3,0.10,63.200,1.0000,nan,0.00761,0.7067
0,3,0.20,52.460,1.0000,nan,0.02620,0.6158
0,3,0.30,47.456,0.9999,nan,0.04662,0.6158
0,3,0.40,42.270,0.9996,nan,0.08470,0.5887
0,3,0.50,39.584,0.9993,nan,0.11540,0.5509
0,4,0.10,58.452,1.0000,nan,0.01315,0.8571
0,4,0.20,51.729,0.9999,nan,0.02851,0.8571
0,4,0.30,44.287,0.9996,nan,0.06715,0.8571
0,4,0.40,39.486,0.9987,nan,0.11670,0.8052
0,4,0.50,36.460,0.9974,nan,0.16534,0.7067
0,5,0.10,61.883,1.0000,nan,0.00886,0.5725
0,5,0.20,51.517,1.0000,nan,0.02921,0.5487
0,5,0.30,45.514,0.9998,nan,0.05830,0.5758
0,5,0.40,41.787,0.9996,nan,0.08955,0.5595
0,5,0.50,38.966,0.9992,nan,0.12390,0.5238
0,6,0.10,66.450,1.0000,nan,0.00523,0.8355
0,6,0.20,58.765,1.0000,nan,0.01268,0.8193
0,6,0.30,51.649,0.9999,nan,0.02877,0.8496
0,6,0.40,47.878,0.9997,nan,0.04441,0.8333
0,6,0.50,43.472,0.9993,nan,0.07376,0.8496
0,7,0.10,70.714,1.0000,nan,0.00320,0.8355
0,7,0.20,60.088,1.0000,nan,0.01089,0.8788
0,7,0.30,53.385,0.9999,nan,0.02356,0.8571
0,7,0.40,47.501,0.9997,nan,0.04638,0.7547
0,7,0.50,43.304,0.9993,nan,0.07520,0.7208
0,8,0.10,66.865,1.0000,nan,0.00499,0.8658
0,8,0.20,56.995,1.0000,nan,0.01555,0.8193
0,8,0.30,51.922,0.9999,nan,0.02788,0.7890
0,8,0.40,47.678,0.9998,nan,0.04545,0.7890
0,8,0.50,40.468,0.9988,nan,0.10424,0.7890
0,9,0.10,72.408,1.0000,nan,0.00264,0.8442
0,9,0.20,63.859,1.0000,nan,0.00705,0.8658
0,9,0.30,56.374,1.0000,nan,0.01670,0.8066
0,9,0.40,50.753,0.9999,nan,0.03190,0.7727
0,9,0.50,46.823,0.9997,nan,0.05015,0.7727
0,10,0.10,72.451,1.0000,nan,0.00262,0.7976
0,10,0.20,59.426,1.0000,nan,0.01175,0.8571
0,10,0.30,54.287,0.9999,nan,0.02124,0.8571
0,10,0.40,48.568,0.9998,nan,0.04102,0.8030
0,10,0.50,44.186,0.9994,nan,0.06793,0.8193
0,11,0.10,70.024,1.0000,nan,0.00347,0.8355
0,11,0.20,61.659,1.0000,nan,0.00909,0.8658
0,11,0.30,53.651,0.9999,nan,0.02285,0.7890
0,11,0.40,48.822,0.9998,nan,0.03984,0.7727
0,11,0.50,46.451,0.9996,nan,0.05234,0.8030
1,0,0.10,64.381,1.0000,nan,0.00664,0.8355
1,0,0.20,55.472,1.0000,nan,0.01853,0.8030
1,0,0.30,49.133,0.9998,nan,0.03844,0.7763
1,0,0.40,44.458,0.9996,nan,0.06584,0.7727
1,0,0.50,40.630,0.9989,nan,0.10230,0.7587
1,1,0.10,72.134,1.0000,nan,0.00272,0.8355
1,1,0.20,60.562,1.0000,nan,0.01031,0.7814
1,1,0.30,54.240,1.0000,nan,0.02135,0.8153
1,1,0.40,47.503,0.9998,nan,0.04637,0.7904
1,1,0.50,43.624,0.9994,nan,0.07248,0.8193
1,2,0.10,70.656,1.0000,nan,0.00323,0.8193
1,2,0.20,61.564,1.0000,nan,0.00919,0.8355
1,2,0.30,56.302,1.0000,nan,0.01684,0.8333
1,2,0.40,51.379,0.9999,nan,0.02968,0.7976
1,2,0.50,46.714,0.9997,nan,0.05078,0.8030
1,3,0.10,74.862,1.0000,nan,0.00199,0.7835
1,3,0.20,64.454,1.0000,nan,0.00659,0.7587
1,3,0.30,58.117,1.0000,nan,0.01366,0.8052
1,3,0.40,52.789,0.9999,nan,0.02523,0.8106
1,3,0.50,47.800,0.9998,nan,0.04481,0.7500
1,4,0.10,70.792,1.0000,nan,0.00318,0.8409
1,4,0.20,63.430,1.0000,nan,0.00741,0.8268
1,4,0.30,58.923,1.0000,nan,0.01245,0.8193
1,4,0.40,54.023,1.0000,nan,0.02189,0.8333
1,4,0.50,49.796,0.9999,nan,0.03561,0.7890
1,5,0.10,74.797,1.0000,nan,0.00200,0.8139
1,5,0.20,59.964,1.0000,nan,0.01105,0.8571
1,5,0.30,54.752,1.0000,nan,0.02013,0.8030
1,5,0.40,48.159,0.9998,nan,0.04300,0.7673
1,5,0.50,43.073,0.9995,nan,0.07723,0.7511
1,6,0.10,71.317,1.0000,nan,0.00299,0.8571
1,6,0.20,64.290,1.0000,nan,0.00671,0.8355
1,6,0.30,56.288,1.0000,nan,0.01686,0.8030
1,6,0.40,48.777,0.9999,nan,0.04005,0.8139
1,6,0.50,42.640,0.9994,nan,0.08117,0.7673
1,7,0.10,78.566,1.0000,nan,0.00130,0.8193
1,7,0.20,65.705,1.0000,nan,0.00570,0.8066
1,7,0.30,59.696,1.0000,nan,0.01139,0.8139
1,7,0.40,54.930,1.0000,nan,0.01972,0.8117
1,7,0.50,50.222,0.9999,nan,0.03391,0.7727
1,8,0.10,79.068,1.0000,nan,0.00122,0.8658
1,8,0.20,67.008,1.0000,nan,0.00491,0.8193
1,8,0.30,59.635,1.0000,nan,0.01147,0.8052
1,8,0.40,55.407,1.0000,nan,0.01866,0.7814
1,8,0.50,50.650,0.9999,nan,0.03228,0.7904
1,9,0.10,81.283,1.0000,nan,0.00095,0.8658
1,9,0.20,68.924,1.0000,nan,0.00394,0.8658
1,9,0.30,61.909,1.0000,nan,0.00883,0.7673
1,9,0.40,58.325,1.0000,nan,0.01334,0.7511
1,9,0.50,50.981,0.9999,nan,0.03107,0.7814
1,10,0.10,67.609,1.0000,nan,0.00458,0.7890
1,10,0.20,56.441,1.0000,nan,0.01657,0.8139
1,10,0.30,51.546,0.9999,nan,0.02911,0.7835
1,10,0.40,46.706,0.9997,nan,0.05083,0.7749
1,10,0.50,42.523,0.9992,nan,0.08227,0.7749
1,11,0.10,60.285,1.0000,nan,0.01065,0.7749
1,11,0.20,52.116,1.0000,nan,0.02726,0.6331
1,11,0.30,47.139,0.9998,nan,0.04836,0.6710
1,11,0.40,42.811,0.9996,nan,0.07959,0.6028
1,11,0.50,39.500,0.9991,nan,0.11652,0.5725
2,0,0.10,70.090,1.0000,nan,0.00344,0.8571
2,0,0.20,60.225,1.0000,nan,0.01072,0.8283
2,0,0.30,51.724,0.9999,nan,0.02852,0.8030
2,0,0.40,46.460,0.9997,nan,0.05229,0.7814
2,0,0.50,43.539,0.9994,nan,0.07319,0.8193
2,1,0.10,76.589,1.0000,nan,0.00163,0.8355
2,1,0.20,65.275,1.0000,nan,0.00599,0.7976
2,1,0.30,55.782,1.0000,nan,0.01788,0.7976
2,1,0.40,52.933,1.0000,nan,0.02482,0.7814
2,1,0.50,48.760,0.9999,nan,0.04012,0.7673
2,2,0.10,63.527,1.0000,nan,0.00733,0.8355
2,2,0.20,51.045,0.9999,nan,0.03084,0.8369
2,2,0.30,46.727,0.9998,nan,0.05070,0.8409
2,2,0.40,40.301,0.9991,nan,0.10625,0.7976
2,2,0.50,35.187,0.9970,nan,0.19145,0.7435
2,3,0.10,68.993,1.0000,nan,0.00391,0.8571
