layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
9,6,0.9847,5.3662,15.02471,0.8762,8.2581,24
9,9,0.9847,5.3084,15.46612,0.8813,8.2581,18
10,10,0.9696,5.3244,15.02774,0.8800,8.5333,21
11,6,0.9696,5.3558,14.54830,0.8763,8.5333,25
10,2,0.9696,5.3312,14.92608,0.8790,8.5333,21
10,1,0.9527,5.4608,14.64925,0.8657,8.5333,28
10,3,0.9527,5.7029,13.03496,0.8359,7.7576,27
7,9,0.9527,6.1212,10.65116,0.7845,4.4138,22
8,10,0.9527,6.1154,10.28710,0.7842,4.5714,23
1,8,0.9519,6.2471,8.61463,0.7679,3.8788,19
1,9,0.9519,6.1717,9.56004,0.7783,4.0000,23
2,11,0.9493,6.0274,9.98028,0.7955,5.3333,16
3,10,0.9493,6.2556,10.20132,0.7661,4.0000,26
9,5,0.9491,5.8366,11.97133,0.8206,6.9189,25
10,0,0.9491,5.9170,11.55803,0.8180,5.8182,30
6,11,0.9478,6.3142,9.75519,0.7544,3.7647,22
7,5,0.9478,6.1461,10.67373,0.7793,4.4912,23
11,5,0.9464,5.5466,13.39402,0.8571,8.0000,29
5,7,0.9460,6.6247,10.73829,0.7092,2.8764,19
9,10,0.9460,6.6332,10.19048,0.7069,2.8764,24
8,9,0.9458,6.3156,9.39949,0.7549,3.7647,23
1,0,0.9415,6.8571,8.55312,0.6552,2.3704,9
2,3,0.9415,6.8985,8.68679,0.6445,2.2261,7
5,4,0.9393,6.7803,8.75862,0.6738,2.5098,23
10,6,0.9390,5.4498,14.32756,0.8684,8.0000,29
11,2,0.9390,5.4731,13.75657,0.8636,8.8276,31
9,0,0.9378,6.1140,11.56210,0.7919,4.8302,21
8,11,0.9376,5.6947,12.65504,0.8419,7.1111,27
9,8,0.9376,5.7097,12.52827,0.8422,6.7368,26
2,7,0.9368,6.8105,6.14904,0.6696,2.5859,13
2,10,0.9368,6.7111,6.42791,0.6872,2.6667,16
6,6,0.9366,5.9368,12.75935,0.8102,5.5652,22
4,4,0.9350,6.1174,11.44642,0.7831,4.6545,23
1,1,0.9347,6.6097,7.18534,0.7034,3.0118,25
5,3,0.9337,6.3537,7.72515,0.7535,3.6056,14
7,3,0.9337,6.3957,8.52101,0.7439,3.3684,25
11,3,0.9332,6.3462,9.49499,0.7506,3.4595,22
11,10,0.9332,6.4036,9.42335,0.7425,3.5068,26
11,1,0.9319,5.6322,13.13291,0.8459,8.0000,28
3,1,0.9311,6.3356,9.86488,0.7554,3.7101,21
5,8,0.9305,5.8487,12.29774,0.8209,6.4000,25
8,6,0.9305,5.6959,13.17120,0.8374,7.7576,31
11,11,0.9301,6.4002,9.26289,0.7464,3.5068,25
8,4,0.9294,6.4163,10.68164,0.7431,3.5556,19
2,5,0.9292,6.8639,8.01617,0.6546,2.3273,9
11,9,0.9285,5.3198,14.84652,0.8799,8.8276,21
8,3,0.9284,5.8348,12.12010,0.8219,6.5641,26
6,9,0.9284,5.1775,15.82426,0.8933,8.2581,15
3,3,0.9276,6.7853,11.14585,0.6758,2.5098,11
4,1,0.9276,6.7115,10.69164,0.6922,2.6947,14
7,7,0.9272,5.6202,14.12397,0.8472,8.0000,24
9,4,0.9272,5.6481,14.13574,0.8479,7.1111,22
10,11,0.9270,6.0255,12.74731,0.7988,5.3333,15
7,0,0.9267,6.4879,11.07769,0.7284,3.1605,20
5,5,0.9267,5.5836,14.78420,0.8544,7.5294,20
8,1,0.9266,5.5880,14.77034,0.8548,7.3143,20
9,1,0.9266,5.3730,15.17263,0.8753,8.5333,24
4,2,0.9264,5.6374,12.91044,0.8453,7.7576,23
11,4,0.9264,5.7035,11.59937,0.8340,8.0000,20
11,7,0.9260,5.8180,12.08662,0.8225,6.5641,25
10,5,0.9254,6.6157,11.01209,0.7101,2.7826,15
10,9,0.9254,6.6363,10.03097,0.7049,2.8132,25
7,4,0.9249,6.5914,10.64186,0.7137,2.9767,21
6,4,0.9247,6.4561,8.44985,0.7335,3.3247,25
4,8,0.9243,5.8710,11.64421,0.8151,6.2439,29
8,0,0.9243,5.7209,12.96038,0.8322,7.7576,26
5,1,0.9242,5.1398,15.97226,0.8959,8.2581,13
5,6,0.9234,5.9784,13.44682,0.8011,5.3333,10
7,10,0.9234,5.5275,14.77947,0.8610,7.7576,26
9,7,0.9233,6.0244,11.11931,0.7973,5.2245,24
3,11,0.9219,6.8310,8.60886,0.6668,2.4381,23
6,5,0.9219,6.0624,10.62733,0.7907,5.0196,22
2,6,0.9198,6.0688,10.51413,0.7912,5.0196,22
8,5,0.9189,6.6247,7.74102,0.7014,2.7527,25
9,3,0.9189,6.7198,9.04717,0.6823,2.5347,22
1,2,0.9183,6.5427,7.00478,0.7197,3.2405,19
4,5,0.9176,6.3526,10.34506,0.7519,3.6571,20
2,8,0.9171,6.8150,8.57858,0.6663,2.4615,9
4,0,0.9171,6.7865,10.00901,0.6670,2.3925,12
2,1,0.9153,6.0797,10.19622,0.7881,4.9231,20
3,5,0.9153,6.2789,8.73994,0.7618,3.8209,19
6,8,0.9147,6.6434,9.57334,0.7012,2.7234,29
7,2,0.9134,5.1830,15.85923,0.8929,8.2581,15
10,8,0.9132,5.3309,15.24279,0.8793,8.5333,20
7,11,0.9132,5.3287,14.93603,0.8787,8.8276,21
7,6,0.9120,5.7132,12.46827,0.8367,7.3143,26
0,2,0.9119,6.5875,6.95029,0.7098,2.8764,24
0,11,0.9119,6.6638,5.95730,0.7002,2.9767,11
10,7,0.9104,5.9084,12.05118,0.8151,5.9535,26
10,4,0.9099,5.6049,13.15458,0.8521,7.5294,28
5,11,0.9096,6.3154,11.87169,0.7614,3.7647,12
6,1,0.9095,5.8983,12.18258,0.8187,5.5652,26
5,0,0.9094,5.3970,15.07922,0.8724,8.5333,25
6,0,0.9090,6.6396,8.50573,0.7042,2.8132,22
7,8,0.9090,6.6940,9.15471,0.6914,2.6667,21
