layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,6.47631,3.80256,2.67375,1.42218,6.53355,-0.00000,0.72094,0,0.01313,3.01176,11,121,16
0,1,24.94190,10.64603,14.29587,0.74469,6.10578,-0.00000,0.79301,1,0.02334,5.56522,11,121,16
0,2,6.24812,4.12611,2.12202,1.94443,6.59328,-0.00000,0.71100,0,0.02232,2.90909,11,121,16
0,3,18.09116,8.00226,10.08890,0.79318,6.56199,-0.00000,0.72069,1,0.04371,3.08434,11,121,16
0,4,11.50974,4.79304,6.71670,0.71360,6.97265,-0.00000,0.63477,1,0.05071,2.20690,11,121,16
0,5,19.78669,7.74756,12.03913,0.64353,6.62039,-0.00000,0.70761,1,0.04777,2.94253,11,121,16
0,6,7.22998,3.73054,3.49944,1.06604,6.64518,-0.00000,0.69808,0,0.02080,2.72340,11,121,16
0,7,7.99911,4.51970,3.47941,1.29899,6.86238,-0.00000,0.65374,0,0.02810,2.28571,11,121,16
0,8,7.54134,4.52148,3.01987,1.49724,7.02587,-0.00000,0.60987,0,0.03197,2.01575,11,121,16
0,9,5.72997,4.20197,1.52800,2.74998,6.59843,-0.00000,0.71272,0,0.01622,3.01176,11,121,16
0,10,5.97154,3.98207,1.98947,2.00157,6.71377,-0.00000,0.69247,0,0.02294,3.01176,11,121,16
0,11,5.66701,4.00665,1.66035,2.41313,6.77352,-0.00000,0.67488,0,0.02420,2.53465,11,121,16
1,0,7.58149,4.25115,3.33034,1.27649,6.87696,-0.00000,0.64401,0,0.04794,2.22609,11,121,16
1,1,6.63815,3.79300,2.84515,1.33314,6.73206,-0.00000,0.68149,0,0.02329,2.53465,11,121,16
1,2,6.68676,3.40070,3.28606,1.03488,6.61682,-0.00000,0.70423,0,0.01825,2.94253,11,121,16
1,3,6.84528,4.21696,2.62832,1.60443,6.34859,-0.00000,0.75825,0,0.01193,3.87879,11,121,16
1,4,7.21141,3.79012,3.42129,1.10780,6.30077,-0.00000,0.76217,0,0.01657,4.06349,11,121,16
1,5,6.71609,3.80552,2.91057,1.30748,6.80077,-0.00000,0.66657,0,0.02142,2.32727,11,121,16
1,6,7.79599,3.81687,3.97912,0.95922,6.41933,-0.00000,0.73995,1,0.01321,3.28205,11,121,16
1,7,6.95334,3.92932,3.02402,1.29937,6.47633,-0.00000,0.72931,0,0.01843,3.41333,11,121,16
1,8,7.37861,3.89555,3.48306,1.11843,6.42111,-0.00000,0.74206,0,0.01780,3.50685,11,121,16
1,9,7.91719,3.95767,3.95951,0.99954,6.41933,-0.00000,0.74490,1,0.01570,3.50685,11,121,16
1,10,9.81713,5.87092,3.94621,1.48774,6.67642,-0.00000,0.69546,0,0.02299,3.08434,11,121,16
1,11,15.78954,7.07820,8.71134,0.81253,6.57049,-0.00000,0.71573,1,0.03257,2.97674,11,121,16
2,0,7.58518,3.62809,3.95708,0.91686,6.50728,-0.00000,0.73011,1,0.01625,3.32468,11,121,16
2,1,10.77939,4.18227,6.59712,0.63395,6.01986,-0.00000,0.79435,1,0.01258,5.22449,11,121,16
2,2,12.67325,5.82026,6.85299,0.84930,6.99353,-0.00000,0.62749,1,0.06977,2.13333,11,121,16
2,3,9.05096,5.11425,3.93671,1.29912,6.82793,-0.00000,0.65739,0,0.03579,2.34862,11,121,16
2,4,10.58159,4.42101,6.16058,0.71763,6.97523,-0.00000,0.62935,1,0.04779,2.18803,11,121,16
2,5,7.90155,4.58613,3.31541,1.38328,6.94741,-0.00000,0.63495,0,0.04098,2.20690,11,121,16
2,6,11.60782,3.96442,7.64340,0.51867,6.06612,-0.00000,0.79341,1,0.00879,4.92308,11,121,16
