layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,4,0.9892,6.3008,7.21141,0.7622,4.0635,14
2,10,0.9892,6.5050,6.43452,0.7307,3.2821,19
10,0,0.9835,5.9221,11.29939,0.8099,5.8182,30
10,6,0.9835,5.8260,11.98938,0.8231,6.4000,34
10,2,0.9696,5.5333,14.67708,0.8584,7.3143,28
10,10,0.9696,5.4819,14.96230,0.8637,7.5294,25
9,0,0.9670,5.6825,13.07907,0.8376,7.5294,30
6,9,0.9587,5.5238,15.50432,0.8588,7.3143,25
7,2,0.9587,5.3898,15.66000,0.8737,7.5294,22
7,9,0.9529,5.7222,12.15080,0.8347,6.9189,25
8,3,0.9529,5.7865,12.96383,0.8250,6.5641,32
2,11,0.9525,5.9264,9.90850,0.8104,5.4468,15
6,5,0.9525,6.0134,11.38470,0.7954,5.2245,32
1,8,0.9514,6.4211,7.37861,0.7421,3.5068,24
1,9,0.9514,6.4193,7.91719,0.7449,3.5068,26
9,2,0.9508,5.9381,11.44939,0.8128,5.5652,32
6,10,0.9476,5.5964,14.22439,0.8508,7.3143,30
9,1,0.9476,5.5636,14.91137,0.8544,7.3143,26
6,1,0.9461,5.9575,12.92223,0.8007,5.5652,24
9,6,0.9435,5.4830,15.14475,0.8645,7.3143,25
10,1,0.9435,5.5807,14.45511,0.8530,7.3143,29
7,10,0.9435,5.5409,15.12831,0.8572,7.3143,26
9,9,0.9435,5.4162,15.42436,0.8708,7.5294,23
11,6,0.9434,5.4937,14.35147,0.8618,7.7576,28
5,0,0.9433,5.5759,14.72629,0.8520,7.5294,27
5,5,0.9432,5.6269,14.77573,0.8474,6.9189,26
4,1,0.9410,6.5872,9.08334,0.7109,2.9767,18
6,11,0.9410,6.5513,8.83513,0.7173,3.0118,23
6,7,0.9402,6.2799,8.69478,0.7625,4.1967,19
6,8,0.9396,6.7994,9.49059,0.6681,2.4381,17
11,9,0.9393,5.5169,14.56334,0.8582,8.0000,28
3,0,0.9384,5.7075,14.73420,0.8352,6.9189,25
3,4,0.9384,5.5384,14.25240,0.8557,7.7576,30
8,6,0.9382,5.6128,14.23601,0.8486,7.3143,30
10,8,0.9382,5.5026,14.97275,0.8613,7.5294,25
7,1,0.9378,5.7632,13.98356,0.8283,6.7368,27
11,1,0.9378,5.7148,12.32038,0.8365,6.9189,25
11,2,0.9378,5.7390,12.51543,0.8299,7.1111,27
11,10,0.9377,6.6219,7.32044,0.7052,2.6947,25
11,11,0.9377,6.5653,8.47353,0.7080,2.8132,24
11,4,0.9372,5.6992,10.52842,0.8330,8.2581,14
11,7,0.9372,5.7636,11.62103,0.8261,7.1111,29
5,8,0.9368,5.9944,12.60391,0.8026,4.7407,23
7,6,0.9365,5.8414,13.00072,0.8192,5.9535,31
5,11,0.9360,6.2633,10.98721,0.7594,3.8209,18
9,10,0.9360,6.2586,10.57675,0.7666,3.8788,18
1,1,0.9360,6.7321,6.63815,0.6815,2.5347,21
2,5,0.9360,6.9474,7.90155,0.6349,2.2069,12
8,11,0.9358,5.8931,11.08751,0.8157,5.6889,30
9,5,0.9331,5.9406,10.95094,0.8085,5.5652,30
5,6,0.9329,6.2453,12.30623,0.7620,4.0635,8
10,7,0.9329,6.0028,11.24988,0.7969,5.4468,27
3,10,0.9323,6.2233,10.09029,0.7709,4.1290,22
7,0,0.9313,6.8626,9.46732,0.6555,2.3486,12
8,5,0.9303,6.4708,8.20636,0.7272,3.1605,26
5,1,0.9285,5.3258,15.90160,0.8797,7.5294,15
7,11,0.9285,5.5115,15.01989,0.8599,7.5294,25
8,1,0.9285,5.4725,15.17206,0.8645,7.5294,25
