layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,72.143,1.0000,nan,0.00272,0.8355
0,0,0.20,63.822,1.0000,nan,0.00708,0.7976
0,0,0.30,55.712,1.0000,nan,0.01802,0.8193
0,0,0.40,51.069,0.9999,nan,0.03076,0.7976
0,0,0.50,46.540,0.9997,nan,0.05181,0.7835
0,1,0.10,75.754,1.0000,nan,0.00179,0.6623
0,1,0.20,60.923,1.0000,nan,0.00989,0.4968
0,1,0.30,52.434,1.0000,nan,0.02628,0.5022
0,1,0.40,45.067,0.9998,nan,0.06138,0.5130
0,1,0.50,41.363,0.9996,nan,0.09402,0.5022
0,2,0.10,78.270,1.0000,nan,0.00134,0.8355
0,2,0.20,63.240,1.0000,nan,0.00758,0.8409
0,2,0.30,58.363,1.0000,nan,0.01328,0.8355
0,2,0.40,48.452,0.9998,nan,0.04157,0.8139
0,2,0.50,43.916,0.9994,nan,0.07008,0.7890
0,3,0.10,66.706,1.0000,nan,0.00508,0.7587
0,3,0.20,58.789,1.0000,nan,0.01265,0.6981
0,3,0.30,53.507,1.0000,nan,0.02323,0.7067
0,3,0.40,47.555,0.9999,nan,0.04609,0.6548
0,3,0.50,40.141,0.9993,nan,0.10823,0.5725
0,4,0.10,66.992,1.0000,nan,0.00492,0.8106
0,4,0.20,53.812,1.0000,nan,0.02243,0.7587
0,4,0.30,45.535,0.9997,nan,0.05816,0.7229
0,4,0.40,41.900,0.9993,nan,0.08839,0.7284
0,4,0.50,37.993,0.9982,nan,0.13859,0.6851
0,5,0.10,66.221,1.0000,nan,0.00537,0.5866
0,5,0.20,55.424,1.0000,nan,0.01863,0.5866
0,5,0.30,48.599,0.9999,nan,0.04087,0.5758
0,5,0.40,43.249,0.9997,nan,0.07568,0.6677
0,5,0.50,36.993,0.9986,nan,0.15551,0.5437
0,6,0.10,71.332,1.0000,nan,0.00298,0.8355
0,6,0.20,63.134,1.0000,nan,0.00767,0.8355
0,6,0.30,56.159,1.0000,nan,0.01712,0.7835
0,6,0.40,49.299,0.9998,nan,0.03771,0.7229
0,6,0.50,44.598,0.9995,nan,0.06479,0.7229
0,7,0.10,72.819,1.0000,nan,0.00251,0.8139
0,7,0.20,59.567,1.0000,nan,0.01156,0.8139
0,7,0.30,51.893,0.9999,nan,0.02797,0.8139
0,7,0.40,45.379,0.9996,nan,0.05921,0.7890
0,7,0.50,42.308,0.9992,nan,0.08433,0.7284
0,8,0.10,71.053,1.0000,nan,0.00308,0.8193
0,8,0.20,57.522,1.0000,nan,0.01463,0.8496
0,8,0.30,49.354,0.9998,nan,0.03747,0.7890
0,8,0.40,44.780,0.9996,nan,0.06345,0.7976
0,8,0.50,40.437,0.9988,nan,0.10461,0.7067
0,9,0.10,75.624,1.0000,nan,0.00182,0.8571
0,9,0.20,65.167,1.0000,nan,0.00607,0.8106
0,9,0.30,58.090,1.0000,nan,0.01371,0.8052
0,9,0.40,51.009,0.9999,nan,0.03097,0.7835
0,9,0.50,45.594,0.9995,nan,0.05777,0.7749
0,10,0.10,71.024,1.0000,nan,0.00309,0.8496
0,10,0.20,62.169,1.0000,nan,0.00857,0.8571
0,10,0.30,51.890,0.9999,nan,0.02798,0.8106
0,10,0.40,47.033,0.9997,nan,0.04895,0.7500
0,10,0.50,42.456,0.9990,nan,0.08291,0.7284
0,11,0.10,75.257,1.0000,nan,0.00190,0.7976
0,11,0.20,63.450,1.0000,nan,0.00739,0.8193
0,11,0.30,57.695,1.0000,nan,0.01434,0.8409
0,11,0.40,50.022,0.9998,nan,0.03470,0.7673
0,11,0.50,45.128,0.9995,nan,0.06095,0.8052
1,0,0.10,74.738,1.0000,nan,0.00202,0.8355
1,0,0.20,59.568,1.0000,nan,0.01156,0.8571
1,0,0.30,51.705,0.9999,nan,0.02859,0.7976
1,0,0.40,46.583,0.9997,nan,0.05155,0.8139
1,0,0.50,41.436,0.9990,nan,0.09324,0.7587
1,1,0.10,76.640,1.0000,nan,0.00162,0.8496
1,1,0.20,62.332,1.0000,nan,0.00841,0.8355
1,1,0.30,55.029,1.0000,nan,0.01950,0.8283
1,1,0.40,49.739,0.9998,nan,0.03585,0.8066
1,1,0.50,44.182,0.9994,nan,0.06796,0.8193
1,2,0.10,76.919,1.0000,nan,0.00157,0.8571
1,2,0.20,64.836,1.0000,nan,0.00630,0.8355
1,2,0.30,56.953,1.0000,nan,0.01562,0.8355
1,2,0.40,51.719,0.9999,nan,0.02854,0.7890
1,2,0.50,46.931,0.9997,nan,0.04953,0.7890
1,3,0.10,78.702,1.0000,nan,0.00128,0.8030
1,3,0.20,66.272,1.0000,nan,0.00534,0.8658
1,3,0.30,60.269,1.0000,nan,0.01066,0.8496
1,3,0.40,55.014,1.0000,nan,0.01953,0.8193
1,3,0.50,49.754,0.9999,nan,0.03579,0.7673
1,4,0.10,83.447,1.0000,nan,0.00074,0.8193
1,4,0.20,66.260,1.0000,nan,0.00535,0.8355
1,4,0.30,60.173,1.0000,nan,0.01078,0.7244
1,4,0.40,53.975,1.0000,nan,0.02201,0.7547
1,4,0.50,49.457,0.9999,nan,0.03703,0.7587
1,5,0.10,73.745,1.0000,nan,0.00226,0.8658
1,5,0.20,59.309,1.0000,nan,0.01191,0.8409
1,5,0.30,51.207,0.9999,nan,0.03027,0.7511
1,5,0.40,46.313,0.9997,nan,0.05318,0.7673
1,5,0.50,42.936,0.9993,nan,0.07845,0.8139
1,6,0.10,75.321,1.0000,nan,0.00189,0.8193
1,6,0.20,63.460,1.0000,nan,0.00739,0.8874
1,6,0.30,57.668,1.0000,nan,0.01439,0.8571
1,6,0.40,51.757,0.9999,nan,0.02841,0.8139
1,6,0.50,46.747,0.9998,nan,0.05059,0.8052
1,7,0.10,77.739,1.0000,nan,0.00143,0.8355
1,7,0.20,64.939,1.0000,nan,0.00623,0.7976
1,7,0.30,59.577,1.0000,nan,0.01155,0.7673
1,7,0.40,52.477,0.9999,nan,0.02616,0.8193
1,7,0.50,48.586,0.9998,nan,0.04094,0.7446
1,8,0.10,79.253,1.0000,nan,0.00120,0.8571
1,8,0.20,66.324,1.0000,nan,0.00531,0.8193
1,8,0.30,57.687,1.0000,nan,0.01436,0.8066
1,8,0.40,53.888,0.9999,nan,0.02223,0.8193
1,8,0.50,47.853,0.9998,nan,0.04454,0.8139
1,9,0.10,78.958,1.0000,nan,0.00124,0.8571
1,9,0.20,65.183,1.0000,nan,0.00606,0.8355
1,9,0.30,57.214,1.0000,nan,0.01516,0.8193
1,9,0.40,51.301,0.9999,nan,0.02995,0.7763
1,9,0.50,47.748,0.9998,nan,0.04508,0.7890
1,10,0.10,73.549,1.0000,nan,0.00231,0.8496
1,10,0.20,60.617,1.0000,nan,0.01025,0.7835
1,10,0.30,53.708,0.9999,nan,0.02270,0.7370
1,10,0.40,47.900,0.9998,nan,0.04430,0.7460
1,10,0.50,43.755,0.9994,nan,0.07139,0.7370
1,11,0.10,63.496,1.0000,nan,0.00736,0.8658
1,11,0.20,53.759,1.0000,nan,0.02257,0.7446
1,11,0.30,45.095,0.9997,nan,0.06118,0.6158
1,11,0.40,40.918,0.9993,nan,0.09896,0.5206
1,11,0.50,36.802,0.9983,nan,0.15896,0.4646
2,0,0.10,71.675,1.0000,nan,0.00287,0.7976
2,0,0.20,60.707,1.0000,nan,0.01014,0.8193
2,0,0.30,55.476,1.0000,nan,0.01852,0.8193
2,0,0.40,48.541,0.9998,nan,0.04115,0.7673
2,0,0.50,44.235,0.9995,nan,0.06755,0.7890
2,1,0.10,83.689,1.0000,nan,0.00072,0.8409
2,1,0.20,68.803,1.0000,nan,0.00399,0.8193
2,1,0.30,60.045,1.0000,nan,0.01094,0.7511
2,1,0.40,54.584,1.0000,nan,0.02052,0.8052
2,1,0.50,51.446,0.9999,nan,0.02945,0.7749
2,2,0.10,62.585,1.0000,nan,0.00817,0.7976
2,2,0.20,50.070,0.9999,nan,0.03451,0.7976
2,2,0.30,45.565,0.9997,nan,0.05796,0.6905
2,2,0.40,40.800,0.9992,nan,0.10032,0.7749
2,2,0.50,36.454,0.9978,nan,0.16547,0.6710
2,3,0.10,71.223,1.0000,nan,0.00302,0.8355
2,3,0.20,57.283,1.0000,nan,0.01504,0.8139
2,3,0.30,51.520,0.9999,nan,0.02920,0.7850
2,3,0.40,46.837,0.9997,nan,0.05006,0.8355
2,3,0.50,40.759,0.9989,nan,0.10080,0.7890
2,4,0.10,73.563,1.0000,nan,0.00231,0.8333
2,4,0.20,60.365,1.0000,nan,0.01055,0.7976
2,4,0.30,51.804,0.9999,nan,0.02826,0.7835
2,4,0.40,47.330,0.9998,nan,0.04730,0.7890
2,4,0.50,39.519,0.9989,nan,0.11626,0.7749
2,5,0.10,68.173,1.0000,nan,0.00429,0.8139
2,5,0.20,57.808,1.0000,nan,0.01416,0.7890
2,5,0.30,52.667,0.9999,nan,0.02559,0.8066
2,5,0.40,47.318,0.9997,nan,0.04737,0.8268
2,5,0.50,41.940,0.9991,nan,0.08799,0.8268
2,6,0.10,85.304,1.0000,nan,0.00060,0.8193
2,6,0.20,72.572,1.0000,nan,0.00259,0.8193
2,6,0.30,65.214,1.0000,nan,0.00604,0.8193
2,6,0.40,56.302,1.0000,nan,0.01684,0.7835
2,6,0.50,51.650,0.9999,nan,0.02877,0.7532
2,7,0.10,74.002,1.0000,nan,0.00219,0.8355
2,7,0.20,62.022,1.0000,nan,0.00872,0.8874
2,7,0.30,55.269,1.0000,nan,0.01896,0.7976
2,7,0.40,49.327,0.9998,nan,0.03759,0.7763
2,7,0.50,45.194,0.9995,nan,0.06049,0.7763
2,8,0.10,66.499,1.0000,nan,0.00521,0.8658
2,8,0.20,56.148,1.0000,nan,0.01714,0.8193
2,8,0.30,48.581,0.9998,nan,0.04096,0.8139
2,8,0.40,43.855,0.9996,nan,0.07057,0.7446
2,8,0.50,39.451,0.9988,nan,0.11718,0.7370
2,9,0.10,72.505,1.0000,nan,0.00261,0.8193
2,9,0.20,58.900,1.0000,nan,0.01249,0.8355
2,9,0.30,53.202,0.9999,nan,0.02406,0.8193
2,9,0.40,46.682,0.9997,nan,0.05097,0.7890
2,9,0.50,42.304,0.9992,nan,0.08437,0.8193
