layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.59941,5.99705,4.60236,2.0486,6.7532,0.0000,0.6770,0.02654,0.4330
1,12,8.11091,5.08991,3.02100,1.8697,6.5903,0.0000,0.7070,0.02123,0.2764
2,12,9.23655,5.48496,3.75159,1.5968,6.6137,0.0000,0.6988,0.02385,0.0000
3,12,10.51401,5.80653,4.70748,1.3223,6.5017,0.0000,0.7137,0.02226,0.2764
4,12,12.11093,6.44452,5.66641,1.2167,6.3692,0.0000,0.7384,0.02135,0.2764
5,12,11.62925,6.34156,5.28768,1.2926,6.0467,0.0000,0.7859,0.01024,0.0000
6,12,11.20046,6.27079,4.92967,1.3855,6.0951,0.0000,0.7792,0.01163,0.0000
7,12,12.59188,6.83095,5.76093,1.2219,5.8234,0.0000,0.8160,0.00892,0.0000
8,12,11.13409,6.23953,4.89456,1.3130,6.0763,0.0000,0.7827,0.01282,0.0000
9,12,12.74323,7.06181,5.68143,1.3065,5.7503,0.0000,0.8255,0.00653,0.0000
10,12,12.46592,6.89791,5.56801,1.2605,5.8601,0.0000,0.8120,0.00859,0.0000
11,12,10.81059,6.26197,4.54861,1.6312,6.0836,0.0000,0.7777,0.01165,0.0000
