layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
10,0,0.9835,5.8275,11.29939,0.8209,6.5641,28
10,6,0.9835,5.7739,11.98937,0.8272,7.5294,31
10,2,0.9696,5.3909,14.67708,0.8687,8.2581,27
10,10,0.9696,5.3304,14.96230,0.8756,8.2581,22
9,0,0.9669,5.5456,13.07907,0.8528,8.2581,24
6,9,0.9587,5.3410,15.50431,0.8755,8.2581,22
7,2,0.9587,5.2410,15.66000,0.8853,8.2581,20
7,9,0.9528,5.7478,12.15079,0.8321,7.5294,30
8,3,0.9528,5.7306,12.96383,0.8327,8.0000,27
2,11,0.9524,5.9850,9.90850,0.8065,5.4468,15
6,5,0.9524,5.9454,11.38470,0.8082,6.0952,33
1,8,0.9509,6.4404,7.37861,0.7354,3.4595,25
1,9,0.9509,6.4175,7.91719,0.7392,3.4595,26
9,2,0.9506,5.8322,11.44939,0.8211,6.4000,30
6,10,0.9476,5.5193,14.22439,0.8576,8.2581,28
9,1,0.9476,5.4438,14.91137,0.8654,8.2581,25
6,1,0.9455,5.9788,12.92223,0.7994,5.9535,22
9,6,0.9435,5.3074,15.14474,0.8789,8.2581,21
10,1,0.9435,5.4648,14.45511,0.8617,8.2581,28
7,10,0.9435,5.3881,15.12831,0.8705,8.2581,26
9,9,0.9435,5.2793,15.42436,0.8814,8.2581,21
11,6,0.9434,5.3520,14.35147,0.8732,8.2581,24
5,0,0.9432,5.4522,14.72628,0.8640,8.2581,27
5,5,0.9431,5.4769,14.77573,0.8621,8.2581,25
1,4,0.9404,6.3337,7.21141,0.7560,3.7647,16
6,7,0.9404,6.3947,8.69478,0.7439,3.4595,26
4,1,0.9398,6.5562,9.08334,0.7152,2.9425,24
6,11,0.9398,6.5830,8.83512,0.7053,2.7826,27
11,9,0.9393,5.3669,14.56334,0.8718,8.2581,26
6,8,0.9388,6.6931,9.49059,0.6920,2.6947,20
3,0,0.9384,5.5939,14.73419,0.8475,8.2581,20
3,4,0.9384,5.4141,14.25240,0.8676,8.2581,26
11,10,0.9383,6.5715,7.32044,0.7144,3.0118,29
11,11,0.9383,6.5094,8.47353,0.7224,3.0118,29
8,6,0.9383,5.5789,14.23600,0.8489,8.2581,26
10,8,0.9383,5.3599,14.97275,0.8723,8.2581,23
7,1,0.9376,5.6279,13.98356,0.8444,8.0000,22
11,1,0.9376,5.7427,12.32038,0.8324,7.5294,29
11,2,0.9376,5.7167,12.51543,0.8328,8.0000,26
5,8,0.9373,5.9619,12.60391,0.8084,5.5652,28
1,1,0.9369,6.6742,6.63815,0.6902,2.6392,26
2,5,0.9369,6.8049,7.90155,0.6636,2.3925,17
11,4,0.9368,5.9283,10.52842,0.8116,5.6889,24
11,7,0.9368,5.8999,11.62103,0.8115,6.5641,34
7,6,0.9363,5.7149,13.00072,0.8351,7.7576,26
8,11,0.9359,5.9399,11.08750,0.8067,5.8182,30
5,11,0.9354,6.3135,10.98721,0.7554,3.8209,14
9,10,0.9354,6.3537,10.57675,0.7527,3.8209,16
5,2,0.9344,6.5451,9.14148,0.7183,3.0118,24
6,0,0.9344,6.7807,8.07777,0.6654,2.4381,23
9,5,0.9329,5.8185,10.95093,0.8235,6.2439,26
5,6,0.9328,6.1905,12.30622,0.7735,4.4138,12
10,7,0.9323,5.9907,11.24988,0.8030,5.2245,29
5,1,0.9285,5.1507,15.90160,0.8925,8.2581,13
7,11,0.9285,5.3475,15.01989,0.8739,8.2581,23
8,1,0.9285,5.3343,15.17205,0.8753,8.2581,22
9,11,0.9285,5.2266,15.48174,0.8861,8.2581,19
8,5,0.9283,6.5183,8.20636,0.7183,2.9767,28
7,7,0.9282,5.4761,14.68124,0.8604,8.2581,27
10,4,0.9266,5.9169,11.52249,0.8128,5.9535,34
6,6,0.9265,5.8522,13.15677,0.8171,7.1111,25
11,5,0.9265,5.6804,13.11648,0.8392,8.0000,27
2,9,0.9259,6.7526,8.09112,0.6716,2.4381,11
3,7,0.9259,6.8442,9.06967,0.6585,2.3704,7
2,7,0.9255,6.7934,6.40558,0.6721,2.4615,18
2,10,0.9255,6.6123,6.43452,0.7042,2.9091,24
3,8,0.9252,6.7714,8.89306,0.6700,2.3925,13
8,7,0.9252,6.8796,9.98770,0.6497,2.2261,8
7,5,0.9249,5.9196,11.51315,0.8089,6.2439,34
1,2,0.9246,6.6294,6.68676,0.7035,2.9091,27
10,3,0.9244,5.9829,11.75841,0.8009,5.9535,29
8,10,0.9243,6.1354,10.33163,0.7809,4.4138,24
2,6,0.9241,6.1403,11.60781,0.7859,4.4912,24
7,0,0.9215,6.7838,9.46732,0.6693,2.3704,16
0,0,0.9198,6.5508,6.47631,0.7142,2.9425,21
0,6,0.9198,6.6699,7.22998,0.6923,2.7826,26
1,7,0.9194,6.4063,6.95334,0.7411,3.6056,19
11,3,0.9193,6.4803,7.77763,0.7286,3.1605,27
10,9,0.9192,6.4717,9.72766,0.7270,3.2405,20
5,4,0.9186,6.6406,7.97280,0.6999,2.6947,35
0,9,0.9185,6.5929,5.72997,0.7057,3.0843,14
8,2,0.9182,6.0447,10.79502,0.7971,5.0196,28
4,10,0.9168,5.6149,13.56419,0.8438,8.2581,28
5,9,0.9168,5.4081,14.15279,0.8679,8.2581,26
8,4,0.9160,6.4855,9.47578,0.7252,3.1220,23
9,3,0.9141,6.7436,8.88315,0.6757,2.4381,19
8,0,0.9135,5.7251,12.08498,0.8359,7.7576,27
9,7,0.9126,5.9006,12.09763,0.8137,6.4000,33
1,3,0.9105,6.4198,6.84528,0.7457,3.6056,18
0,7,0.9102,6.8821,7.99911,0.6464,2.2261,10
1,0,0.9102,6.8068,7.58149,0.6601,2.2655,16
0,2,0.9086,6.6442,6.24812,0.6942,2.7826,20
2,1,0.9084,6.1121,10.77939,0.7839,4.6545,27
4,4,0.9079,5.9516,11.63045,0.8078,5.9535,33
7,8,0.9077,6.3943,8.76218,0.7411,3.5068,26
3,10,0.9077,6.2955,10.09029,0.7625,3.8209,19
6,3,0.9071,5.9033,11.63872,0.8163,5.9535,34
9,4,0.9062,5.6113,14.42620,0.8473,8.0000,21
5,10,0.9053,6.2359,10.44752,0.7710,4.0635,16
5,3,0.9042,6.5447,6.91276,0.7107,2.8764,25
8,9,0.9030,6.2585,9.34007,0.7651,4.1290,20
2,8,0.9023,6.8820,9.81916,0.6479,2.2261,4
7,4,0.9022,6.0306,12.28429,0.8003,5.2245,23
4,6,0.9002,6.2449,9.01625,0.7680,4.0635,18
9,8,0.9001,5.9414,10.49348,0.8080,5.8182,24
4,9,0.9001,6.4457,8.27624,0.7404,3.3247,31
6,2,0.8996,5.7811,11.99747,0.8281,7.7576,32
7,3,0.8990,6.2093,9.45115,0.7705,4.0635,17
4,8,0.8981,5.8621,12.23666,0.8208,6.5641,30
3,5,0.8974,6.1244,9.52057,0.7904,4.4138,16
10,5,0.8972,6.0001,12.37082,0.8047,5.2245,24
2,3,0.8968,6.7742,9.05096,0.6755,2.4615,12
3,6,0.8960,6.8937,8.21240,0.6442,2.2069,13
2,0,0.8938,6.6342,7.58518,0.6978,2.7527,32
10,11,0.8936,6.8117,10.60579,0.6691,2.3925,4
4,5,0.8932,6.6286,9.76942,0.7045,2.8444,15
2,4,0.8893,6.8603,10.58158,0.6571,2.2655,6
3,11,0.8893,6.9504,8.92962,0.6333,2.1513,11
8,8,0.8892,6.2850,9.92820,0.7561,3.8788,19
4,2,0.8861,5.6663,12.85933,0.8413,8.0000,23
0,10,0.8848,6.8593,5.97154,0.6558,2.4615,11
1,5,0.8848,6.8746,6.71609,0.6405,2.2261,13
3,2,0.8797,6.9449,10.46824,0.6347,2.0984,1
3,1,0.8780,6.4679,10.07570,0.7370,3.3684,19
5,7,0.8778,6.6406,9.62264,0.7074,2.8132,19
3,9,0.8776,6.8394,9.08363,0.6618,2.3273,14
6,4,0.8744,6.3689,8.47859,0.7410,3.4133,26
0,4,0.8661,6.9459,11.50974,0.6400,2.2456,1
4,7,0.8661,6.8961,10.61825,0.6496,2.2456,1
0,8,0.8650,7.0786,7.54134,0.5964,1.9845,2
1,6,0.8643,6.5096,7.79599,0.7199,3.1220,26
0,11,0.8594,6.7144,5.66701,0.6848,2.6947,13
11,0,0.8479,6.7572,5.80222,0.6732,2.5098,13
4,3,0.8468,6.8215,10.60358,0.6631,2.3704,2
0,1,0.0000,6.5899,24.94190,0.7210,2.9767,0
0,3,0.0000,6.6817,18.09116,0.7032,2.8444,0
0,5,0.0000,6.8288,19.78668,0.6699,2.4854,0
1,10,0.0000,6.7397,9.81713,0.6853,2.6667,0
1,11,0.0000,6.8320,15.78954,0.6672,2.4615,0
2,2,0.0000,7.0125,12.67325,0.6198,2.0480,0
3,3,0.0000,6.8804,12.83840,0.6569,2.3925,0
4,0,0.0000,6.6769,13.87844,0.6971,2.7527,0
4,11,0.0000,7.0655,23.79504,0.6097,2.0000,0
11,8,0.0000,6.9974,11.33667,0.6217,2.0480,0
