layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.59940,8.61818,1.98122,4.0801,6.2978,1.7152,0.7512,0.00000,1.4907
1,12,8.11091,6.33644,1.77447,3.6098,6.1200,1.7786,0.7761,0.00000,0.0000
2,12,9.23655,7.47829,1.75826,4.2475,6.1228,1.7106,0.7757,0.00000,0.0000
3,12,10.51401,8.64534,1.86868,4.7326,5.9741,1.6472,0.7876,0.00000,0.0000
4,12,12.11093,10.00220,2.10873,4.7493,5.7989,1.6297,0.8132,0.00000,0.0000
5,12,11.62924,9.36075,2.26849,4.1126,5.4083,1.6873,0.8462,0.00000,0.0000
6,12,11.20045,8.95260,2.24786,3.9945,5.4807,1.7053,0.8424,0.00000,0.0000
7,12,12.59188,10.13007,2.46181,4.1038,5.1216,1.6816,0.8711,0.00000,0.0000
8,12,11.13409,8.88120,2.25290,3.9401,5.4470,1.7080,0.8444,0.00000,0.0000
9,12,12.74323,10.12164,2.62159,3.9114,5.0491,1.7038,0.8773,0.00000,0.0000
10,12,12.46592,9.89901,2.56691,3.9237,5.1647,1.6995,0.8702,0.00000,0.0000
11,12,10.81058,8.43204,2.37854,3.4869,5.4937,1.7468,0.8307,0.00000,1.1055
