layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,6.47631,3.84245,2.63386,1.45887,6.53252,-0.00000,0.72083,0,0.01064,2.97674,11,121,16
0,1,24.94190,10.63408,14.30783,0.74323,6.39837,-0.00000,0.74987,1,0.02901,3.87879,11,121,16
0,2,6.24812,4.16549,2.08264,2.00010,6.58223,-0.00000,0.71293,0,0.02201,2.97674,11,121,16
0,3,18.09116,8.00091,10.09026,0.79293,6.65991,-0.00000,0.70226,1,0.05260,2.94253,11,121,16
0,4,11.50974,4.82237,6.68738,0.72111,7.03225,-0.00000,0.61890,1,0.06049,2.11570,11,121,16
0,5,19.78669,7.80054,11.98615,0.65080,6.71875,-0.00000,0.68830,1,0.05601,2.63918,11,121,16
0,6,7.22998,3.76535,3.46463,1.08680,6.67004,-0.00000,0.69310,0,0.02457,2.66667,11,121,16
0,7,7.99911,4.54617,3.45294,1.31661,6.87365,-0.00000,0.65164,0,0.03206,2.34862,11,121,16
0,8,7.54134,4.51938,3.02196,1.49551,7.03674,-0.00000,0.60627,0,0.04452,1.96923,11,121,16
0,9,5.72997,4.23383,1.49614,2.82984,6.60427,-0.00000,0.71037,0,0.01781,3.01176,11,121,16
0,10,5.97154,4.00748,1.96406,2.04040,6.75827,-0.00000,0.68269,0,0.02907,2.84444,11,121,16
0,11,5.66701,4.02621,1.64079,2.45382,6.75768,-0.00000,0.67905,0,0.02209,2.63918,11,121,16
1,0,7.58149,4.27180,3.30970,1.29069,6.89557,-0.00000,0.64016,0,0.04432,2.22609,11,121,16
1,1,6.63815,3.81684,2.82131,1.35286,6.75029,-0.00000,0.67698,0,0.02128,2.53465,11,121,16
1,2,6.68676,3.44113,3.24563,1.06024,6.63138,-0.00000,0.70200,0,0.02518,2.97674,11,121,16
1,3,6.84528,4.25846,2.58682,1.64622,6.35295,-0.00000,0.75769,0,0.01169,3.82090,11,121,16
1,4,7.21141,3.85385,3.35755,1.14782,6.27311,-0.00000,0.76712,0,0.01720,4.12903,11,121,16
1,5,6.71609,3.87697,2.83913,1.36555,6.81043,-0.00000,0.66378,0,0.02302,2.34862,11,121,16
1,6,7.79599,3.89564,3.90035,0.99879,6.42719,-0.00000,0.73843,1,0.01375,3.41333,11,121,16
1,7,6.95334,3.99316,2.96019,1.34895,6.45698,-0.00000,0.73320,0,0.01620,3.50685,11,121,16
1,8,7.37861,3.97858,3.40003,1.17016,6.40276,-0.00000,0.74567,0,0.01551,3.50685,11,121,16
1,9,7.91719,4.06855,3.84864,1.05714,6.42659,-0.00000,0.74261,0,0.02039,3.50685,11,121,16
1,10,9.81713,5.85808,3.95906,1.47967,6.71652,-0.00000,0.68771,0,0.02359,2.87640,11,121,16
1,11,15.78954,7.09056,8.69898,0.81510,6.67844,-0.00000,0.69684,1,0.04218,2.78261,11,121,16
2,0,7.58518,3.68074,3.90444,0.94270,6.46276,-0.00000,0.73914,1,0.01246,3.45946,11,121,16
2,1,10.77939,4.31332,6.46607,0.66707,5.96480,-0.00000,0.80400,1,0.01192,5.81818,11,121,16
2,2,12.67325,5.84468,6.82857,0.85591,6.98175,-0.00000,0.63084,1,0.06187,2.11570,11,121,16
2,3,9.05096,5.09894,3.95202,1.29021,6.76465,-0.00000,0.67490,0,0.03189,2.46154,11,121,16
2,4,10.58159,4.50010,6.08149,0.73997,6.93680,-0.00000,0.63985,1,0.04483,2.26549,11,121,16
2,5,7.90155,4.59118,3.31036,1.38691,6.92259,-0.00000,0.64183,0,0.03406,2.24561,11,121,16
2,6,11.60782,4.11177,7.49605,0.54853,6.01576,-0.00000,0.80258,1,0.00761,5.22449,11,121,16
2,7,6.40558,3.78475,2.62083,1.44410,6.80965,-0.00000,0.66973,0,0.02877,2.63918,11,121,16
2,8,9.81917,4.20858,5.61058,0.75011,6.78582,-0.00000,0.67155,1,0.03810,2.43810,11,121,16
2,9,8.09112,5.09671,2.99441,1.70208,6.80869,-0.00000,0.66270,0,0.03937,2.39252,11,121,16
2,10,6.43452,3.71196,2.72256,1.36341,6.51280,-0.00000,0.72860,0,0.01518,3.32468,11,121,16
2,11,9.90851,4.11731,5.79120,0.71096,5.93132,-0.00000,0.80961,1,0.00891,5.68889,11,121,16
3,0,14.73420,5.14486,9.58933,0.53652,5.59840,-0.00000,0.85075,1,0.00362,8.00000,11,121,16
3,1,10.07571,3.95011,6.12560,0.64485,6.52215,-0.00000,0.72297,1,0.02312,3.16049,11,121,16
3,2,10.46825,6.21272,4.25552,1.45992,6.96610,-0.00000,0.63276,0,0.04959,2.16949,11,121,16
3,3,12.83840,4.14160,8.69680,0.47622,6.90800,-0.00000,0.64848,1,0.04598,2.37037,11,121,16
3,4,14.25240,5.05948,9.19292,0.55037,5.43991,-0.00000,0.86803,1,0.00351,8.53333,11,121,16
3,5,9.52057,4.05071,5.46985,0.74055,5.99224,-0.00000,0.80306,1,0.00861,5.56522,11,121,16
3,6,8.21240,4.25936,3.95303,1.07749,6.89056,-0.00000,0.65038,0,0.03267,2.30631,11,121,16
3,7,9.06967,4.95949,4.11018,1.20664,6.95108,-0.00000,0.63670,0,0.03917,2.22609,11,121,16
3,8,8.89306,4.00544,4.88762,0.81951,6.67614,-0.00000,0.69916,1,0.01912,2.81319,11,121,16
3,9,9.08363,3.96228,5.12136,0.77368,6.93387,-0.00000,0.63773,1,0.04854,2.28571,11,121,16
3,10,10.09029,3.77788,6.31241,0.59849,6.21750,-0.00000,0.77225,1,0.01812,4.26667,11,121,16
3,11,8.92962,3.61951,5.31011,0.68163,6.87209,-0.00000,0.65460,1,0.03750,2.37037,11,121,16
4,0,13.87844,5.28306,8.59537,0.61464,6.86408,-0.00000,0.65777,1,0.04608,2.41509,11,121,16
4,1,9.08334,3.74831,5.33503,0.70259,6.54465,-0.00000,0.72021,1,0.02506,3.20000,11,121,16
4,2,12.85933,4.70409,8.15523,0.57682,5.64107,-0.00000,0.84584,1,0.00422,7.75758,11,121,16
4,3,10.60358,5.77276,4.83082,1.19499,6.89425,-0.00000,0.65079,0,0.03529,2.30631,11,121,16
4,4,11.63045,4.35939,7.27106,0.59955,5.93533,-0.00000,0.80473,1,0.01284,5.95349,11,121,16
4,5,9.76943,4.03673,5.73269,0.70416,6.38231,-0.00000,0.74876,1,0.01791,3.76471,11,121,16
4,6,9.01625,4.20245,4.81380,0.87300,6.25395,-0.00000,0.76432,1,0.01312,4.06349,11,121,16
4,7,10.61825,5.12679,5.49146,0.93359,6.81339,-0.00000,0.66973,1,0.03934,2.46154,11,121,16
4,8,12.23666,4.48096,7.75570,0.57776,5.83343,-0.00000,0.82211,1,0.00664,6.56410,11,121,16
4,9,8.27624,3.75000,4.52624,0.82850,6.55464,-0.00000,0.71663,1,0.01761,2.94253,11,121,16
4,10,13.56419,5.00271,8.56148,0.58433,5.58897,-0.00000,0.84956,1,0.00636,8.25806,11,121,16
4,11,23.79505,8.02617,15.76887,0.50899,7.24078,-0.00000,0.55654,1,0.09895,1.82857,11,121,16
5,0,14.72629,5.08386,9.64242,0.52724,5.48595,-0.00000,0.86345,1,0.00246,8.25806,11,121,16
5,1,15.90160,5.44323,10.45837,0.52047,5.17702,-0.00000,0.89339,1,0.00033,8.25806,11,121,16
5,2,9.14148,4.02998,5.11150,0.78842,6.38708,-0.00000,0.74948,1,0.01766,3.60563,11,121,16
5,3,6.91276,4.18956,2.72320,1.53847,6.43293,-0.00000,0.74081,0,0.01174,3.45946,11,121,16
5,4,7.97281,3.68983,4.28298,0.86151,6.66481,-0.00000,0.69826,1,0.02148,2.81319,11,121,16
5,5,14.77573,5.19161,9.58412,0.54169,5.52379,-0.00000,0.86086,1,0.00218,7.75758,11,121,16
5,6,12.30623,4.81664,7.48959,0.64311,6.20153,-0.00000,0.77017,1,0.02002,4.33898,11,121,16
5,7,9.62264,4.18575,5.43689,0.76988,6.67127,-0.00000,0.69883,1,0.02805,2.87640,11,121,16
5,8,12.60391,4.47510,8.12880,0.55052,5.93575,-0.00000,0.81364,1,0.00491,5.22449,11,121,16
5,9,14.15279,5.16877,8.98402,0.57533,5.44323,-0.00000,0.86679,1,0.00353,8.53333,11,121,16
5,10,10.44752,4.61671,5.83081,0.79178,6.21205,-0.00000,0.77287,1,0.01218,4.26667,11,121,16
5,11,10.98722,4.11163,6.87559,0.59800,6.20614,-0.00000,0.77156,1,0.01391,4.06349,11,121,16
6,0,8.07778,4.49162,3.58615,1.25249,6.76773,-0.00000,0.67496,0,0.03159,2.50980,11,121,16
6,1,12.92223,4.84505,8.07718,0.59984,5.89909,-0.00000,0.81131,1,0.00992,6.24390,11,121,16
6,2,11.99747,4.55163,7.44584,0.61130,5.72189,-0.00000,0.83230,1,0.00734,8.00000,11,121,16
6,3,11.63872,4.56213,7.07660,0.64468,5.86978,-0.00000,0.81792,1,0.00773,6.24390,11,121,16
6,4,8.47859,5.01980,3.45879,1.45131,6.32428,-0.00000,0.75951,0,0.01327,3.82090,11,121,16
6,5,11.38470,4.30450,7.08020,0.60796,5.94281,-0.00000,0.80723,1,0.01104,5.81818,11,121,16
6,6,13.15677,4.88227,8.27451,0.59004,5.79075,-0.00000,0.82507,1,0.01010,7.11111,11,121,16
6,7,8.69479,4.03428,4.66051,0.86563,6.24866,-0.00000,0.76897,1,0.01521,4.26667,11,121,16
6,8,9.49059,3.95776,5.53283,0.71532,6.73203,-0.00000,0.68491,1,0.02734,2.61224,11,121,16
6,9,15.50432,5.32819,10.17612,0.52360,5.39437,-0.00000,0.87387,1,0.00216,8.25806,11,121,16
6,10,14.22439,4.98661,9.23778,0.53981,5.48740,-0.00000,0.86444,1,0.00254,8.00000,11,121,16
6,11,8.83513,3.83516,4.99997,0.76704,6.53929,-0.00000,0.71926,1,0.02700,3.20000,11,121,16
7,0,9.46732,4.00232,5.46500,0.73236,6.79576,-0.00000,0.67274,1,0.02969,2.48544,11,121,16
7,1,13.98356,5.05804,8.92552,0.56669,5.65561,-0.00000,0.84394,1,0.00502,7.75758,11,121,16
7,2,15.66000,5.39167,10.26832,0.52508,5.25386,-0.00000,0.88714,1,0.00060,8.25806,11,121,16
7,3,9.45115,4.23954,5.21161,0.81348,6.08403,-0.00000,0.79016,1,0.01128,4.83019,11,121,16
7,4,12.28429,4.62876,7.65554,0.60463,5.97012,-0.00000,0.81035,1,0.00414,4.92308,11,121,16
7,5,11.51315,4.68769,6.82547,0.68679,5.89116,-0.00000,0.81257,1,0.00801,6.24390,11,121,16
7,6,13.00072,4.96846,8.03226,0.61856,5.74377,-0.00000,0.83429,1,0.00596,6.91892,11,121,16
7,7,14.68124,5.26238,9.41886,0.55871,5.45519,-0.00000,0.86651,1,0.00310,8.25806,11,121,16
7,8,8.76218,4.21659,4.54560,0.92762,6.39410,-0.00000,0.74204,1,0.01695,3.36842,11,121,16
7,9,12.15080,4.56404,7.58676,0.60158,5.72521,-0.00000,0.83492,1,0.00721,7.31429,11,121,16
7,10,15.12831,5.33594,9.79237,0.54491,5.41438,-0.00000,0.87202,1,0.00126,8.25806,11,121,16
