layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,4,0.9889,6.2731,7.21141,0.7671,4.1290,13
2,10,0.9889,6.5128,6.43452,0.7286,3.3247,20
10,0,0.9835,5.8783,11.29939,0.8174,6.2439,29
10,6,0.9835,5.7818,11.98938,0.8303,6.7368,33
10,2,0.9696,5.4156,14.67708,0.8720,8.0000,28
10,10,0.9696,5.3478,14.96230,0.8783,8.2581,24
9,0,0.9670,5.6193,13.07907,0.8469,8.0000,28
6,9,0.9587,5.3944,15.50432,0.8739,8.2581,24
7,2,0.9587,5.2539,15.66000,0.8871,8.2581,20
7,9,0.9529,5.7252,12.15080,0.8349,7.3143,31
8,3,0.9529,5.7441,12.96383,0.8318,7.3143,29
2,11,0.9525,5.9313,9.90851,0.8096,5.6889,16
6,5,0.9525,5.9428,11.38470,0.8072,5.8182,31
1,8,0.9514,6.4028,7.37861,0.7457,3.5068,22
1,9,0.9514,6.4266,7.91719,0.7426,3.5068,26
9,2,0.9507,5.8914,11.44939,0.8204,5.6889,31
6,10,0.9476,5.4874,14.22439,0.8644,8.0000,27
9,1,0.9476,5.4281,14.91137,0.8706,8.2581,25
6,1,0.9458,5.8991,12.92223,0.8113,6.2439,26
9,6,0.9435,5.3496,15.14475,0.8788,8.0000,25
10,1,0.9435,5.4616,14.45511,0.8671,8.0000,28
7,10,0.9435,5.4144,15.12831,0.8720,8.2581,26
9,9,0.9435,5.2823,15.42436,0.8846,8.2581,22
11,6,0.9434,5.3658,14.35147,0.8761,8.5333,25
5,0,0.9433,5.4859,14.72629,0.8634,8.2581,26
5,5,0.9432,5.5238,14.77573,0.8609,7.7576,24
4,1,0.9407,6.5446,9.08334,0.7202,3.2000,20
6,11,0.9407,6.5393,8.83513,0.7193,3.2000,23
6,7,0.9398,6.2487,8.69479,0.7690,4.2667,19
11,9,0.9393,5.3879,14.56334,0.8732,8.5333,26
6,8,0.9393,6.7320,9.49059,0.6849,2.6122,16
3,0,0.9385,5.5984,14.73420,0.8508,8.0000,23
3,4,0.9385,5.4399,14.25240,0.8680,8.5333,28
8,6,0.9382,5.5100,14.23601,0.8616,8.0000,28
10,8,0.9382,5.3736,14.97276,0.8755,8.2581,25
7,1,0.9379,5.6556,13.98356,0.8439,7.7576,23
11,1,0.9378,5.6757,12.32038,0.8427,7.7576,24
11,2,0.9378,5.6597,12.51543,0.8423,8.0000,24
11,10,0.9374,6.6486,7.32044,0.6988,2.6122,25
11,11,0.9374,6.5387,8.47353,0.7157,2.8764,25
11,4,0.9371,5.7432,10.52842,0.8287,7.7576,19
11,7,0.9371,5.7553,11.62103,0.8287,7.5294,31
5,8,0.9365,5.9358,12.60391,0.8136,5.2245,25
5,11,0.9365,6.2061,10.98722,0.7716,4.0635,18
9,10,0.9365,6.2595,10.57675,0.7677,4.0000,15
7,6,0.9365,5.7438,13.00072,0.8343,6.9189,29
8,11,0.9358,5.8848,11.08751,0.8176,6.0952,29
1,1,0.9358,6.7503,6.63815,0.6770,2.5347,20
2,5,0.9358,6.9226,7.90155,0.6418,2.2456,12
9,5,0.9329,5.9264,10.95094,0.8108,5.9535,30
10,7,0.9329,5.9985,11.24988,0.7989,5.4468,28
7,0,0.9305,6.7958,9.46732,0.6727,2.4854,14
8,5,0.9298,6.4119,8.20636,0.7405,3.3684,24
5,1,0.9285,5.1770,15.90160,0.8934,8.2581,13
7,11,0.9285,5.3758,15.01990,0.8751,8.2581,25
8,1,0.9285,5.3362,15.17206,0.8792,8.2581,23
9,11,0.9285,5.2312,15.48174,0.8891,8.2581,18
7,7,0.9282,5.4552,14.68124,0.8665,8.2581,27
6,6,0.9265,5.7908,13.15677,0.8251,7.1111,28
11,5,0.9264,5.6647,13.11648,0.8428,7.5294,32
10,4,0.9259,5.8503,11.52249,0.8193,6.5641,34
3,8,0.9254,6.6761,8.89306,0.6992,2.8132,12
8,7,0.9254,6.8739,9.98770,0.6551,2.3273,8
7,5,0.9251,5.8912,11.51315,0.8126,6.2439,33
8,10,0.9250,6.1609,10.33163,0.7755,4.3390,25
10,3,0.9250,5.9125,11.75841,0.8104,6.0952,32
2,9,0.9243,6.8087,8.09112,0.6627,2.3925,5
3,7,0.9243,6.9511,9.06967,0.6367,2.2261,5
2,6,0.9242,6.0158,11.60782,0.8026,5.2245,28
1,2,0.9230,6.6314,6.68676,0.7020,2.9767,24
11,3,0.9213,6.4115,7.77763,0.7404,3.4133,24
10,9,0.9199,6.3175,9.72766,0.7539,3.7101,22
0,9,0.9195,6.6043,5.72997,0.7104,3.0118,15
0,0,0.9195,6.5325,6.47631,0.7208,2.9767,20
0,6,0.9195,6.6700,7.22998,0.6931,2.6667,25
1,7,0.9193,6.4570,6.95334,0.7332,3.5068,20
8,4,0.9190,6.3589,9.47578,0.7514,3.7101,22
8,2,0.9188,6.1361,10.79502,0.7816,4.4138,26
5,4,0.9188,6.6648,7.97281,0.6983,2.8132,26
4,10,0.9168,5.5890,13.56419,0.8496,8.2581,34
5,9,0.9168,5.4432,14.15279,0.8668,8.5333,29
4,6,0.9157,6.2540,9.01625,0.7643,4.0635,21
5,2,0.9157,6.3871,9.14148,0.7495,3.6056,23
